0 0  -0 1
1 2.22132e-05  -4.82609e-07 0.9999999998
1001 0.000176728432  1.374908653e-05 0.9999999843
2001 2.811768961e-06  0.000395910342 0.9999999216
3001 -0.0001421518028  -0.000772942494 0.9999996912
4001 -0.0003557416972  0.0003217654799 0.999999885
5001 0.0004724551571  -0.0005884455285 0.9999997153
6001 -0.0004200371477  0.000593705709 0.9999997355
7001 0.0005303415321  -0.0001234834419 0.9999998517
8001 -0.001097212062  0.0002715495297 0.9999993612
9001 0.000695543391  -0.0001784588172 0.9999997422
10001 -0.0003638039209  0.0001064281 0.9999999282
11001 0.0007600134171  0.0002244318089 0.999999686
12001 -0.0005569891289  -0.0002275643509 0.999999819
13001 0.000684046013  -0.0001542741017 0.9999997541
14001 -0.000254492029  0.0008903947325 0.9999995712
15001 0.000549199659  -0.0005773944472 0.9999996825
16001 -0.0004781805865  0.0008451840284 0.9999995285
17001 0.000546244459  -0.001245326684 0.9999990754
18001 -3.142520107e-05  0.002004695268 0.9999979901
19001 -0.0005313803641  -0.001484650637 0.9999987567
20001 0.0002506189416  0.002102663348 0.999997758
21001 -0.0002263796854  -0.002965519288 0.9999955772
22001 0.0005400266602  0.002305815456 0.9999971958
23001 -0.001755833059  -0.001981785989 0.9999964948
24001 0.001887225526  0.002449741929 0.9999952186
25001 -0.001999282336  -0.002359725248 0.9999952173
26001 0.00147414696  0.002232594198 0.9999964212
27001 -0.001581844556  -0.002405854809 0.9999958548
28001 0.001935852134  0.002446305988 0.999995134
29001 -0.001456246003  -0.002211782443 0.9999964937
30001 0.0008714807706  0.001923315839 0.9999977707
31001 -0.001411088217  -0.002338361043 0.9999962704
32001 0.001472451844  0.002341382257 0.9999961749
33001 -0.001606776947  -0.001700068513 0.999997264
34001 0.00174221931  0.001909334646 0.9999966596
35001 -0.001898430028  -0.001411911768 0.9999972012
36001 0.002318766148  0.001328407461 0.9999964293
37001 -0.001973151052  -0.001124352204 0.9999974213
38001 0.001600217374  0.0005889215823 0.9999985462
39001 -0.00124083665  -0.0001757488997 0.9999992147
40001 0.0007044918353  0.0001008398985 0.9999997468
41001 -0.0009374897166  -0.0005721944069 0.9999993969
42001 0.001024341053  9.648372633e-05 0.9999994707
43001 -0.001272090798  -0.0003114066721 0.9999991424
44001 0.001601059589  -0.0003032995076 0.9999986723
45001 -0.001966975938  0.001148544078 0.9999974059
46001 0.002034197732  -0.001372402805 0.9999969893
47001 -0.001992868082  0.001869828117 0.9999962661
48001 0.001888586499  -0.001571632333 0.9999969816
49001 -0.002028167037  0.002148864237 0.9999956345
50001 0.001806592059  -0.001894162001 0.9999965742
51001 -0.001680517496  0.001773050509 0.9999970161
52001 0.00203290404  -0.001707988286 0.999996475
53001 -0.002262856131  0.00129887897 0.9999965962
54001 0.001686003629  -0.0009420023328 0.999998135
55001 -0.00157416985  0.0008860647902 0.9999983684
56001 0.001284157651  -0.0008415347371 0.9999988214
57001 -0.001198401449  0.0007294549567 0.9999990159
58001 0.001001556986  -0.0002902790515 0.9999994563
59001 -0.001024502407  0.0003588156809 0.9999994108
