0 0  0 1
1 0.02069291959  0.009640716452 0.9997393959
2 -0.01150666561  -0.002538145399 0.9999305748
3 -0.01031824379  0.02943362749 0.9995134794
4 -0.04832111517  0.02558999325 0.998503992
5 -0.02386923415  0.03063349016 0.9992456399
6 -0.04134945473  0.05538388615 0.9976085644
7 -0.01526793182  0.04079598264 0.9990508386
8 0.01730567013  0.04563263523 0.9988083782
9 0.0001134767578  0.06508146395 0.9978799478
10 0.0102731539  0.09168030806 0.9957354987
11 -0.01968602265  0.07637525271 0.9968847884
12 -0.02283971258  0.04693538449 0.9986367794
13 -0.05658270033  0.05142346883 0.997072728
14 -0.0386410101  0.02251729344 0.9989994213
15 -0.07112275712  0.03141060312 0.996972882
16 -0.06795257296  0.004431557149 0.9976787104
17 -0.05638059062  0.0344179292 0.9978159325
18 -0.03326361715  0.03986442817 0.99865127
19 -0.009819956612  0.04050149118 0.9991312214
20 0.006267369283  0.01907673233 0.9997983789
21 -0.02205231894  0.03666163987 0.9990843905
22 0.00762372217  0.04560181474 0.9989306049
23 0.03930625829  0.05136484567 0.9979061432
24 0.03770266211  0.01920975161 0.9991043463
25 0.05056133321  0.04742930655 0.9975941121
26 0.03632913363  0.07346946417 0.9966355562
27 0.02797449432  0.1008978001 0.9945034246
28 -0.003317117017  0.1126565183 0.9936284545
29 -0.004971094356  0.1432736157 0.9896706317
30 -0.03796576929  0.1613484169 0.986166968
31 -0.05682742762  0.1880480801 0.980514438
32 -0.0820322246  0.2060037119 0.9751067556
33 -0.1115849226  0.2113676931 0.971016222
34 -0.1037974419  0.1982930374 0.974631193
35 -0.08762173173  0.2134641001 0.9730136228
36 -0.1058630433  0.1886264093 0.9763263255
37 -0.1002667963  0.2189031685 0.9705812549
38 -0.09644723173  0.245164475 0.9646721265
39 -0.138050797  0.2375367349 0.9615187346
40 -0.1363851023  0.252529209 0.9579290696
41 -0.1738993775  0.2615769262 0.9493874437
42 -0.1726705289  0.2882329671 0.9418633898
43 -0.2100995445  0.2776227926 0.9374346732
44 -0.236177503  0.2420416619 0.9410823667
45 -0.2674587373  0.205882661 0.9413172439
46 -0.2700222548  0.2284220956 0.9353669484
47 -0.260816394  0.2344310942 0.9364917889
48 -0.2981751397  0.2192620243 0.9289864104
49 -0.3112451685  0.1886036638 0.9314263809
50 -0.2923740039  0.1611173831 0.9426338795
51 -0.297119872  0.126298887 0.946450407
52 -0.2932973622  0.1414465592 0.9454996183
53 -0.306598045  0.1553606652 0.939074386
54 -0.2974840152  0.1285609623 0.9460313629
55 -0.319483934  0.09957818605 0.942345054
56 -0.3531331654  0.09062400352 0.9311735915
57 -0.3827210533  0.08679833272 0.9197774974
58 -0.4108007863  0.09529713929 0.9067310347
59 -0.3801194774  0.08029851869 0.9214452402
60 -0.3698904936  0.05302953625 0.9275607209
61 -0.3565121171  0.01492395659 0.934171497
