0 0  0 1
62 -0.3559439427  -0.01069797945 0.9344460727
63 -0.3796249042  -0.03820039954 0.9243514816
64 -0.3601248158  -0.0263632482 0.9325315524
65 -0.3815275017  -0.05306642715 0.9228329858
66 -0.4047980336  -0.0705928627 0.9116771357
67 -0.4072375387  -0.06513596755 0.9109966481
68 -0.3863555919  -0.1004968275 0.9168586283
69 -0.3630357415  -0.08799630439 0.9276107486
70 -0.343165678  -0.1256571614 0.9308316686
71 -0.3326631874  -0.1042243659 0.9372686303
72 -0.3146354509  -0.136685795 0.9393197147
73 -0.3244279541  -0.1681585295 0.9308432798
74 -0.2977185753  -0.1736883241 0.9387204142
75 -0.307562368  -0.1586511563 0.9382085058
76 -0.3305259225  -0.1729010349 0.9278242542
77 -0.332797646  -0.2012401043 0.9212752831
78 -0.3452250774  -0.1927043155 0.9185231041
79 -0.3532177227  -0.2223177131 0.9087420287
80 -0.3726386305  -0.2375080884 0.8970676446
81 -0.3303027458  -0.2548965157 0.9088057341
82 -0.3004017976  -0.2801554174 0.911741028
83 -0.3100542955  -0.2679053137 0.9121913597
84 -0.2680855695  -0.2734630734 0.9237684098
85 -0.2840941101  -0.2539084177 0.9245653314
86 -0.282310866  -0.2366144618 0.929684985
87 -0.2929278399  -0.2703361271 0.9171213982
88 -0.3085493119  -0.2861319338 0.9071525994
89 -0.2784185403  -0.289316518 0.9158488242
90 -0.2806481277  -0.3164215167 0.9061534374
91 -0.2407276534  -0.311892851 0.9191153608
92 -0.2497156241  -0.3042306355 0.9192854984
93 -0.251480923  -0.3458444429 0.9039629233
94 -0.2547015585  -0.3808894074 0.8888477796
95 -0.2080443479  -0.395998231 0.8943729369
96 -0.1938659671  -0.4294956855 0.8820144233
97 -0.1852556365  -0.4583821015 0.8692331092
98 -0.1473389947  -0.4505052305 0.880531804
99 -0.1581160375  -0.4500797793 0.878878553
100 -0.1101532119  -0.4718624252 0.8747640376
101 -0.068245891  -0.4894343652 0.8693655736
102 -0.02050279775  -0.4800789268 0.8769856666
103 0.0239337191  -0.4652855048 0.8848370336
104 0.05449918726  -0.4877835455 0.8712617582
105 0.08369207462  -0.5144455652 0.8534291986
106 0.124915975  -0.495422592 0.8596234377
107 0.1296841205  -0.5105444944 0.8500154988
108 0.1294430158  -0.5183440912 0.8453188208
109 0.1704826356  -0.4997430045 0.8492305932
110 0.1793845721  -0.5166770355 0.8371774103
111 0.1755316266  -0.5255258399 0.8324729663
112 0.1919574057  -0.5394860067 0.8198214458
113 0.2136141566  -0.5080088243 0.834443543
114 0.2237364645  -0.5298692211 0.8180345977
115 0.2683158943  -0.5302228984 0.8042824497
116 0.3017587467  -0.497836624 0.8130807799
117 0.339027286  -0.4882207066 0.8041772448
118 0.353640285  -0.4455575472 0.8224457556
119 0.3448857028  -0.4536959909 0.8217139404
120 0.3401634025  -0.4492050668 0.8261378018
121 0.345108512  -0.4575612507 0.8194741099
122 0.3432909644  -0.4231958239 0.8384847097
123 0.3554930768  -0.4269570895 0.8314639596
124 0.3889995908  -0.4172311718 0.8213388263
125 0.4341612827  -0.3959925449 0.8091315622
126 0.4443927031  -0.4051668469 0.7989711832
127 0.4778702992  -0.3780153436 0.7929340308
128 0.5145563391  -0.3440493265 0.7854055225
129 0.5446046328  -0.337805609 0.7676543261
130 0.5802742717  -0.3330684605 0.7432006258
131 0.5703350937  -0.3057024169 0.7624066587
132 0.5608902728  -0.276978714 0.7801826029
133 0.5496964655  -0.2691426631 0.7908198422
134 0.5786808292  -0.2427802802 0.7785796256
135 0.5640088235  -0.2157461991 0.7970869618
136 0.5682179722  -0.2145389385 0.7944188945
137 0.6025772706  -0.1871775451 0.7757997161
138 0.6369095207  -0.1643027026 0.7532269807
139 0.6667927967  -0.1541505846 0.7291261643
140 0.6702045572  -0.1097344434 0.7340192119
141 0.6934230905  -0.1007347591 0.7134542213
142 0.6746471838  -0.06265233111 0.7354766229
143 0.7010824328  -0.03358665113 0.7122888173
144 0.7083590171  -0.0265759789 0.7053518414
145 0.7264741595  -0.0178736552 0.6869613003
146 0.7452720896  0.004133385469 0.6667476491
147 0.7249534378  0.02892729238 0.6881901806
148 0.7402274317  0.07217737369 0.6684712231
149 0.7353589478  0.07860390546 0.6731037394
150 0.7532588702  0.1043584362 0.6493923246
151 0.74492675  0.153680241 0.6492045291
152 0.7211698278  0.1751276564 0.6702569532
153 0.7386842543  0.1939726193 0.6455386862
154 0.7244955054  0.243101593 0.6449867271
155 0.6927182449  0.2817722928 0.6638868941
156 0.684832485  0.3276687943 0.6508745107
157 0.6793875594  0.343815198 0.6482465995
158 0.6612279633  0.3897124587 0.6410162089
159 0.649318013  0.3975550836 0.6483333043
160 0.6556868544  0.4173790752 0.6291815768
161 0.6475111621  0.4265626791 0.6314852142
162 0.6087998078  0.4466764192 0.6556241077
163 0.5859592177  0.4870617243 0.6476284984
164 0.5535367886  0.5248729378 0.6466107198
165 0.5528148671  0.5437944987 0.6314137043
166 0.548326129  0.5439452604 0.6351865945
167 0.5198595524  0.586282203 0.6213044537
168 0.4786910097  0.5921717114 0.6482187759
169 0.4719367283  0.598097026 0.6477311726
170 0.4530526837  0.6343408733 0.626382409
171 0.4389914218  0.6716173634 0.59683888
172 0.4157078452  0.7026273854 0.5774960993
173 0.3897954328  0.7338178665 0.5563909232
174 0.3770342677  0.7320587922 0.5673932373
175 0.3682336659  0.7429746399 0.5589209709
176 0.3453904675  0.7724304737 0.5329695942
177 0.3179403994  0.8036830786 0.5029984211
178 0.2789411756  0.8249713991 0.4915424817
179 0.2618263533  0.8312659253 0.4903508154
180 0.2446947218  0.8481620385 0.4698357688
181 0.2181109406  0.8689726411 0.4442005928
182 0.1918442797  0.8880898066 0.4177227164
183 0.1495411765  0.8837447827 0.4434327408
184 0.1228980796  0.8795462201 0.4596678243
185 0.08289740668  0.8962331293 0.4357685142
186 0.045566606  0.9095182319 0.4131588924
187 0.00802034416  0.8996620958 0.4365132157
188 -0.01562627794  0.9067518317 0.4213750529
189 -0.05448203105  0.9177814884 0.3933304563
190 -0.103340811  0.9097186004 0.4021600985
191 -0.1405300639  0.916751813 0.3739216691
192 -0.1829141152  0.9178270392 0.352329324
193 -0.218844987  0.9168415281 0.3339288608
194 -0.243420233  0.9025076966 0.3552836158
195 -0.26334292  0.888391422 0.3760467895
196 -0.2860057572  0.883029167 0.3721024014
197 -0.3212177817  0.8842915142 0.3388918038
198 -0.3536828853  0.8608823116 0.3657732389
199 -0.3930696656  0.8351618638 0.3847088499
200 -0.433219165  0.8217204822 0.3702655861
201 -0.4679532355  0.7909341507 0.394262525
202 -0.4938495746  0.7847090993 0.3746254493
203 -0.5176321966  0.7568531571 0.3990365994
204 -0.5318001652  0.7318940498 0.4260512694
205 -0.5645839628  0.702032597 0.434045138
206 -0.601693235  0.6826811855 0.414622298
207 -0.6140833703  0.6616305029 0.4302867555
208 -0.6515573011  0.6473613249 0.3954698451
209 -0.6815606351  0.6108680958 0.4028836932
210 -0.7102808063  0.5932517997 0.3788845186
211 -0.7427916319  0.5744064575 0.3439735646
212 -0.7632596145  0.5365396353 0.3599444132
213 -0.7778559169  0.5174150224 0.3566817448
214 -0.7856997682  0.4896058591 0.3781031301
215 -0.8151054203  0.4558878959 0.3574484301
216 -0.8286087228  0.4357559794 0.3514602552
217 -0.8519978598  0.3960358232 0.3424255739
218 -0.8687663982  0.3528804898 0.3474482772
219 -0.8714273496  0.3243862641 0.3679509832
220 -0.8778457292  0.279653037 0.3888200799
221 -0.8742380272  0.2395143503 0.422304094
222 -0.8943712399  0.200121642 0.4000642619
223 -0.9032109389  0.1775933052 0.3907308764
224 -0.9212516346  0.144353104 0.3611891571
225 -0.9368630546  0.1160117563 0.3298922389
226 -0.9459955989  0.0868399659 0.3123317903
227 -0.9579521602  0.04725527405 0.2830098899
228 -0.9573487609  0.01945759608 0.2882789483
229 -0.9583122444  -0.02611116097 0.2845274142
230 -0.9487030275  -0.05651537724 0.3110764822
231 -0.9370463667  -0.09413978857 0.3362763846
232 -0.9390383925  -0.1206326812 0.3219544278
233 -0.9327081198  -0.1663755074 0.3199605503
234 -0.9191382799  -0.1985763748 0.3402238171
235 -0.9178588102  -0.2425961403 0.3141374177
236 -0.9029092591  -0.2850515691 0.3217148935
237 -0.8827583187  -0.3246667422 0.3396016154
238 -0.8775948182  -0.3634783438 0.3125873137
239 -0.8720989822  -0.3958542491 0.2876504453
240 -0.863371034  -0.4247151634 0.272410513
241 -0.8454007432  -0.4648487565 0.2630840495
242 -0.8300567347  -0.5032019064 0.2404031169
243 -0.8172434572  -0.5329265834 0.2193225669
244 -0.7923657076  -0.5682573425 0.22190128
245 -0.7786407497  -0.5970741935 0.1929274225
246 -0.7549322795  -0.6297112884 0.1831418756
247 -0.7348679018  -0.6616518211 0.1489497717
248 -0.7076372298  -0.6922342935 0.141637685
249 -0.6773176848  -0.7217694024 0.1424418609
250 -0.6516263487  -0.7436426495 0.149595159
251 -0.6250952018  -0.7638514299 0.1605832548
252 -0.5916257016  -0.7895946004 0.1628477703
253 -0.5653876263  -0.806761214 0.1716775339
254 -0.5393757566  -0.8287989051 0.1488830684
255 -0.5115842063  -0.8450019045 0.1557349711
256 -0.48362917  -0.8658847453 0.1278531727
257 -0.4545889862  -0.8823981484 0.1213357379
258 -0.4211822741  -0.8958082467 0.1418910748
259 -0.386675517  -0.913815186 0.1241927949
260 -0.3501047918  -0.9310665117 0.1026731979
261 -0.3134870871  -0.9460764237 0.0816409627
262 -0.2765984636  -0.9590588585 0.06082265865
263 -0.2414339234  -0.9701044742 0.02463675828
264 -0.2038501127  -0.9783025678 0.03700293642
265 -0.166524624  -0.9859922991 0.00941996175
266 -0.1288837235  -0.9912557344 0.02830291142
267 -0.09226435822  -0.9954399113 0.02422129529
268 -0.05451615406  -0.9985127518 -0.0005228822209
269 -0.01682871511  -0.9998579098 0.0009770300305
270 0.02076929422  -0.9994525314 -0.02575410617
271 0.05762765494  -0.996856504 -0.05437061507
272 0.09530369658  -0.9951072832 -0.02605187967
273 0.1328163405  -0.9911312431 0.004321873645
274 0.1699462536  -0.9852125812 -0.02178165971
275 0.2063866282  -0.9781423252 -0.0253407034
276 0.2428844661  -0.9700549907 0.000671686779
277 0.2792891459  -0.9602068334 -0.0006403529407
278 0.315350883  -0.9489664124 -0.004070459731
279 0.350815724  -0.9364426307 -0.001878081874
280 0.3856430782  -0.9224430734 0.01944717546
281 0.420435245  -0.9073195452 0.002334002007
282 0.454189682  -0.8900718923 0.03851959628
283 0.4885991128  -0.8716042676 0.03971029631
284 0.5211579244  -0.8534119245 0.009083225801
285 0.5529670554  -0.8331269684 -0.01126455156
286 0.5838341695  -0.8110433057 -0.0366935795
287 0.6141552406  -0.7866373561 -0.06336410977
288 0.6445109863  -0.7612157744 -0.07180622125
289 0.6740424142  -0.7352732696 -0.07099325953
290 0.7014651108  -0.7072498989 -0.08800158434
291 0.7294830203  -0.6796349932 -0.07714142204
292 0.7561292079  -0.650311117 -0.07323982545
293 0.7785481125  -0.6203573953 -0.09497125164
294 0.7996855229  -0.5929073673 -0.09467797125
295 0.8233099578  -0.5635755474 -0.06740412249
296 0.8457293662  -0.5324448144 -0.03527546894
297 0.8659033507  -0.4995242989 -0.02620805377
298 0.8844155967  -0.4666843924 0.003838005414
299 0.9012759465  -0.4330572889 -0.01276921317
300 0.9160255534  -0.3985761303 -0.04510270417
301 0.9312905486  -0.3636867225 -0.02073359515
302 0.9440584427  -0.3287931536 -0.02546996298
303 0.954723673  -0.2933777666 -0.0493172814
304 0.9634665922  -0.2579646034 -0.07201658878
305 0.9707668775  -0.2234845687 -0.08755750723
306 0.9763064773  -0.1845996695 -0.1129098064
307 0.9797250546  -0.1501997493 -0.1325852656
308 0.9828661842  -0.1164967197 -0.1428375937
309 0.9877889222  -0.08390851636 -0.1312722591
310 0.9910519497  -0.05084966708 -0.1234112816
311 0.9899348819  -0.01158406215 -0.141048712
312 0.9887180533  0.02056220381 -0.1483705052
313 0.9903485156  0.05476538284 -0.1273207383
314 0.989852283  0.09496813021 -0.1057048347
315 0.9855010209  0.1285826731 -0.1106988436
316 0.9756351048  0.1643815741 -0.1453094645
317 0.9704764727  0.1978912095 -0.1378930204
318 0.9620548076  0.2373638233 -0.1345695452
319 0.9470934394  0.2746907106 -0.1660091278
320 0.9305675639  0.3072978827 -0.1990276872
321 0.9191651116  0.3468448837 -0.1866390211
322 0.9050854103  0.3867754636 -0.1767063688
323 0.8928352784  0.4246105324 -0.1501701081
324 0.8808043882  0.4575987963 -0.1216016913
325 0.8590429797  0.4898904658 -0.1485008095
326 0.8352691257  0.5192337773 -0.1808916035
327 0.8149495286  0.5568696826 -0.1604787288
328 0.7957150367  0.5908599457 -0.1331243966
329 0.776213246  0.6212899482 -0.1071997993
330 0.7502552892  0.6486061587 -0.1281680615
331 0.7269478121  0.6715712049 -0.1433143231
332 0.6998261867  0.6945777261 -0.1667485855
333 0.6750531046  0.7255038488 -0.1339681725
334 0.643121874  0.7533563837 -0.1372895275
335 0.6112085212  0.7791159866 -0.1392925808
336 0.5805883658  0.7972390797 -0.1653087996
337 0.548166493  0.8224456657 -0.1519757312
338 0.5132178268  0.8446129477 -0.1524350051
339 0.4785672329  0.8678475449 -0.1334692565
340 0.447825959  0.8801143139 -0.1576410637
341 0.4131679542  0.9001810859 -0.137718024
342 0.3834955775  0.9154174464 -0.1222376407
343 0.3464419569  0.9320972547 -0.1057008909
344 0.3091356343  0.9417809802 -0.1322261128
345 0.2698686427  0.9504223491 -0.1544936051
346 0.2294232471  0.9571937127 -0.1764799424
347 0.1982607532  0.9652595757 -0.1701958439
348 0.156874886  0.9694885626 -0.1883671872
349 0.125682635  0.97401442 -0.1884138659
350 0.08858262332  0.9830669584 -0.1604134475
351 0.05214850791  0.989851967 -0.1321878081
352 0.01411202381  0.9951080374 -0.09777957176
353 -0.02492760047  0.9910880806 -0.1308550006
354 -0.05766131941  0.9873714629 -0.1475559776
355 -0.09750209506  0.9870814027 -0.1271363281
356 -0.1306612859  0.9852026544 -0.1109205039
357 -0.1697437647  0.9757269854 -0.1383614987
358 -0.2062420967  0.9650377392 -0.1617601912
359 -0.245767125  0.9532319092 -0.1759188662
360 -0.2794660876  0.9381262206 -0.2044942546
361 -0.3192478812  0.9258486381 -0.2022006174
362 -0.3486842587  0.9130639454 -0.2115030008
363 -0.38205437  0.8927010903 -0.2389962798
364 -0.4161006647  0.8833069969 -0.2159374589
365 -0.4470896417  0.8591793154 -0.2488408251
366 -0.4748641266  0.8393337413 -0.264618465
367 -0.5008051618  0.8153206673 -0.2905966266
368 -0.5391875291  0.796382403 -0.2739559758
369 -0.560730929  0.781036745 -0.2748862096
370 -0.5958766289  0.7559991621 -0.2709175335
371 -0.6240672832  0.7242488621 -0.2932637239
372 -0.6578729399  0.6925904579 -0.2958405862
373 -0.6798939346  0.6574459955 -0.3248214905
374 -0.7021455749  0.6411201593 -0.3097685152
375 -0.7247017803  0.6023104629 -0.3347079859
376 -0.7556633465  0.571989297 -0.3190629263
377 -0.7872960531  0.5413901514 -0.295062076
378 -0.7975204301  0.5115434695 -0.3198193902
379 -0.8082821868  0.4886665991 -0.32845831
380 -0.8236612617  0.4700517241 -0.3172278404
381 -0.8489153991  0.4450585642 -0.2850710783
382 -0.8673789626  0.4218965532 -0.2639261899
383 -0.8880700125  0.3958815585 -0.2336866376
384 -0.9087605732  0.3664561128 -0.1996600562
385 -0.9199228185  0.3268122522 -0.2166466244
386 -0.9234815374  0.2957643114 -0.2443467252
387 -0.9406866317  0.2530002647 -0.226052045
388 -0.9526938784  0.2123579514 -0.217436139
389 -0.9591166834  0.1817923412 -0.2169025871
390 -0.9642495746  0.1399934177 -0.2249991132
391 -0.9640974677  0.09801141587 -0.2467991799
392 -0.9611923288  0.06539094442 -0.2680174087
393 -0.9656890919  0.0223320939 -0.2587389716
394 -0.9667354023  -0.02318946918 -0.2547251665
395 -0.965945153  -0.0523040084 -0.253405312
396 -0.9702014342  -0.08993023623 -0.2249927325
397 -0.957450361  -0.1286852985 -0.2583193765
398 -0.9542785271  -0.1730540899 -0.2437309473
399 -0.9535009548  -0.2110393579 -0.215170441
400 -0.9395364627  -0.2410775378 -0.2432136016
401 -0.9280996187  -0.2847052589 -0.239945855
402 -0.9132059717  -0.3260458304 -0.2444360237
403 -0.8930370521  -0.3565888349 -0.2744617029
404 -0.8853937386  -0.3954101205 -0.2443946897
405 -0.872611149  -0.4205424575 -0.2483824149
406 -0.8492565723  -0.4474657752 -0.2802457035
407 -0.8285460095  -0.4696154736 -0.3049144423
408 -0.8108909399  -0.4941254414 -0.3135218202
409 -0.7873708528  -0.5143731196 -0.3398049939
410 -0.7770804974  -0.537632703 -0.3272567452
411 -0.7594548981  -0.5742154465 -0.3057856745
412 -0.7479335629  -0.5991682975 -0.2856444236
413 -0.7170924016  -0.6185586148 -0.3211911076
414 -0.698409373  -0.6363942185 -0.3274549531
415 -0.662926589  -0.6560067088 -0.360809556
416 -0.6322162435  -0.6726018092 -0.3845899475
417 -0.5996391375  -0.6842129236 -0.4150729814
418 -0.5733227163  -0.6936603876 -0.4360462472
419 -0.5599643952  -0.7226319727 -0.4052689332
420 -0.5416938652  -0.7362154898 -0.4056531881
421 -0.5230817871  -0.7639329201 -0.3778782046
422 -0.5029492385  -0.78911147 -0.3526260787
423 -0.4627965152  -0.815098762 -0.3484729454
424 -0.4323448166  -0.8183875887 -0.3785759029
425 -0.4105915765  -0.8271018737 -0.3838190301
426 -0.3684811972  -0.835829174 -0.406953559
427 -0.3516259601  -0.8486010907 -0.3952662053
428 -0.3265989387  -0.8575899516 -0.3973318615
429 -0.308609912  -0.8667294598 -0.391841761
430 -0.2875198667  -0.8704324489 -0.3995993972
431 -0.2655716412  -0.8727684272 -0.4095692564
432 -0.2281516859  -0.8709910582 -0.435110773
433 -0.1981984719  -0.8644929514 -0.4619191517
434 -0.1527614112  -0.8817870129 -0.4462237277
435 -0.1278590513  -0.877330989 -0.4625390781
436 -0.105625698  -0.868614811 -0.4840986698
437 -0.08444836905  -0.8749695966 -0.4767564137
438 -0.0362611219  -0.8785533334 -0.4762658622
439 0.007891131416  -0.8748460667 -0.4843367523
440 0.02961226072  -0.8622237046 -0.5056613464
441 0.05344028158  -0.871525733 -0.487429003
442 0.09838828069  -0.8796423503 -0.4653483446
443 0.1399476065  -0.8637220639 -0.484147564
444 0.1754381905  -0.8712758593 -0.4583664673
445 0.2077549408  -0.8487442019 -0.4862830085
446 0.242334768  -0.8257348107 -0.5093484885
447 0.2677233096  -0.8287091692 -0.4914929728
448 0.3082872365  -0.8263904452 -0.4712088835
449 0.3212772517  -0.8151435403 -0.4819978591
450 0.3462119793  -0.7909101143 -0.504577503
451 0.3590152339  -0.7760319717 -0.5185387553
452 0.3733669086  -0.751901658 -0.5433608822
453 0.3886677635  -0.7331264923 -0.5580886273
454 0.4085061572  -0.7321539737 -0.5450442902
455 0.4431148945  -0.7013682049 -0.5583295008
456 0.4814484202  -0.6740246814 -0.5602661399
457 0.5215270933  -0.6597034062 -0.5411108083
458 0.5266193305  -0.6319120819 -0.5686468162
459 0.5355113538  -0.6241267182 -0.5689406205
460 0.5738146023  -0.6155051972 -0.5402685947
461 0.5784816329  -0.5820236476 -0.5714958216
462 0.6150342373  -0.5532225263 -0.5618520475
463 0.649464396  -0.516072357 -0.5584490314
464 0.6730360032  -0.4723851399 -0.569100007
465 0.6831799965  -0.4693760774 -0.5594204058
466 0.7092154304  -0.4331740344 -0.5562137442
467 0.7262309143  -0.3829797185 -0.5708898268
468 0.7198046436  -0.3521103195 -0.5982471044
469 0.7146969938  -0.3375105938 -0.6126130966
470 0.7209818898  -0.3253464807 -0.6118290465
471 0.7346074464  -0.3104784168 -0.603286874
472 0.7599610257  -0.2812775913 -0.5859540563
473 0.752634321  -0.2513340929 -0.6085825767
474 0.7452868477  -0.2208115007 -0.6291182686
475 0.7741384916  -0.1999494427 -0.6006078723
476 0.7686525434  -0.1563664427 -0.6202602705
477 0.7592118317  -0.1337379681 -0.6369549046
478 0.747201493  -0.1080512739 -0.6557551762
479 0.7260447332  -0.0781911989 -0.6831875158
480 0.7467366465  -0.05804532723 -0.6625821615
481 0.7476987681  -0.05110994953 -0.662068218
482 0.7508395167  -0.001650580884 -0.6604826233
483 0.7419352244  0.01096476367 -0.6703819037
484 0.7304973627  0.02300156109 -0.6825280443
485 0.7115135272  0.05159326637 -0.7007757383
486 0.68882935  0.06788597147 -0.7217379174
487 0.7025454098  0.09858416857 -0.704777347
488 0.683406415  0.1404462671 -0.7164010874
489 0.670643231  0.143629647 -0.727741837
490 0.6789858923  0.158706017 -0.7167918513
491 0.6559252175  0.1965501522 -0.7287867636
492 0.6652260266  0.2079599867 -0.7170962121
493 0.6663583371  0.2219577325 -0.7118295664
494 0.6354877066  0.2451800608 -0.7321489688
495 0.6038269257  0.2768555786 -0.7474918276
496 0.6146920654  0.3096265593 -0.7254550699
497 0.6253583207  0.31938917 -0.7119814105
498 0.5935244567  0.3536605948 -0.7229473722
499 0.5592336049  0.389609075 -0.7317530621
500 0.5220856893  0.4098715317 -0.7479517769
501 0.4877651675  0.4132263373 -0.7689792816
502 0.490926029  0.4317904558 -0.7566694366
503 0.4878059603  0.4692326441 -0.7361155282
504 0.4955456507  0.4826815227 -0.7221170651
505 0.4593749179  0.5128076293 -0.7252606567
506 0.4615902624  0.5248348094 -0.7151802937
507 0.4212408904  0.5414648976 -0.7275794643
508 0.4103253393  0.5367984577 -0.7372113209
509 0.3938390777  0.5232407086 -0.7557181629
510 0.3582226  0.5259586648 -0.771390985
511 0.3115073758  0.5294880512 -0.789053584
512 0.3066374278  0.5220829108 -0.7958661459
513 0.2867875047  0.5610208783 -0.7765362202
514 0.2462364798  0.5538663039 -0.7953613728
515 0.2507633592  0.5519950439 -0.7952478917
516 0.2322670465  0.5325536819 -0.8139033081
517 0.1845569187  0.5436951508 -0.8187394743
518 0.1451031144  0.5606423055 -0.8152455406
519 0.1465395486  0.5772597918 -0.8033039857
520 0.1022451471  0.5683941859 -0.816378576
521 0.05689521139  0.5725046773 -0.8179250145
522 0.01045333587  0.5754708241 -0.8177555004
523 -0.03346565052  0.5840237283 -0.8110464445
524 -0.0313245084  0.5689809424 -0.8217538941
525 -0.04318644482  0.548546087 -0.8350042643
526 -0.06270218664  0.5193549682 -0.8522551571
527 -0.05263616093  0.5058349687 -0.8610228911
528 -0.1038460988  0.495372122 -0.862451418
529 -0.1414475346  0.5052789111 -0.8512848036
530 -0.1392673327  0.5187403364 -0.8435123434
531 -0.1400772451  0.5030493733 -0.8528304013
532 -0.1371885986  0.5132465545 -0.847205561
533 -0.134048736  0.4927514775 -0.8597830644
534 -0.1640790407  0.5113750612 -0.8435482293
535 -0.2059188309  0.516962628 -0.8308712754
536 -0.2434867105  0.5324396558 -0.8106924415
537 -0.2884098794  0.5251982859 -0.8006163263
538 -0.3333909664  0.5085082979 -0.7938953171
539 -0.3763804381  0.4809894535 -0.7918250511
540 -0.4122495746  0.461121042 -0.785759297
541 -0.4085487678  0.4356048255 -0.8020825022
542 -0.4237173962  0.3938299645 -0.815696958
543 -0.4506902623  0.3979835748 -0.7990540418
544 -0.4637181594  0.3615704456 -0.8088462657
545 -0.5003823463  0.3307627638 -0.8001334274
546 -0.4862266063  0.304503765 -0.819061136
547 -0.5208193597  0.296167491 -0.8006447476
548 -0.5307407327  0.2471796452 -0.8106889031
549 -0.5445361099  0.2448840123 -0.80219215
550 -0.5326517815  0.2033683166 -0.8215372222
551 -0.5131067753  0.1875853932 -0.8375757622
552 -0.4935159159  0.1478629436 -0.8570756038
553 -0.4928247124  0.1613993566 -0.855028684
554 -0.474490819  0.1553385518 -0.8664458419
555 -0.4644503864  0.1185631476 -0.8776266966
556 -0.4814168693  0.1121986149 -0.8692808918
557 -0.4867924671  0.06878963621 -0.8708048461
558 -0.5097535249  0.06542143182 -0.8578294586
559 -0.5289303468  0.06579712711 -0.8461107648
560 -0.5051712659  0.04587899061 -0.8617987644
561 -0.483546272  0.007444860373 -0.8752871397
562 -0.4631820755  -0.03347470564 -0.8856307408
563 -0.4800983902  -0.0298837853 -0.876705478
564 -0.457681539  -0.07179520851 -0.8862127605
565 -0.4695696522  -0.05761362457 -0.8810136276
566 -0.4866225944  -0.09308209252 -0.8686392661
567 -0.4992942487  -0.1320666224 -0.8563081574
568 -0.4759625756  -0.1704534009 -0.8627892354
569 -0.4418458167  -0.1960518771 -0.8754061547
570 -0.4476590175  -0.2334048801 -0.863205402
571 -0.4248707826  -0.2197715059 -0.8781715682
572 -0.3907159914  -0.2610912371 -0.8827074147
573 -0.3654560569  -0.2945415048 -0.8829989651
574 -0.3756716447  -0.3225981403 -0.8687929876
575 -0.3343736618  -0.3296156438 -0.8829200313
576 -0.3434834667  -0.3382991488 -0.8761123182
577 -0.3191174947  -0.3359813021 -0.8861605888
