0 0.938676  0 0.3448
135 0.1811564021  -0.9600490087 0.2132797666
136 0.2213016222  -0.9418881403 0.2527297432
137 0.2526661557  -0.9201741291 0.2990641835
138 0.2746063675  -0.9015831434 0.3342741069
139 0.2923279165  -0.8920448354 0.3446743403
140 0.3143032885  -0.8915112266 0.3262225861
141 0.3459289717  -0.8935800691 0.2860905568
142 0.3860828884  -0.8907296218 0.2398765186
143 0.4296762117  -0.8792784371 0.2055426552
144 0.472024586  -0.8594222572 0.1964336379
145 0.5099248728  -0.8326354413 0.2160899028
146 0.5403446479  -0.8012768904 0.2568715755
147 0.5612376555  -0.7702252834 0.3029278904
148 0.5748385889  -0.7459382781 0.336357967
149 0.5884376393  -0.7316346417 0.3441684119
150 0.6097104805  -0.7236815859 0.3233235102
151 0.6408340321  -0.7140377899 0.2819251281
152 0.6776873086  -0.6964293411 0.23606373
153 0.7142508063  -0.6696322166 0.2035644374
154 0.7464251519  -0.6356235469 0.1970588724
155 0.77180713  -0.5969251591 0.2190755772
156 0.7884424636  -0.5569628362 0.2610572366
157 0.7964445741  -0.5211711041 0.3066866817
158 0.8006213954  -0.4945771549 0.3382289448
159 0.8090142829  -0.477027869 0.3434243764
160 0.8270525857  -0.4619757798 0.3202536485
161 0.8533230847  -0.4412594048 0.2777226148
162 0.8815415012  -0.4109653219 0.2323619717
163 0.9058554028  -0.3724269823 0.2018022105
164 0.9233643021  -0.3289765957 0.1979211081
165 0.9327718006  -0.283816601 0.2222271472
166 0.9335756476  -0.2409701955 0.2652732084
167 0.928155133  -0.2054855769 0.3103284177
168 0.9230885118  -0.1799680714 0.3398809978
169 0.9256651025  -0.1608595311 0.3424446368
170 0.9380394339  -0.1399231634 0.3170229153
