0.005 0
0.015 0
0.025 0
0.035 0
0.045 0
0.055 0
0.065 0
0.075 0
0.085 0
0.095 0
0.105 0
0.115 0
0.125 0
0.135 0
0.145 0
0.155 0
0.165 0
0.175 0
0.185 0
0.195 0
0.205 0
0.215 0
0.225 0
0.235 0
0.245 0
0.255 0
0.265 0
0.275 0
0.285 0
0.295 0
0.305 0
0.315 0
0.325 0
0.335 0
0.345 0
0.355 0
0.365 0
0.375 0
0.385 0
0.395 0
0.405 0
0.415 0
0.425 0
0.435 0
0.445 0
0.455 0
0.465 0
0.475 0
0.485 0
0.495 0
0.505 0
0.515 0
0.525 0
0.535 0
0.545 0
0.555 0
0.565 0
0.575 0
0.585 0
0.595 0
0.605 2
0.615 3
0.625 0
0.635 0
0.645 1
0.655 5
0.665 8
0.675 3
0.685 16
0.695 15
0.705 18
0.715 24
0.725 36
0.735 54
0.745 73
0.755 90
0.765 140
0.775 172
0.785 238
0.795 378
0.805 514
0.815 662
0.825 939
0.835 1397
0.845 1856
0.855 2691
0.865 3893
0.875 5168
0.885 7305
0.895 9947
0.905 14058
0.915 19465
0.925 27373
0.935 38009
0.945 52940
0.955 74337
0.965 103544
0.975 145605
0.985 203549
0.995 285472
