0 0.784602  -0 0.62
1 0.784643  -4.62351e-08 0.6199476918
31 0.7858814667  -1.445389262e-06 0.6183771667
61 0.7871166484  -2.867890135e-06 0.6168041681
91 0.7883486817  -4.313623855e-06 0.6152287022
121 0.7895775616  -5.782476539e-06 0.6136507754
151 0.7908032831  -7.27433404e-06 0.6120703941
181 0.7920258415  -8.789081947e-06 0.6104875644
211 0.7932452317  -1.032660556e-05 0.6089022928
241 0.794461449  -1.188678996e-05 0.6073145856
271 0.7956744884  -1.346951995e-05 0.6057244492
301 0.7968843451  -1.50746801e-05 0.6041318898
331 0.7980910142  -1.670215472e-05 0.602536914
361 0.799294491  -1.835182791e-05 0.600939528
391 0.8004947706  -2.00235835e-05 0.5993397382
421 0.8016918483  -2.171730502e-05 0.5977375511
451 0.8028857191  -2.343287576e-05 0.596132973
481 0.8040763784  -2.517017877e-05 0.5945260104
511 0.8052638214  -2.692909683e-05 0.5929166697
541 0.8064480433  -2.870951248e-05 0.5913049574
571 0.8076290394  -3.0511308e-05 0.5896908798
601 0.808806805  -3.233436546e-05 0.5880744435
631 0.8099813354  -3.417856662e-05 0.5864556549
661 0.8111526258  -3.604378973e-05 0.5848345205
691 0.8123206716  -3.792991152e-05 0.5832110468
721 0.8134854681  -3.983682077e-05 0.5815852402
751 0.8146470107  -4.176439829e-05 0.5799571073
781 0.8158052946  -4.371252466e-05 0.5783266545
811 0.8169603154  -4.56810802e-05 0.5766938885
841 0.8181120682  -4.766994502e-05 0.5750588157
871 0.8192605487  -4.967899897e-05 0.5734214427
901 0.820405752  -5.170812166e-05 0.571781776
931 0.8215476737  -5.375719247e-05 0.5701398222
961 0.8226863093  -5.582609054e-05 0.5684955879
991 0.823821654  -5.791469478e-05 0.5668490795
1021 0.8249537035  -6.002288385e-05 0.5652003038
1051 0.8260824531  -6.21505362e-05 0.5635492674
1081 0.8272078984  -6.429753002e-05 0.5618959767
1111 0.8283300349  -6.646374328e-05 0.5602404384
1141 0.829448858  -6.864905374e-05 0.5585826593
1171 0.8305643633  -7.085333889e-05 0.5569226457
1201 0.8316765464  -7.307647601e-05 0.5552604046
1231 0.8327854027  -7.531834217e-05 0.5535959424
1261 0.8338909278  -7.757881418e-05 0.5519292658
1291 0.8349931174  -7.985776864e-05 0.5502603815
1321 0.836091967  -8.215509486e-05 0.5485892962
1351 0.8371874722  -8.447066596e-05 0.5469160166
1381 0.8382796287  -8.680434799e-05 0.5452405493
1411 0.839368432  -8.915601665e-05 0.5435629011
1441 0.8404538778  -9.152554743e-05 0.5418830786
1471 0.8415359618  -9.391281558e-05 0.5402010887
1501 0.8426146796  -9.631769615e-05 0.5385169379
1531 0.843690027  -9.874006396e-05 0.5368306331
1561 0.8447619996  -0.0001011797936 0.535142181
1591 0.8458305931  -0.0001036367595 0.5334515883
1621 0.8468958032  -0.0001061108358 0.5317588619
1651 0.8479576258  -0.0001086018964 0.5300640084
1681 0.8490160565  -0.0001111098151 0.5283670348
1711 0.8500710912  -0.0001136344655 0.5266679476
1741 0.8511227255  -0.0001161757208 0.5249667538
1771 0.8521709553  -0.0001187334542 0.5232634602
1801 0.8532157765  -0.0001213075386 0.5215580736
1831 0.8542571847  -0.0001238978465 0.5198506007
1861 0.8552951759  -0.0001265042506 0.5181410485
1891 0.8563297459  -0.0001291266231 0.5164294237
1921 0.8573608905  -0.0001317648361 0.5147157332
1951 0.8583886057  -0.0001344187614 0.5129999839
1981 0.8594128874  -0.0001370882706 0.5112821826
2011 0.8604337313  -0.0001397732354 0.5095623362
2041 0.8614511335  -0.0001424735267 0.5078404516
2071 0.8624650899  -0.0001451890159 0.5061165357
2101 0.8634755964  -0.0001479195736 0.5043905953
2131 0.8644826489  -0.0001506650706 0.5026626374
2161 0.8654862435  -0.0001534253772 0.5009326688
2191 0.8664863762  -0.0001562003639 0.4992006966
2221 0.8674830429  -0.0001589899005 0.4974667276
2251 0.8684762396  -0.000161793857 0.4957307687
2281 0.8694659624  -0.0001646121031 0.493992827
2311 0.8704522073  -0.0001674445082 0.4922529093
2341 0.8714349704  -0.0001702909416 0.4905110226
2371 0.8724142478  -0.0001731512724 0.4887671739
2401 0.8733900354  -0.0001760253696 0.4870213702
2431 0.8743623295  -0.0001789131017 0.4852736184
2461 0.8753311261  -0.0001818143374 0.4835239256
2491 0.8762964213  -0.0001847289451 0.4817722987
2521 0.8772582114  -0.0001876567927 0.4800187448
2551 0.8782164924  -0.0001905977484 0.4782632708
2581 0.8791712605  -0.0001935516799 0.4765058838
2611 0.8801225119  -0.0001965184499 0.4747465908
2641 0.8810702428  -0.0001994978873 0.4729853988
2671 0.8820144494  -0.0002024899021 0.471222315
2701 0.8829551279  -0.0002054943615 0.4694573462
2731 0.8838922745  -0.0002085111323 0.4676904997
2761 0.8848258856  -0.0002115400812 0.4659217825
2791 0.8857559573  -0.0002145810748 0.4641512016
2821 0.886682486  -0.0002176339794 0.4623787642
2851 0.887605468  -0.0002206986613 0.4606044773
2881 0.8885248995  -0.0002237749863 0.458828348
2911 0.8894407769  -0.0002268628203 0.4570503834
2941 0.8903530965  -0.000229962029 0.4552705906
2971 0.8912618546  -0.0002330724779 0.4534889769
3001 0.8921670477  -0.0002361940323 0.4517055492
3031 0.8930686721  -0.0002393265573 0.4499203147
3061 0.8939667242  -0.0002424699179 0.4481332806
3091 0.8948612005  -0.000245623979 0.4463444539
3121 0.8957520972  -0.0002487886051 0.444553842
3151 0.8966394109  -0.0002519636608 0.4427614519
3181 0.8975231381  -0.0002551490103 0.4409672908
3211 0.8984032751  -0.0002583445179 0.4391713658
3241 0.8992798185  -0.0002615500475 0.4373736842
3271 0.9001527647  -0.0002647654629 0.4355742532
3301 0.9010221104  -0.0002679906279 0.4337730799
3331 0.9018878519  -0.0002712254059 0.4319701715
3361 0.9027499858  -0.0002744696603 0.4301655353
3391 0.9036085087  -0.0002777232544 0.4283591785
3421 0.9044634172  -0.000280986051 0.4265511084
3451 0.9053147078  -0.0002842579132 0.424741332
3481 0.9061623771  -0.0002875387037 0.4229298567
3511 0.9070064217  -0.0002908282851 0.4211166898
3541 0.9078468383  -0.0002941265198 0.4193018385
3571 0.9086836234  -0.00029743327 0.4174853099
3601 0.9095167739  -0.000300748398 0.4156671115
3631 0.9103462862  -0.0003040717657 0.4138472505
3661 0.9111721571  -0.000307403235 0.4120257341
3691 0.9119943833  -0.0003107426674 0.4102025697
