-0.989694 44
-0.969697 87
-0.9497 88
-0.929703 105
-0.909706 116
-0.88971 131
-0.869713 141
-0.849716 192
-0.829719 217
-0.809722 254
-0.789725 234
-0.769728 279
-0.749731 329
-0.729734 408
-0.709737 411
-0.68974 427
-0.669743 506
-0.649746 488
-0.629749 642
-0.609753 643
-0.589756 763
-0.569759 748
-0.549762 888
-0.529765 874
-0.509768 994
-0.489771 1049
-0.469774 1271
-0.449777 1311
-0.42978 1414
-0.409783 1451
-0.389786 1627
-0.369789 1616
-0.349793 1824
-0.329796 1886
-0.309799 2126
-0.289802 2166
-0.269805 2327
-0.249808 2417
-0.229811 2681
-0.209814 2800
-0.189817 3028
-0.16982 3199
-0.149823 3345
-0.129826 3706
-0.109829 3795
-0.0898325 4042
-0.0698356 4206
-0.0498387 4490
-0.0298418 4718
-0.00984485 5062
0.0101521 5224
0.030149 5496
0.0501459 5858
0.0701428 5962
0.0901398 6484
0.110137 6684
0.130134 6909
0.150131 7308
0.170127 7578
0.190124 8042
0.210121 8608
0.230118 8997
0.250115 9516
0.270112 9965
0.290109 10392
0.310106 10657
0.330103 11378
0.3501 11747
0.370097 12230
0.390094 12810
0.410091 13192
0.430087 13772
0.450084 14681
0.470081 15180
0.490078 16000
0.510075 16534
0.530072 17769
0.550069 18213
0.570066 18508
0.590063 19380
0.61006 19849
0.630057 21384
0.650054 21535
0.670051 22736
0.690047 23451
0.710044 24277
0.730041 24978
0.750038 26585
0.770035 27615
0.790032 28314
0.810029 28893
0.830026 30262
0.850023 31497
0.87002 32607
0.890017 34241
0.910014 35315
0.930011 36824
0.950007 38179
0.970004 38791
0.990001 40027
