0 0  -0 1
1 -0.000293307  -0.00104215 0.9999994139
101 -0.1922071383  0.04435148827 0.980351652
201 0.203596664  -0.03393901768 0.9784664233
301 -0.3925255213  -0.2157193089 0.8940855076
401 0.3106321756  0.1340081568 0.9410363783
501 -0.3256434422  -0.0978357702 0.9404172003
601 0.4825677878  0.09048313123 0.8711722753
701 -0.2774575459  0.0903590217 0.9564792509
801 0.2711086761  0.0212283599 0.9623146276
901 0.02554563534  0.2074794256 0.9779057769
1001 -0.06010062197  -0.02131683012 0.9979646827
1101 -0.01709416864  -0.006878933312 0.9998302204
1201 -0.06863136249  -0.2430577345 0.9675808358
1301 0.1852701378  0.3067833327 0.9335732231
1401 -0.1175916168  -0.3974603947 0.9100535403
1501 -0.04089056033  0.5060782529 0.8615177097
1601 0.1150466579  -0.6059246503 0.7871591863
1701 0.0873641259  0.6808305387 0.727211996
1801 -0.2068933746  -0.6466973556 0.7341509802
1901 0.2306104613  0.7436771757 0.627505437
2001 -0.305083953  -0.7751114842 0.5532865159
2101 0.3656944477  0.8833511485 0.2931864926
2201 -0.4139946846  -0.8502736141 0.3250279715
2301 0.465729242  0.7974815877 0.3835614559
2401 -0.6246314997  -0.7190786346 0.3045675735
2501 0.7644637587  0.5889453714 0.2621803028
2601 -0.8348288182  -0.4569143589 0.3070669518
2701 0.9078861514  0.3647632174 0.2066168708
2801 -0.8972947902  -0.2554225035 0.3600297268
2901 0.9440320672  0.1421697663 0.297642762
3001 -0.9800239487  -0.1556840521 0.1237559527
3101 0.9823742737  0.1224713444 0.141214575
3201 -0.9548029353  0.02567866007 0.2961282851
3301 0.9905551126  -0.1350978492 -0.02343373778
3401 -0.95739397  0.2599141392 -0.1258627285
3501 0.9350451897  -0.347152331 0.07194270195
3601 -0.8875726825  0.4421092771 0.1294377089
3701 0.8595388841  -0.4932853643 0.1336505001
3801 -0.814673133  0.5734191723 -0.08659179652
3901 0.734846781  -0.6385948976 -0.228466114
