0 0  -0 1
1 2.22222e-05  2.85676e-15 0.9999999998
1001 -0.0001770263226  -0.0003338202417 0.9999999286
2001 -0.0001873686734  -0.000241203074 0.9999999534
3001 -0.001009310055  -0.0003235510811 0.9999994383
4001 -0.0008880595299  -0.0001666966443 0.9999995918
5001 2.720590004e-05  0.000677804267 0.9999997699
6001 0.0003602834621  0.001311406306 0.9999990752
7001 7.928356547e-06  0.001385916873 0.9999990396
8001 0.001018618105  0.0007392825769 0.9999992079
9001 0.001189279237  0.001062253408 0.9999987286
10001 0.0009744519831  0.001284330235 0.9999987005
11001 0.001327035505  0.0009817095912 0.9999986376
12001 0.001347951743  0.001074526825 0.9999985142
13001 0.0006001557794  0.0009619172112 0.9999993573
14001 0.0001415698435  0.001414791287 0.9999989892
15001 0.0006705754353  0.002477921676 0.9999967051
16001 0.001044536166  0.002125708406 0.9999971951
17001 0.001195029452  0.001773512718 0.9999977133
18001 0.001133786417  0.002072644686 0.9999972093
19001 0.0005820245399  0.001956538253 0.9999979166
20001 0.0009090032483  0.001218239317 0.9999988448
21001 4.17186499e-06  0.0006188806077 0.9999998085
22001 0.0003739678538  0.001511882512 0.9999987872
23001 8.642189152e-05  0.001700251037 0.9999985508
24001 0.0007109741222  0.002279072158 0.9999971502
25001 0.0003385622062  0.002482369895 0.9999968616
26001 -0.0002531997041  0.002211395795 0.9999975228
27001 -0.0006280903336  0.001602816239 0.9999985182
28001 -0.0006596286612  0.0009237580332 0.9999993558
29001 -0.001416675112  0.001429575409 0.9999979747
30001 -0.002142674231  0.001485250121 0.9999966015
31001 -0.001992452066  0.001023859873 0.9999974909
32001 -0.002307732017  0.0008923790159 0.999996939
33001 -0.002409205967  0.0008899010114 0.9999967019
34001 -0.001854305499  0.001125249309 0.9999976477
35001 -0.002222516104  0.001033428977 0.9999969962
36001 -0.001174189282  0.0006177965039 0.9999991198
37001 -0.0006365008454  0.0001865466235 0.99999978
38001 -0.0007433368654  0.001025035558 0.9999991984
39001 -0.001281463384  0.0004734356937 0.9999990669
40001 -0.001655652564  0.0004977208676 0.9999985055
41001 -0.002545286168  0.0004497353452 0.9999966596
42001 -0.003188762439  0.000962665048 0.9999944525
43001 -0.003276351277  0.0006857059682 0.9999943976
44001 -0.003916520663  -0.0003973438969 0.9999922515
45001 -0.004157926277  1.532601429e-05 0.9999913557
46001 -0.004651069291  -0.000161460323 0.9999891707
47001 -0.003749618331  -0.000189129158 0.9999929523
48001 -0.003078115279  -0.0002296423475 0.9999952362
49001 -0.002677896137  -0.0009927998448 0.9999959216
50001 -0.003203405674  -0.0006600477977 0.9999946512
51001 -0.002891732987  -0.0007165927108 0.9999955622
52001 -0.00324994615  -0.0002226466842 0.9999946941
53001 -0.003578088542  0.0004413980791 0.9999935012
54001 -0.003330331326  0.0007224107042 0.9999941935
55001 -0.003818662283  0.001156803435 0.9999920398
56001 -0.004029804109  0.001119773482 0.9999912534
57001 -0.004046144176  -0.0001249874122 0.9999918065
58001 -0.004414944148  -0.0001772283279 0.9999902384
59001 -0.00438233211  0.0001169449918 0.9999903907
60001 -0.003597527587  0.0006008856512 0.9999933483
61001 -0.003716104786  0.001637126754 0.9999917552
62001 -0.003881688948  0.001176853143 0.9999917737
63001 -0.003525542776  0.001590239234 0.9999925208
64001 -0.00354522102  0.002306252424 0.9999910563
65001 -0.003832175839  0.00206106907 0.9999905332
66001 -0.003018442518  0.002164107887 0.9999931028
67001 -0.002611076062  0.001924411133 0.9999947394
68001 -0.002224355543  0.002381824998 0.9999946896
69001 -0.001871791916  0.001757645357 0.9999967035
70001 -0.002918415295  0.002544385527 0.9999925044
71001 -0.003404838821  0.001768761437 0.9999926392
72001 -0.003704632808  0.00136734034 0.999992203
73001 -0.00435703625  0.0008797391432 0.9999901211
74001 -0.003760413338  0.0009005234947 0.9999925241
75001 -0.00284808184  0.0006582614121 0.9999957275
76001 -0.00304621202  0.001351853157 0.9999944465
77001 -0.003973228753  0.0009690106651 0.9999916372
78001 -0.003665201313  0.001259373372 0.9999924901
79001 -0.004904058565  0.001315990128 0.9999871091
80001 -0.005010829755  0.00153760758 0.9999862636
81001 -0.005626334802  0.001066305697 0.9999836035
82001 -0.005490010089  0.0004496820617 0.9999848287
83001 -0.005026151558  -0.0001220321218 0.9999873614
84001 -0.0055403041  0.000187801628 0.9999846348
85001 -0.005772534423  0.0005464931272 0.9999831894
86001 -0.005954655386  0.001036914322 0.9999817333
87001 -0.005988961736  0.0011194792 0.9999814394
88001 -0.006135861876  0.0008617769576 0.9999808041
89001 -0.005231853125  0.0004285916335 0.9999862219
90001 -0.005674423419  0.0002345697702 0.9999838728
91001 -0.00579395308  -0.0001272662398 0.9999832068
92001 -0.006800258518  0.0004406280955 0.9999767809
93001 -0.006844355015  2.762643148e-05 0.9999765767
94001 -0.007309899275  1.471181348e-06 0.9999732823
95001 -0.007316778735  -0.0003543156595 0.9999731692
96001 -0.006839450799  -0.0005294144907 0.9999764705
97001 -0.006794257918  -0.001227669543 0.9999761652
98001 -0.006203593814  -0.002373464468 0.9999779408
99001 -0.006528310592  -0.002175876912 0.9999763231
100001 -0.006939326654  -0.002068824994 0.9999737825
101001 -0.006855199048  -0.001049683415 0.9999759519
102001 -0.0068401556  -0.0007662060562 0.9999763123
103001 -0.006786536465  -0.001255443754 0.9999761831
104001 -0.006708900005  -0.0007141759622 0.99997724
105001 -0.00721524098  -0.001285411155 0.9999731436
106001 -0.006417349724  -0.000814662064 0.9999790767
107001 -0.005687202936  -0.0006849276671 0.9999835932
108001 -0.005441373316  -0.0006085078551 0.9999850105
109001 -0.005281201775  -0.0009786937212 0.9999855754
110001 -0.005565720661  -0.001021308589 0.9999839897
111001 -0.005922230556  -0.001070367094 0.9999818906
112001 -0.005694079631  -0.001203517191 0.9999830643
113001 -0.006740883268  -0.0006909752014 0.9999770412
114001 -0.007264833223  -0.0006547269658 0.9999733964
115001 -0.007186965217  -6.613820751e-06 0.9999741734
116001 -0.007694867537  -0.0001783170313 0.9999703782
117001 -0.008075270844  0.0001199596405 0.9999673873
118001 -0.008391854874  -5.162436244e-05 0.9999647864
119001 -0.008572416145  -0.0009615534596 0.9999627938
120001 -0.009178288061  -0.0008488251982 0.9999575183
121001 -0.009400308635  -0.0003523421734 0.999955754
122001 -0.01007414087  -0.0002812417653 0.999949215
123001 -0.009781048771  -0.0008337525235 0.9999518168
124001 -0.01028367204  -0.000695656055 0.9999468797
125001 -0.01095126989  -0.001039022851 0.9999394932
126001 -0.0116807314  -0.001390052735 0.9999308117
127001 -0.01083630158  -0.0009098700126 0.9999408716
128001 -0.01125650245  -0.0003669893684 0.9999365762
129001 -0.01145464135  -0.0004858154933 0.9999342754
130001 -0.01032656517  -0.0001764078495 0.999946664
131001 -0.009792647845  0.0005222954773 0.9999519145
132001 -0.009834739216  -0.0003424669258 0.9999515791
133001 -0.009639224473  -0.0009280955801 0.9999531109
134001 -0.009461838085  -0.0004203463813 0.9999551474
135001 -0.008619345585  -0.0005719685019 0.9999626892
136001 -0.008956996753  -0.0003626210265 0.9999598195
137001 -0.008928791271  0.0004642146301 0.9999600298
138001 -0.009700646504  0.0009557773413 0.9999524908
139001 -0.009809681941  0.001302116236 0.9999510361
140001 -0.01048389839  0.002175981224 0.9999426748
141001 -0.01114678957  0.002015217166 0.9999358419
142001 -0.01120339127  0.001635905435 0.9999359019
