0 0  -0 1
1318 0.0005216347107  -0.001595398362 0.9999985913
1321 0.0001301071897  4.549811991e-05 0.9999999905
1324 0.0005843090668  -0.001567525168 0.9999986007
1327 0.0001915972536  7.590592124e-05 0.9999999788
1330 0.0006445028592  -0.001534635915 0.9999986148
1333 0.000250404212  0.0001112244318 0.9999999625
1336 0.0007018154811  -0.001496949488 0.9999986333
1339 0.0003061367187  0.0001512186098 0.9999999417
1342 0.0007558654997  -0.001454716693 0.9999986562
1345 0.000358423888  0.0001956222967 0.9999999166
1348 0.0008062931952  -0.001408218595 0.9999986834
1351 0.0004069177632  0.0002441399884 0.9999998874
1354 0.0008527629541  -0.001357764643 0.9999987146
1357 0.0004512956319  0.0002964488021 0.9999998542
1360 0.0008949655032  -0.001303690613 0.9999987497
1363 0.0004912621742  0.0003522006249 0.9999998173
1366 0.0009326199674  -0.001246356374 0.9999987884
1369 0.0005265514276  0.0004110244307 0.9999997769
1372 0.0009654757394  -0.001186143489 0.9999988305
1375 0.0005569285573  0.000472528749 0.9999997333
1378 0.000993314147  -0.001123452681 0.9999988756
1381 0.0005821914186  0.0005363042708 0.9999996867
1384 0.001015949909  -0.001058701163 0.9999989235
1387 0.0006021719029  0.000601926572 0.9999996375
1390 0.001033232367  -0.0009923198603 0.9999989739
1393 0.0006167370556  0.0006689589382 0.9999995861
1396 0.00104504649  -0.0009247505473 0.9999990264
1399 0.0006257899615  0.000736955271 0.9999995326
1402 0.001051313639  -0.000856442903 0.9999990806
1405 0.0006292703897  0.0008054630571 0.9999994776
1408 0.001051992088  -0.0007878515206 0.9999991363
1411 0.0006271551942  0.0008740263793 0.9999994214
1414 0.001047077307  -0.0007194328814 0.999999193
1417 0.0006194584681  0.0009421889508 0.9999993643
1420 0.001036601987  -0.0006516423175 0.9999992504
1423 0.0006062314495  0.001009497152 0.9999993067
1426 0.001020635826  -0.0005849309809 0.9999993081
1429 0.0005875621812  0.001075503049 0.999999249
1432 0.0009992850611  -0.0005197428417 0.9999993656
1435 0.0005635749238  0.001139767376 0.9999991917
1438 0.0009726917671  -0.0004565117328 0.9999994227
1441 0.0005344293297  0.001201862456 0.999999135
1444 0.0009410329065  -0.0003956584635 0.999999479
1447 0.0005003193797  0.001261375049 0.9999990793
1450 0.0009045191536  -0.0003375880182 0.9999995339
1453 0.0004614720928  0.001317909102 0.9999990251
1456 0.0008633934921  -0.0002826868617 0.9999995873
1459 0.0004181460148  0.001371088383 0.9999989726
1462 0.0008179295983  -0.0002313203674 0.9999996387
1465 0.0003706294981  0.001420558987 0.9999989223
1468 0.0007684300194  -0.000183830385 0.9999996879
1471 0.0003192387823  0.001465991692 0.9999988745
1474 0.0007152241605  -0.0001405329664 0.9999997344
1477 0.0002643158901  0.001507084145 0.9999988294
1480 0.000658666092  -0.0001017162616 0.9999997779
1483 0.0002062263505  0.001543562881 0.9999987874
1486 0.0005991321935  -6.763860136e-05 0.9999998182
1489 0.0001453567669  0.001575185136 0.9999987488
1492 0.0005370186489  -3.852677806e-05 0.9999998551
1495 8.211224354e-05  0.001601740468 0.9999987138
1498 0.0004727388098  -1.457453621e-05 0.9999998882
1501 1.69136902e-05  0.001623052156 0.9999986827
1504 0.0004067204446  4.05871687e-06 0.9999999173
1507 -4.980497949e-05  0.001638978374 0.9999986556
1510 0.0003394028915  1.72489719e-05 0.9999999423
1513 -0.0001175997355  0.001649413137 0.9999986328
1516 0.0002712341353  2.490844297e-05 0.9999999629
1519 -0.0001860193864  0.001654287006 0.9999986144
1522 0.0002026678253  2.698615173e-05 0.9999999791
1525 -0.0002546085821  0.00165356755 0.9999986004
1528 0.0001341602567  2.34682667e-05 0.9999999907
1531 -0.0003229108445  0.00164725956 0.9999985911
1534 6.616733365e-05  1.437819529e-05 0.9999999977
1537 -0.0003904716045  0.001635405022 0.9999985865
1540 -8.584645233e-07  -2.235719617e-07 1
1543 -0.0004568412283  0.00161808283 0.9999985866
1546 -6.647109481e-05  -2.023986396e-05 0.9999999976
1549 -0.0005215780087  0.001595408269 0.9999985913
1552 -0.0001302339189  -4.553747574e-05 0.9999999905
1555 -0.0005842511053  0.001567532243 0.9999986007
1558 -0.0001917226089  -7.594805491e-05 0.9999999787
1561 -0.0006444434116  0.001534640271 0.9999986148
1564 -0.0002505279716  -0.0001112692221 0.9999999624
1567 -0.0007017543305  0.001496951253 0.9999986333
1570 -0.0003062586714  -0.0001512659178 0.9999999417
1573 -0.0007558024408  0.001454716016 0.9999986563
1576 -0.0003585438345  -0.0001956719667 0.9999999166
1579 -0.0008062280353  0.001408215639 0.9999986835
1582 -0.0004070355175  -0.0002441918491 0.9999998873
1585 -0.0008526955144  0.001357759587 0.9999987147
1588 -0.0004514110229  -0.0002965026674 0.9999998542
1591 -0.0008948956202  0.00130368365 0.9999987498
1594 -0.0004913750462  -0.0003522562956 0.9999998172
1597 -0.0009325474938  0.001246347709 0.9999987885
1600 -0.0005266616419  -0.0004110816953 0.9999997768
1603 -0.0009654005451  0.00118613334 0.9999988305
1606 -0.0005570359927  -0.0004725873857 0.9999997332
1609 -0.0009932361201  0.001123441274 0.9999988757
1612 -0.0005822959726  -0.0005363640485 0.9999996866
1615 -0.001015868956  0.001058688732 0.9999989236
1618 -0.000602273492  -0.000601987252 0.9999996374
1621 -0.001033148415  0.0009923066486 0.999998974
