0 0  -0 1
1 0.000601562  0.000601562 0.9999996381
4 0.001033735987  -0.000992398904 0.9999989733
7 0.0006161457142  0.0006685907007 0.9999995867
10 0.001045568428  -0.0009248327985 0.9999990257
13 0.0006252170526  0.0007365845792 0.9999995333
16 0.001051854094  -0.000856526858 0.99999908
19 0.000628716052  0.0008050914215 0.9999994783
22 0.001052551139  -0.0007879356643 0.9999991356
25 0.000626619443  0.0008736553168 0.999999422
28 0.001047654906  -0.0007195156976 0.9999991924
31 0.0006189411949  0.0009418199746 0.9999993649
34 0.001037197965  -0.0006517222986 0.9999992497
37 0.000605732423  0.001009131761 0.9999993074
40 0.001021249889  -0.0005850066385 0.9999993074
43 0.0005870810484  0.00107514272 0.9999992497
46 0.0009999167982  -0.0005198127159 0.999999365
49 0.0005631112129  0.001139413549 0.9999991923
52 0.0009733406473  -0.0004565744025 0.9999994221
55 0.0005339824527  0.00120151653 0.9999991356
58 0.0009416982854  -0.0003957125551 0.9999994783
61 0.0004998886368  0.00126103837 0.9999990799
64 0.0009052002769  -0.0003376322156 0.9999995333
67 0.0004610566767  0.001317582954 0.9999990257
70 0.0008640895008  -0.0002827199146 0.9999995867
73 0.0004177450162  0.001370773981 0.9999989732
76 0.0008186395343  -0.0002313410995 0.9999996382
79 0.0003702419117  0.001420257467 0.9999989229
82 0.0007691528321  -0.0001838377023 0.9999996873
85 0.0003188635136  0.001465704104 0.999998875
88 0.0007159587133  -0.0001405258638 0.9999997338
91 0.0002639517627  0.001506811447 0.9999988299
94 0.0006594111704  -0.0001016938302 0.9999997774
97 0.0002058721137  0.001543305931 0.9999987879
100 0.000599886513  -6.76000343e-05 0.9999998178
103 0.0001450111043  0.001574944689 0.9999987493
106 0.0005377808633  -3.847137582e-05 0.9999998547
109 8.177378161e-05  0.001601517168 0.9999987142
112 0.0004735075204  -1.450171132e-05 0.9999998878
115 1.658100749e-05  0.001622846532 0.999998683
118 0.0004074942095  4.149435903e-06 0.999999917
121 -5.013334288e-05  0.001638790839 0.9999986559
124 0.0003401802353  1.735793748e-05 0.999999942
127 -0.0001179252682  0.001649243982 0.999998633
130 0.0002720135587  2.503588605e-05 0.9999999627
133 -0.0001863435959  0.001654136402 0.9999986146
136 0.000203447815  2.71321803e-05 0.9999999789
139 -0.0002549329848  0.001653435542 0.9999986006
142 0.0001349392958  2.363286504e-05 0.9999999906
145 -0.0003232369552  0.001647146071 0.9999985912
148 6.694391165e-05  1.456122409e-05 0.9999999977
151 -0.0003908009271  0.00163530985 0.9999985865
154 -8.584190696e-08  -2.23746814e-08 1
157 -0.0004571752449  0.001618005653 0.9999985865
160 -6.570389546e-05  -2.00208811e-05 0.9999999976
163 -0.0005219181704  0.001595348645 0.9999985912
166 -0.0001294735746  -4.530120857e-05 0.9999999906
169 -0.0005845988223  0.001567489612 0.9999986006
172 -0.0001909705059  -7.569511976e-05 0.9999999789
175 -0.0006448000437  0.001534613961 0.9999986146
178 -0.0002497854412  -0.0001110003462 0.9999999626
181 -0.0007021211783  0.001496940484 0.9999986331
184 -0.0003055269811  -0.0001509819346 0.9999999419
187 -0.0007561807369  0.001454719903 0.999998656
190 -0.0003578241798  -0.00019537381 0.9999999169
193 -0.0008066189359  0.001408233199 0.9999986831
196 -0.0004063290139  -0.000243880547 0.9999998877
199 -0.0008531000922  0.001357789749 0.9999987143
202 -0.0004507186981  -0.0002961793359 0.9999998546
205 -0.0008953148565  0.001303725256 0.9999987494
208 -0.0004906978338  -0.0003519221303 0.9999998177
211 -0.0009329822727  0.001246399527 0.999998788
214 -0.0005260003748  -0.0004107379642 0.9999997773
217 -0.000965851647  0.001186194068 0.99999883
220 -0.0005563913976  -0.0004722354204 0.9999997337
223 -0.0009937042169  0.001123509553 0.9999988751
226 -0.0005816686654  -0.0005360052353 0.9999996872
229 -0.001016354607  0.001058763151 0.999998923
232 -0.0006016639734  -0.0006016230229 0.999999638
235 -0.001033652061  0.000992385757 0.9999989734
238 -0.0006162442686  -0.0006686520989 0.9999995866
241 -0.001045481449  0.0009248191165 0.9999990258
244 -0.0006253125349  -0.0007366463868 0.9999995332
247 -0.001051764029  0.0008565128917 0.9999990801
250 -0.0006288084392  -0.0008051533868 0.9999994782
253 -0.001052457975  0.0007879216662 0.9999991358
256 -0.0006267087324  -0.0008737171869 0.9999994219
259 -0.001047558651  0.0007195019204 0.9999991925
262 -0.0006190274045  -0.0009418814973 0.9999993648
265 -0.001037098646  0.0006517089936 0.9999992499
268 -0.0006058155915  -0.001009192687 0.9999993073
271 -0.001021147556  0.0005849940537 0.9999993075
274 -0.0005871612345  -0.001075202802 0.9999992496
277 -0.0009998115195  0.0005198010947 0.9999993651
280 -0.0005631884952  -0.001139472548 0.9999991922
283 -0.0009732325113  0.0004565639817 0.9999994222
286 -0.0005340569293  -0.001201574213 0.9999991355
289 -0.0009415873994  0.0003957035637 0.9999994784
292 -0.0004999604242  -0.001261094512 0.9999990798
295 -0.0009050867666  0.000337624873 0.9999995334
298 -0.0004611259093  -0.001317637341 0.9999990256
301 -0.0008639735094  0.0002827144291 0.9999995868
304 -0.0004178118457  -0.00137082641 0.9999989731
307 -0.0008185212215  0.0002313376672 0.9999996383
310 -0.0003703065056  -0.00142030775 0.9999989228
313 -0.0007690323729  0.0001838365055 0.9999996874
316 -0.0003189260544  -0.001465752065 0.9999988749
319 -0.0007158362972  0.0001405270701 0.9999997339
322 -0.0002640124462  -0.001506856927 0.9999988298
325 -0.0006592869997  0.0001016975911 0.9999997775
328 -0.0002059311485  -0.001543348786 0.9999987878
331 -0.0005997608018  6.760648434e-05 0.9999998179
334 -0.0001450687097  -0.001574984793 0.9999987492
337 -0.000537653836  3.848063157e-05 0.9999998547
340 -8.183018665e-05  -0.001601554415 0.9999987142
343 -0.0004733794101  1.451387073e-05 0.9999998879
346 -1.6636449e-05  -0.001622880833 0.999998683
349 -0.0004073652564  -4.134294232e-06 0.999999917
352 5.00786216e-05  -0.001638822125 0.9999986559
355 -0.0003400506855  -1.733975478e-05 0.999999942
358 0.000117871019  -0.001649272205 0.999998633
361 -0.0002718836619  -2.501462381e-05 0.9999999627
364 0.0001862895676  -0.001654161533 0.9999986145
367 -0.0002033178235  -2.710782049e-05 0.999999979
370 0.0002548789247  -0.001653457573 0.9999986006
373 -0.0001348094624  -2.360541025e-05 0.9999999906
376 0.0003231826108  -0.001647165016 0.9999985912
379 -6.6814488e-05  -1.453069751e-05 0.9999999977
382 0.0003907460477  -0.001635325742 0.9999985865
385 2.14606662e-07  5.592941832e-08 1
388 0.0004571195835  -0.001618018546 0.9999985865
391 6.583175667e-05  2.005740021e-05 0.9999999976
394 0.0005218614852  -0.001595358613 0.9999985912
397 0.0001296002936  4.534060852e-05 0.9999999906
400 0.0005845408782  -0.001567496747 0.9999986006
403 0.0001910958517  7.573729786e-05 0.9999999789
406 0.000644740614  -0.001534618376 0.9999986146
409 0.0002499091918  0.0001110451813 0.9999999626
412 0.0007020600463  -0.001496942309 0.9999986331
415 0.0003056489253  0.0001510292877 0.9999999419
418 0.0007561176971  -0.001454719284 0.999998656
421 0.0003579441184  0.0001954235256 0.9999999168
424 0.0008065537956  -0.001408230302 0.9999986832
427 0.0004064467609  0.0002439324538 0.9999998876
430 0.0008530326726  -0.00135778475 0.9999987144
433 0.0004508340822  0.0002962332478 0.9999998545
436 0.0008952449941  -0.001303718351 0.9999987494
439 0.0004908106994  0.0003519778482 0.9999998176
442 0.00093290982  -0.001246390919 0.9999987881
445 0.000526110583  0.0004107952767 0.9999997772
448 0.000965776474  -0.001186183975 0.9999988301
451 0.0005564988273  0.0004722941055 0.9999997336
454 0.0009936262115  -0.001123498201 0.9999988752
457 0.0005817732139  0.0005360650621 0.9999996871
460 0.001016273676  -0.001058750775 0.9999989231
463 0.0006017655572  0.0006016837527 0.9999996379
466 0.001033568131  -0.0009923725992 0.9999989735
469 0.0006163428239  0.000668713487 0.9999995865
472 0.001045394466  -0.0009248054239 0.9999990259
475 0.0006254080182  0.0007367081841 0.9999995331
478 0.00105167396  -0.0008564989149 0.9999990802
481 0.0006289008273  0.0008052153416 0.9999994781
484 0.001052364806  -0.0007879076577 0.9999991359
487 0.0006267980227  0.0008737790464 0.9999994218
490 0.001047462391  -0.000719488133 0.9999991926
493 0.0006191136152  0.0009419430094 0.9999993647
496 0.001036999323  -0.0006516956785 0.99999925
499 0.000605898761  0.001009253602 0.9999993071
502 0.001021045219  -0.000584981459 0.9999993076
505 0.0005872414217  0.001075262874 0.9999992495
508 0.0009997062364  -0.0005197894637 0.9999993652
511 0.0005632657787  0.001139531536 0.9999991921
514 0.000973124371  -0.0004565535513 0.9999994223
517 0.000534131407  0.001201631884 0.9999991354
520 0.0009414765092  -0.0003956945628 0.9999994785
523 0.0005000322127  0.001261150642 0.9999990797
526 0.0009049732523  -0.0003376175209 0.9999995335
529 0.0004611951433  0.001317691716 0.9999990255
532 0.0008638575141  -0.0002827089343 0.9999995869
535 0.0004178786767  0.001370878828 0.999998973
538 0.0008184029047  -0.0002313342257 0.9999996384
541 0.000370371101  0.001420358021 0.9999989227
544 0.0007689119099  -0.0001838352996 0.9999996875
547 0.0003189885967  0.001465800014 0.9999988748
550 0.0007157138773  -0.0001405282674 0.999999734
553 0.0002640731315  0.001506902394 0.9999988298
556 0.0006591628254  -0.0001017013431 0.9999997776
559 0.0002059901852  0.001543391629 0.9999987878
562 0.0005996350871  -6.76129255e-05 0.9999998179
565 0.0001451263172  0.001575024886 0.9999987491
568 0.0005375268053  -3.848987851e-05 0.9999998548
571 8.18865938e-05  0.001601591649 0.9999987141
574 0.0004732512965  -1.452602136e-05 0.9999998879
577 1.669189274e-05  0.001622915122 0.9999986829
580 0.0004072363003  4.119161297e-06 0.9999999171
583 -5.002389795e-05  0.001638853399 0.9999986558
586 0.0003399211326  1.73215808e-05 0.9999999421
589 -0.0001178167674  0.001649300416 0.999998633
592 0.0002717537622  2.499337026e-05 0.9999999628
595 -0.0001862355367  0.001654186652 0.9999986145
598 0.0002031878292  2.708346937e-05 0.999999979
601 -0.0002548248618  0.001653479593 0.9999986005
604 0.0001346796263  2.357796416e-05 0.9999999907
607 -0.0003231282634  0.001647183949 0.9999985912
610 6.668506197e-05  1.450017965e-05 0.9999999977
613 -0.0003906911652  0.001635341622 0.9999985865
616 -3.433736672e-07  -8.947540671e-08 1
619 -0.0004570639189  0.001618031427 0.9999985865
622 -6.595962e-05  -2.009391052e-05 0.9999999976
625 -0.0005218047966  0.001595368568 0.9999985913
628 -0.0001297270146  -4.537999963e-05 0.9999999906
631 -0.0005844829306  0.00156750387 0.9999986007
634 -0.0001912211993  -7.577946706e-05 0.9999999788
637 -0.0006446811807  0.001534622779 0.9999986147
640 -0.0002500329443  -0.0001110900074 0.9999999626
643 -0.0007019989106  0.001496944121 0.9999986332
646 -0.0003057708712  -0.0001510766318 0.9999999418
649 -0.0007560546535  0.001454718654 0.9999986561
652 -0.0003580640585  -0.0001954732321 0.9999999168
655 -0.0008064886514  0.001408227392 0.9999986832
658 -0.0004065645093  -0.0002439843513 0.9999998876
661 -0.000852965249  0.001357779741 0.9999987144
664 -0.0004509494676  -0.0002962871504 0.9999998544
667 -0.0008951751275  0.001303711433 0.9999987495
670 -0.0004909235662  -0.0003520335566 0.9999998175
673 -0.0009328373631  0.0012463823 0.9999987882
676 -0.0005262207923  -0.0004108525796 0.9999997771
679 -0.0009657012967  0.00118617387 0.9999988302
682 -0.0005566062581  -0.000472352781 0.9999997335
685 -0.0009935482019  0.001123486837 0.9999988753
688 -0.0005818777634  -0.000536124879 0.999999687
691 -0.001016192741  0.001058738389 0.9999989232
694 -0.0006018671421  -0.0006017444724 0.9999996378
697 -0.001033484197  0.0009923594306 0.9999989736
700 -0.0006164413803  -0.0006687748649 0.9999995864
703 -0.001045307479  0.0009247917207 0.999999026
706 -0.0006255035025  -0.0007367699712 0.999999533
709 -0.001051583886  0.0008564849277 0.9999990803
712 -0.0006289932164  -0.0008052772861 0.9999994779
715 -0.001052271634  0.000787893639 0.999999136
718 -0.0006268873141  -0.0008738408954 0.9999994217
721 -0.001047366127  0.0007194743354 0.9999991927
724 -0.0006191998269  -0.0009420045107 0.9999993646
727 -0.001036899996  0.0006516823534 0.9999992501
730 -0.0006059819316  -0.001009314505 0.999999307
733 -0.001020942877  0.0005849688544 0.9999993077
736 -0.0005873216099  -0.001075322934 0.9999992494
739 -0.0009996009491  0.0005197778229 0.9999993653
742 -0.0005633430633  -0.001139590513 0.999999192
745 -0.0009730162264  0.0004565431112 0.9999994224
748 -0.0005342058859  -0.001201689544 0.9999991353
751 -0.0009413656148  0.0003956855523 0.9999994786
754 -0.0005001040026  -0.001261206761 0.9999990796
757 -0.0009048597338  0.0003376101593 0.9999995336
760 -0.0004612643787  -0.001317746079 0.9999990254
763 -0.0008637415146  0.0002827034301 0.999999587
766 -0.0004179455091  -0.001370931234 0.9999989729
769 -0.0008182845841  0.0002313307749 0.9999996384
772 -0.000370435698  -0.00142040828 0.9999989226
775 -0.0007687914431  0.0001838340847 0.9999996876
778 -0.0003190511407  -0.001465847951 0.9999988747
781 -0.0007155914537  0.0001405294557 0.9999997341
784 -0.0002641338185  -0.001506947849 0.9999988297
787 -0.0006590386475  0.0001017050862 0.9999997777
790 -0.0002060492237  -0.00154343446 0.9999987877
793 -0.000599509369  6.761935779e-05 0.999999818
796 -0.0001451839266  -0.001575064966 0.999998749
799 -0.0005373997713  3.849911663e-05 0.9999998549
802 -8.194300307e-05  -0.001601628872 0.999998714
805 -0.0004731231797  1.453816323e-05 0.999999888
808 -1.674733874e-05  -0.001622949398 0.9999986829
811 -0.000407107341  -4.10403709e-06 0.9999999171
814 4.99691719e-05  -0.001638884661 0.9999986558
817 -0.0003397915768  -1.730341552e-05 0.9999999421
820 0.0001177625132  -0.001649328614 0.9999986329
823 -0.0002716238598  -2.497212541e-05 0.9999999628
826 0.0001861815031  -0.001654211758 0.9999986145
829 -0.0002030578323  -2.705912693e-05 0.999999979
832 0.0002547707961  -0.0016535016 0.9999986005
835 -0.0001345497878  -2.355052676e-05 0.9999999907
838 0.0003230739131  -0.00164720287 0.9999985912
841 -6.655563355e-05  -1.44696705e-05 0.9999999977
844 0.0003906362796  -0.00163535749 0.9999985865
847 4.721429231e-07  1.230126469e-07 1
850 0.000457008251  -0.001618044296 0.9999985865
853 6.608748544e-05  2.013041204e-05 0.9999999976
856 0.0005217481046  -0.001595378511 0.9999985913
859 0.0001298537376  4.541938189e-05 0.9999999905
862 0.0005844249795  -0.001567510981 0.9999986007
865 0.0001913465489  7.582162735e-05 0.9999999788
868 0.0006446217438  -0.001534627169 0.9999986147
871 0.0002501566984  0.0001111348245 0.9999999625
874 0.0007019377711  -0.001496945922 0.9999986332
877 0.0003058928187  0.0001511239669 0.9999999418
880 0.000755991606  -0.001454718012 0.9999986561
883 0.0003581840001  0.0001955229294 0.9999999167
886 0.0008064235033  -0.001408224471 0.9999986833
889 0.0004066822591  0.0002440362396 0.9999998875
892 0.0008528978214  -0.00135777472 0.9999987145
895 0.0004510648543  0.0002963410437 0.9999998544
898 0.0008951052568  -0.001303704505 0.9999987496
901 0.0004910364342  0.0003520892555 0.9999998175
904 0.0009327649021  -0.001246373669 0.9999987883
907 0.0005263310029  0.0004109098728 0.9999997771
910 0.0009656261152  -0.001186163754 0.9999988303
913 0.00055671369  0.0004724114467 0.9999997334
916 0.0009934701879  -0.001123475463 0.9999988754
919 0.0005819823141  0.0005361846861 0.9999996869
922 0.001016111801  -0.001058725991 0.9999989233
925 0.0006019687279  0.0006018051822 0.9999996377
928 0.001033400258  -0.0009923462513 0.9999989737
931 0.0006165399377  0.0006688362328 0.9999995863
934 0.001045220487  -0.0009247780069 0.9999990261
937 0.0006255989879  0.0007368317481 0.9999995329
940 0.001051493808  -0.00085647093 0.9999990804
943 0.0006290856065  0.0008053392201 0.9999994778
946 0.001052178456  -0.0007878796099 0.9999991361
949 0.0006269766065  0.0008739027339 0.9999994216
952 0.001047269858  -0.0007194605276 0.9999991928
955 0.0006192860396  0.0009420660014 0.9999993645
958 0.001036800664  -0.0006516690182 0.9999992502
961 0.0006060651032  0.001009375398 0.9999993069
964 0.001020840531  -0.0005849562399 0.9999993079
967 0.0005874017993  0.001075382983 0.9999992493
970 0.0009994956574  -0.0005197661723 0.9999993654
973 0.000563420349  0.001139649478 0.9999991919
976 0.0009729080776  -0.0004565326614 0.9999994225
979 0.0005342803659  0.001201747192 0.9999991352
982 0.0009412547163  -0.0003956765322 0.9999994787
985 0.0005001757937  0.001261262868 0.9999990795
988 0.0009047462112  -0.0003376027884 0.9999995337
991 0.0004613336154  0.001317800431 0.9999990253
994 0.0008636255112  -0.0002826979167 0.9999995871
997 0.0004180123429  0.001370983628 0.9999989728
1000 0.0008181662595  -0.000231327315 0.9999996385
1003 0.0003705002965  0.001420458527 0.9999989225
1006 0.0007686709724  -0.0001838328606 0.9999996877
1009 0.0003191136863  0.001465895876 0.9999988747
1012 0.0007154690264  -0.000140530635 0.9999997342
1015 0.0002641945073  0.001506993293 0.9999988296
1018 0.000658914466  -0.0001017088203 0.9999997777
1021 0.0002061082641  0.001543477278 0.9999987876
1024 0.0005993836474  -6.76257812e-05 0.9999998181
1027 0.0001452415381  0.001575105035 0.999998749
1030 0.0005372727339  -3.850834593e-05 0.9999998549
1033 8.199941446e-05  0.001601666083 0.999998714
1036 0.0004729950597  -1.455029633e-05 0.999999888
1039 1.680278699e-05  0.001622983663 0.9999986828
1042 0.0004069783787  4.088921616e-06 0.9999999172
1045 -4.991444346e-05  0.001638915911 0.9999986557
1048 0.0003396620181  1.728525894e-05 0.9999999422
1051 -0.0001177082564  0.001649356801 0.9999986329
1054 0.0002714939545  2.495088924e-05 0.9999999628
1057 -0.0001861274668  0.001654236853 0.9999986144
1060 0.0002029278328  2.703479319e-05 0.999999979
1063 -0.0002547167275  0.001653523596 0.9999986005
1066 0.0001344199467  2.352309806e-05 0.9999999907
1069 -0.0003230195598  0.001647221779 0.9999985912
1072 6.642620273e-05  1.443917006e-05 0.9999999977
1075 -0.000390581391  0.001635373346 0.9999985865
1078 -6.009144498e-07  -1.565411426e-07 1
1081 -0.00045695258  0.001618057153 0.9999985865
1084 -6.621535303e-05  -2.016690478e-05 0.9999999976
1087 -0.0005216914093  0.001595388443 0.9999985913
1090 -0.0001299804626  -4.545875531e-05 0.9999999905
1093 -0.0005843670249  0.001567518081 0.9999986007
1096 -0.0001914719003  -7.586377873e-05 0.9999999788
1099 -0.0006445623033  0.001534631548 0.9999986147
1102 -0.0002502804543  -0.0001111796326 0.9999999625
1105 -0.000701876628  0.001496947711 0.9999986333
1108 -0.0003060147679  -0.0001511712929 0.9999999418
1111 -0.0007559285548  0.001454717358 0.9999986562
1114 -0.0003583039433  -0.0001955726176 0.9999999167
1117 -0.0008063583512  0.001408221539 0.9999986833
1120 -0.0004068000104  -0.0002440881186 0.9999998875
1123 -0.0008528303898  0.001357769687 0.9999987146
1126 -0.0004511802424  -0.0002963949276 0.9999998543
1129 -0.000895035382  0.001303697565 0.9999987496
1132 -0.0004911493036  -0.0003521449449 0.9999998174
1135 -0.0009326924368  0.001246365027 0.9999987883
1138 -0.0005264412146  -0.0004109671565 0.999999777
1141 -0.0009655509294  0.001186153627 0.9999988304
1144 -0.000556821123  -0.0004724701027 0.9999997334
1147 -0.0009933921696  0.001123464078 0.9999988755
1150 -0.0005820868658  -0.0005362444833 0.9999996868
1153 -0.001016030857  0.001058713582 0.9999989234
1156 -0.0006020703149  -0.0006018658821 0.9999996376
1159 -0.001033316315  0.0009923330612 0.9999989738
1162 -0.0006166384961  -0.0006688975905 0.9999995862
1165 -0.001045133491  0.0009247642824 0.9999990263
1168 -0.0006256944742  -0.0007368935146 0.9999995327
1171 -0.001051403726  0.0008564569217 0.9999990805
1174 -0.0006291779976  -0.0008054011438 0.9999994777
1177 -0.001052085275  0.0007878655704 0.9999991362
1180 -0.0006270658998  -0.0008739645618 0.9999994215
1183 -0.001047173585  0.0007194467097 0.9999991929
1186 -0.0006193722533  -0.0009421274814 0.9999993644
1189 -0.001036701328  0.0006516556729 0.9999992503
1192 -0.0006061482758  -0.001009436281 0.9999993068
1195 -0.001020738181  0.0005849436154 0.999999308
1198 -0.0005874819897  -0.001075443022 0.9999992491
1201 -0.0009993903614  0.0005197545119 0.9999993655
1204 -0.0005634976358  -0.001139708433 0.9999991918
1207 -0.0009727999245  0.000456522202 0.9999994226
1210 -0.0005343548472  -0.00120180483 0.9999991351
1213 -0.0009411438135  0.0003956675027 0.9999994788
1216 -0.0005002475861  -0.001261318964 0.9999990794
1219 -0.0009046326845  0.000337595408 0.9999995338
1222 -0.0004614028534  -0.001317854772 0.9999990252
1225 -0.0008635095037  0.0002826923939 0.9999995872
1228 -0.0004180791781  -0.001371036011 0.9999989727
1231 -0.0008180479309  0.0002313238458 0.9999996386
1234 -0.0003705648965  -0.001420508763 0.9999989224
1237 -0.0007685504979  0.0001838316274 0.9999996878
1240 -0.0003191762335  -0.00146594379 0.9999988746
1243 -0.0007153465954  0.0001405318052 0.9999997343
1246 -0.0002642551978  -0.001507038725 0.9999988295
1249 -0.0006587902809  0.0001017125454 0.9999997778
1252 -0.0002061673064  -0.001543520085 0.9999987875
1255 -0.0005992579223  6.763219573e-05 0.9999998182
1258 -0.0001452991515  -0.001575145091 0.9999987489
1261 -0.0005371456932  3.851756642e-05 0.999999855
1264 -8.205582796e-05  -0.001601703281 0.9999987139
1267 -0.0004728669365  1.456242066e-05 0.9999998881
1270 -1.685823749e-05  -0.001623017915 0.9999986828
1273 -0.0004068494133  -4.073814874e-06 0.9999999172
1276 4.985971265e-05  -0.001638947148 0.9999986557
1279 -0.0003395324564  -1.726711107e-05 0.9999999422
1282 0.0001176539972  -0.001649384975 0.9999986328
1285 -0.0002713640464  -2.492966176e-05 0.9999999629
1288 0.0001860734279  -0.001654261936 0.9999986144
1291 -0.0002027978305  -2.701046813e-05 0.9999999791
1294 0.0002546626562  -0.001653545579 0.9999986005
1297 -0.0001342901031  -2.349567805e-05 0.9999999907
1300 0.0003229652036  -0.001647240676 0.9999985911
1303 -6.62967695e-05  -1.440867834e-05 0.9999999977
1306 0.0003905264993  -0.00163538919 0.9999985865
1309 7.296882538e-07  1.900608986e-07 1
1312 0.0004568969057  -0.001618069997 0.9999985865
1315 6.634322276e-05  2.020338873e-05 0.9999999976
