0 0.784602  -0 0.62
1 0.78573  -0.0647446 0.6151713553
11 0.7801302534  -0.1378716977 0.6102361695
21 0.7684692848  -0.2102107614 0.6043727278
31 0.7508300223  -0.2812501126 0.5976224993
41 0.7273372221  -0.3504873152 0.5900332255
51 0.6981570403  -0.4174326788 0.5816585818
61 0.663495858  -0.4816127224 0.572557798
71 0.6235988213  -0.5425735231 0.5627952399
81 0.5787481077  -0.5998839267 0.5524399536
91 0.5292609304  -0.6531385968 0.5415651771
101 0.4754872944  -0.7019608817 0.5302478227
111 0.4178075215  -0.7460054785 0.5185679329
121 0.3566295602  -0.7849608751 0.5066081142
131 0.2923861004  -0.8185515536 0.4944529527
141 0.2255315132  -0.8465399387 0.4821884163
151 0.1565386371  -0.8687280781 0.4699012465
161 0.08589543425  -0.8849590427 0.4576783446
171 0.01410153878  -0.8951180362 0.4456061577
181 -0.05833527673  -0.8991332074 0.4337700668
191 -0.1309026925  -0.8969761579 0.4222537829
201 -0.2030874652  -0.8886621434 0.4111387555
211 -0.2743790576  -0.8742499656 0.4005035961
221 -0.3442732497  -0.8538415561 0.3904235222
231 -0.412275705  -0.8275812559 0.3809698255
241 -0.4779054663  -0.7956547945 0.3722093676
251 -0.5406983579  -0.7582879757 0.3642041072
261 -0.600210268  -0.7157450814 0.3570106618
271 -0.6560202902  -0.6683270019 0.3506799073
281 -0.7077337003  -0.6163691077 0.3452566183
291 -0.7549847478  -0.5602388783 0.3407791511
301 -0.7974392431  -0.5003333021 0.3372791728
311 -0.8347969207  -0.4370760696 0.3347814371
321 -0.8667935632  -0.3709145762 0.3333036093
331 -0.89320287  -0.302316758 0.3328561415
341 -0.9138380575  -0.2317677825 0.3334421984
351 -0.9285531806  -0.159766617 0.3350576351
361 -0.9372441647  -0.0868224997 0.3376910263
371 -0.9398495417  -0.01345133785 0.3413237472
381 -0.9363508849  0.05982794092 0.3459301054
391 -0.9267729392  0.1324970588 0.3514775221
401 -0.9111834462  0.2040420535 0.3579267632
411 -0.889692665  0.2739569131 0.3652322159
421 -0.8624525926  0.3417471551 0.3733422124
431 -0.8296558883  0.4069333239 0.3821993942
441 -0.7915345119  0.4690543811 0.3917411187
451 -0.7483580824  0.5276709672 0.4018999017
461 -0.7004319715  0.5823685082 0.4126038947
471 -0.6480951439  0.6327601483 0.4237773935
481 -0.5917177594  0.6784894858 0.4353413729
491 -0.5316985554  0.7192330937 0.4472140463
501 -0.4684620265  0.7547028073 0.4593114438
511 -0.4024554225  0.7846477623 0.4715480061
521 -0.3341455846  0.8088561691 0.4838371896
531 -0.2640156444  0.8271568105 0.4960920786
541 -0.1925616059  0.8394202529 0.5082259999
551 -0.1202888385  0.8455597616 0.520153136
561 -0.04770850175  0.8455319144 0.5317891317
571 0.02466606921  0.8393369085 0.543051691
581 0.09632299467  0.8270185592 0.553861159
591 0.1667554706  0.8086639901 0.5641410854
601 0.2354653529  0.7844030167 0.5738187649
611 0.301966681  0.7544072286 0.5828257519
621 0.3657891145  0.7188887754 0.591098344
631 0.4264812599  0.6780988669 0.5985780331
641 0.4836138633  0.6323259956 0.6052119187
651 0.5367828458  0.5818938971 0.6109530825
661 0.5856121621  0.5271592598 0.6157609198
671 0.6297564598  0.4685092025 0.6196014271
681 0.6689035218  0.4063585364 0.6224474422
691 0.7027764749  0.3411468313 0.6242788366
701 0.7311357475  0.2733353064 0.6250826577
711 0.7537807647  0.2034035689 0.6248532203
721 0.7705513661  0.1318462211 0.6235921473
731 0.7813289393  0.05916936301 0.6213083575
741 0.7860372582  -0.01411298775 0.6180180032
751 0.7846430225  -0.08748253094 0.6137443556
761 0.7771560931  -0.1604203497 0.6085176402
771 0.7636294223  -0.2324105805 0.602374823
