0 0.784602  -0 0.62
781 0.7441586795  -0.302944062 0.5953593495
791 0.7188815741  -0.3715219356 0.5875208368
801 0.6879768823  -0.4376591742 0.5789147232
811 0.6516631817  -0.5008880125 0.5696018755
821 0.6101973062  -0.560761255 0.5596481595
831 0.5638725292  -0.6168554394 0.5491239729
841 0.5130164893  -0.6687738312 0.5381037487
851 0.4579888732  -0.7161492298 0.5266654277
861 0.3991788714  -0.7586465655 0.5148899078
871 0.3370024263  -0.7959652696 0.502860472
881 0.2718992896  -0.8278413997 0.4906621988
891 0.2043299125  -0.854049507 0.4783813609
901 0.1347721892  -0.8744042305 0.4661048151
911 0.06371807665  -0.8887616082 0.4539193878
921 -0.008329884782  -0.8970200949 0.4419112607
931 -0.08086212557  -0.8991212811 0.4301653618
941 -0.1533656511  -0.8950503053 0.4187647645
951 -0.2253276697  -0.8848359598 0.4077900999
961 -0.2962392199  -0.8685504864 0.3973189867
971 -0.3655987695  -0.8463090661 0.3874254823
981 -0.4329157632  -0.8182690042 0.3781795589
991 -0.497714092  -0.7846286175 0.3696466085
1001 -0.5595354605  -0.7456258321 0.3618869808
1011 -0.6179426282  -0.7015365004 0.3549555562
1021 -0.6725225023  -0.6526724499 0.3489013572
1031 -0.7228890587  -0.5993792783 0.3437672026
1041 -0.7686860729  -0.5420339087 0.3395894037
1051 -0.8095896391  -0.481041924 0.3363975082
1061 -0.8453104611  -0.4168346983 0.334214091
1071 -0.8755958983  -0.3498663461 0.3330545943
1081 -0.9002317528  -0.28061051 0.3329272187
1091 -0.9190437841  -0.2095570116 0.3338328651
1101 -0.9318989416  -0.1372083864 0.3357651283
1111 -0.9387063055  -0.06407632999 0.3387103422
1121 -0.93941773  0.009321921043 0.3426476768
1131 -0.9340281835  0.08246724749 0.347549285
1141 -0.9225757846  0.154842319 0.3533805001
1151 -0.9051415323  0.2259352528 0.3601000805
1161 -0.881848733  0.2952432344 0.3676605019
1171 -0.8528621285  0.3622760736 0.3760082928
1181 -0.818386731  0.4265596713 0.3850844131
1191 -0.778666373  0.4876393731 0.3948246717
1201 -0.7339819825  0.5450831843 0.4051601802
1211 -0.6846495965  0.5984848256 0.4160178403
1221 -0.6310181257  0.6474666067 0.4273208609
1231 -0.5734668866  0.6916820973 0.4389893008
1241 -0.5124029187  0.7308185773 0.4509406347
1251 -0.448258106  0.7645992486 0.4630903362
1261 -0.3814861221  0.792785193 0.4753524761
1271 -0.3125592216  0.8151770615 0.4876403299
1281 -0.2419649002  0.8316164849 0.4998669914
1291 -0.1702024465  0.8419871932 0.5119459871
1301 -0.09777941108  0.8462158384 0.5237918877
1311 -0.02520801633  0.844272513 0.5353209128
1321 0.04699846589  0.8361709619 0.5464515228
1331 0.1183293447  0.8219684845 0.557104996
1341 0.188280122  0.8017655304 0.5672059855
1351 0.2563560607  0.7757049879 0.5766830515
1361 0.3220756838  0.7439711743 0.5854691671
1371 0.3849741797  0.7067885318 0.5935021923
1381 0.4446066896  0.6644200402 0.6007253131
1391 0.5005514538  0.6171653569 0.6070874437
1401 0.5524127949  0.5653586977 0.6125435878
1411 0.5998239159  0.5093664729 0.6170551565
1421 0.6424494947  0.4495846958 0.6205902416
1431 0.6799880558  0.3864361818 0.6231238412
1441 0.7121741021  0.320367558 0.6246380361
1451 0.7387799931  0.2518461044 0.6251221172
1461 0.7596175548  0.1813564493 0.6245726609
1471 0.7745394104  0.1093971409 0.6229935531
1481 0.783440023  0.03647712205 0.6203959623
1491 0.7862564415  -0.03688786967 0.6167982598
1501 0.7829687464  -0.1101789496 0.6122258907
1511 0.7736001904  -0.1828777558 0.6067111931
1521 0.7582170338  -0.2544701153 0.6002931701
1531 0.7369280763  -0.3244496806 0.5930172132
1541 0.709883887  -0.3923215108 0.584934782
1551 0.6772757397  -0.4576055725 0.5761030398
1561 0.6393342603  -0.5198401344 0.5665844493
1571 0.5963277954  -0.5785850334 0.5564463313
1581 0.5485605142  -0.6334247874 0.5457603879
1591 0.4963702577  -0.6839715341 0.5346021958
1601 0.4401261491  -0.729867774 0.5230506718
1611 0.3802259827  -0.7707888991 0.5111875145
1621 0.3170934112  -0.8064454885 0.4990966266
1631 0.2511749487  -0.8365853554 0.4868635211
1641 0.1829368129  -0.8609953311 0.4745747174
1651 0.1128616279  -0.8795027719 0.4623171283
1661 0.04144501045  -0.8919767811 0.4501774462
1671 -0.03080793525  -0.898329134 0.4382415294
1681 -0.1033861899  -0.8985149023 0.4265937952
1691 -0.1757764333  -0.8925327717 0.4153166226
1701 -0.2474666752  -0.8804250512 0.4044897697
1711 -0.3179498761  -0.8622773741 0.39418981
1721 -0.3867275335  -0.838218092 0.3844895903
1731 -0.4533132077  -0.8084173671 0.3754577157
1741 -0.5172359619  -0.7730859689 0.3671580646
1751 -0.5780436933  -0.7324737834 0.3596493365
1761 -0.6353063307  -0.6868680456 0.3529846373
1771 -0.6886188759  -0.6365913082 0.3472111031
1781 -0.7376042684  -0.5819991601 0.3423695676
1791 -0.7819160521  -0.5234777118 0.3384942727
1801 -0.8212408257  -0.4614408641 0.3356126266
1811 -0.8553004591  -0.3963273811 0.3337450099
1821 -0.8838540609  -0.3285977868 0.3329046312
1831 -0.9066996818  -0.258731108 0.3330974343
1841 -0.923675743  -0.1872214863 0.3343220556
1851 -0.9346621791  -0.1145746834 0.3365698337
1861 -0.9395812869  -0.04130450381 0.3398248713
1871 -0.9383982758  0.03207083909 0.344064147
1881 -0.9311215128  0.1050323881 0.3492576784
1891 -0.9178024641  0.1770641125 0.3553687339
1901 -0.8985353307  0.2476565581 0.3623540929
1911 -0.8734563825  0.3163104502 0.3701643512
1921 -0.8427429942  0.3825402245 0.3787442705
1931 -0.8066123907  0.4458774619 0.388033169
1941 -0.7653201111  0.5058742011 0.3979653505
1951 -0.7191582014  0.5621061069 0.4084705693
1961 -0.6684531483  0.6141754714 0.419474527
1971 -0.613563571  0.6617140271 0.4308993975
1981 -0.554877684  0.7043855508 0.442664378
1991 -0.4928105519  0.7418882426 0.4546862604
2001 -0.4278011537  0.7739568596 0.4668800193
2011 -0.3603092779  0.8003645921 0.4791594139
2021 -0.2908122706  0.8209246681 0.4914375978
2031 -0.2198016597  0.8354916738 0.503627733
2041 -0.1477796781  0.8439625821 0.5156436044
2051 -0.07525571172  0.8462774817 0.5274002292
2061 -0.002742697051  0.8424200004 0.5388144583
2071 0.06924650706  0.8324174211 0.5498055641
2081 0.1402027464  0.8163404886 0.5602958116
2091 0.2096241727  0.7943029098 0.5702110081
2101 0.2770197927  0.7664605486 0.579481028
2111 0.3419129411  0.7330103246 0.5880403088
2121 0.4038446515  0.6941888194 0.5958283146
2131 0.462376903  0.6502706039 0.6027899645
2141 0.5170957176  0.6015662963 0.6088760218
2151 0.5676140885  0.5484203651 0.6140434428
2161 0.6135747172  0.4912086925 0.6182556807
2171 0.6546525404  0.4303359168 0.6214829443
2181 0.6905570293  0.3662325694 0.6237024085
2191 0.721034244  0.2993520308 0.6248983763
2201 0.7458686299  0.2301673235 0.6250623889
2211 0.7648845424  0.1591677664 0.6241932866
2221 0.7779474884  0.08685551426 0.6222972159
2231 0.7849650784  0.01374200619 0.619387587
2241 0.7858876795  -0.0596556518 0.6154849783
2251 0.7807087662  -0.132818344 0.6106169911
2261 0.7694649673  -0.2052286165 0.6048180546
2271 0.7522358059  -0.2763743371 0.5981291818
2281 0.7291431379  -0.345752317 0.59059768
2291 0.7003502895  -0.4128718703 0.5822768162
2301 0.666060902  -0.4772582842 0.57322544
2311 0.6265174922  -0.538456176 0.5635075674
2321 0.5819997364  -0.5960327146 0.5531919287
2331 0.5328224929  -0.6495806815 0.5423514814
2341 0.4793335747  -0.6987213505 0.5310628951
2351 0.4219112899  -0.7431071669 0.5194060087
2361 0.3609617659  -0.7824242054 0.5074632661
2371 0.2969160768  -0.8163943901 0.4953191326
2381 0.2302271951  -0.8447774618 0.4830594981
2391 0.1613667873  -0.8673726766 0.4707710694
2401 0.09082187852  -0.8840202264 0.4585407569
2411 0.01909140782  -0.8946023685 0.4464550599
2421 -0.05331730082  -0.8990442588 0.4345994549
2431 -0.1258921265  -0.897314481 0.4230577911
2441 -0.1981197732  -0.8894252689 0.4119116974
2451 -0.2694894008  -0.8754324195 0.4012400051
2461 -0.3394962373  -0.855434899 0.3911181899
2471 -0.4076451494  -0.8295741421 0.3816178389
2481 -0.4734541442  -0.7980330524 0.3728061436
2491 -0.5364577781  -0.7610347083 0.3647454251
2501 -0.5962104491  -0.7188407854 0.3574926931
2511 -0.6522895478  -0.671749706 0.3510992428
2521 -0.7042984469  -0.6200945279 0.3456102922
2531 -0.7518693061  -0.5642405894 0.3410646621
2541 -0.7946656738  -0.504582925 0.3374945016
2551 -0.8323848667  -0.4415434717 0.3349250607
2561 -0.8647601104  -0.3755680845 0.3333745121
2571 -0.8915624266  -0.3071233835 0.3328538219
2581 -0.9126022522  -0.2366934531 0.3333666728
2591 -0.9277307801  -0.1647764187 0.3349094376
2601 -0.9368410119  -0.09188092335 0.3374712051
2611 -0.9398685143  -0.01852253053 0.3410338571
2621 -0.936791875  0.05477992244 0.3455721965
2631 -0.9276328542  0.1275079939 0.3510541259
2641 -0.9124562306  0.1991473045 0.357440874
2651 -0.8913693432  0.2691911754 0.3646872703
2661 -0.8645213323  0.3371442117 0.3727420644
2671 -0.8321020844  0.4025258062 0.3815482885
2681 -0.7943408897  0.4648735384 0.3910436603
2691 -0.7515048197  0.5237464457 0.4011610233
2701 -0.703896839  0.5787281411 0.4118288221
2711 -0.651853662  0.6294297593 0.4229716083
2721 -0.5957433719  0.6754927059 0.4345105742
2731 -0.5359628168  0.7165911947 0.4463641099
2741 -0.4729348037  0.752434551 0.4584483809
2751 -0.4071051073  0.7827692677 0.4706779208
2761 -0.3389393179  0.8073807987 0.4829662356
2771 -0.2689195481  0.8260950755 0.4952264157
2781 -0.1975410228  0.8387797392 0.5073717506
2791 -0.1253085773  0.8453450759 0.519316342
2801 -0.05273308598  0.8457446516 0.5309757112
2811 0.01967215033  0.8399756405 0.542267397
2821 0.09139503501  0.828078845 0.5531115384
2831 0.1619282975  0.8101384073 0.5634314399
2841 0.2307730809  0.7862812138 0.5731541136
2851 0.2974424706  0.7566759982 0.5822107955
2861 0.3614649374  0.721532148 0.5905374318
2871 0.4223876732  0.6810982233 0.5980751322
2881 0.4797797931  0.635660199 0.6047705859
2891 0.5332353828  0.5855394424 0.6105764391
2901 0.5823763699  0.5310904399 0.6154516297
2911 0.6268551976  0.4726982901 0.6193616777
2921 0.6663572829  0.4107759802 0.6222789291
2931 0.7006032416  0.3457614647 0.6241827517
2941 0.729350864  0.2781145684 0.6250596804
2951 0.7523968284  0.2083137339 0.6249035133
2961 0.7695781388  0.1368526379 0.6237153548
2971 0.7807732779  0.06423669948 0.6215036082
2981 0.7859030664  -0.009020494516 0.6182839161
2991 0.784931223  -0.08240082179 0.61407905
3001 0.7778646213  -0.1553852892 0.608918749
3011 0.7647532406  -0.2274577034 0.6028395094
3021 0.7456898132  -0.2981083215 0.5958843269
3031 0.7208091678  -0.3668374568 0.5881023924
3041 0.6902872763  -0.4331590121 0.5795487437
3051 0.6543400092  -0.4966039187 0.570283877
3061 0.6132216086  -0.5567234528 0.5603733183
3071 0.5672228903  -0.6130924102 0.5498871605
3081 0.5166691868  -0.665312113 0.5388995673
3091 0.4619180465  -0.7130132296 0.5274882489
3101 0.4033567046  -0.7558583866 0.5157339122
3111 0.3413993447  -0.7935445552 0.5037196902
3121 0.276484169  -0.8258051942 0.491530554
3131 0.2090702993  -0.8524121352 0.4792527117
3141 0.1396345301  -0.8731771964 0.4669729989
3151 0.0686679556  -0.8879535136 0.4547782641
3161 -0.003327502829  -0.8966365788 0.4427547553
3171 -0.07584264703  -0.8991649793 0.430987509
3181 -0.1483646033  -0.8955208323 0.4195597495
3191 -0.2203804496  -0.8857299111 0.4085523003
3201 -0.2913808438  -0.8698614629 0.3980430117
3211 -0.3608636253  -0.8480277193 0.3881062112
3221 -0.4283373672  -0.8203831021 0.3788121772
3231 -0.4933248519  -0.7871231314 0.3702266421
3241 -0.5553664462  -0.7484830425 0.3624103274
3251 -0.6140233521  -0.7047361228 0.3554185143
3261 -0.6688807102  -0.6561917781 0.3493006526
3271 -0.7195505342  -0.6031933447 0.3441000112
3281 -0.7656744545  -0.5461156613 0.3398533717
3291 -0.8069262532  -0.4853624175 0.3365907688
3301 -0.8430141712  -0.4213632988 0.3343352772
3311 -0.8736829716  -0.3545709479 0.3331028491
3321 -0.8987157451  -0.2854577627 0.3329022008
3331 -0.9179354439  -0.2145125557 0.3337347514
3341 -0.9312061341  -0.1422370966 0.3355946127
3351 -0.9384339571  -0.06914256357 0.3384686307
3361 -0.9395677932  0.004254072326 0.3423364789
3371 -0.9345996234  0.07743370325 0.3471708017
3381 -0.9235645859  0.1498787562 0.3529374083
3391 -0.9065407278  0.2210768535 0.3595955139
3401 -0.8836484531  0.2905244369 0.3670980291
3411 -0.8550496707  0.3577303288 0.3753918918
3421 -0.82094665  0.4222192061 0.3844184436
3431 -0.7815805897  0.4835349626 0.3941138437
3441 -0.737229912  0.5412439341 0.404409521
3451 -0.6882082938  0.5949379659 0.4152326591
3461 -0.6348624476  0.6442372997 0.4265067108
3471 -0.5775696699  0.6887932592 0.43815194
3481 -0.5167351723  0.7282907163 0.4500859854
3491 -0.4527892157  0.76245032 0.4622244429
3501 -0.3861840673  0.7910304719 0.4744814629
3511 -0.3173908018  0.813829035 0.4867703572
3521 -0.2468959697  0.8306847636 0.499004212
3531 -0.1751981559  0.8414784434 0.511096503
3541 -0.1028044538  0.8461337349 0.522961707
3551 -0.03022687838  0.844617713 0.5345159069
3561 0.04202125477  0.8369411003 0.5456773852
3571 0.1134289602  0.8231581912 0.5563672018
3581 0.1834911965  0.8033664673 0.5665097528
3591 0.2517124382  0.7777059089 0.5760333044
3601 0.3176101807  0.746358004 0.584870501
3611 0.3807183526  0.7095444656 0.5929588412
3621 0.440590612  0.6675256629 0.6002411199
3631 0.4968035037  0.6205987801 0.606665833
3641 0.5489594539  0.5690957145 0.6121875413
3651 0.5966895818  0.5133807293 0.6167671924
3661 0.6396563094  0.4538478769 0.6203723966
3671 0.677555748  0.3909182122 0.6229776559
3681 0.7101198483  0.3250368144 0.6245645445
3691 0.7371182961  0.2566696395 0.6251218391
3701 0.7583601408  0.1863002244 0.6246455982
3711 0.7736951463  0.114426267 0.62313919
3721 0.7830148535  0.04155610645 0.6206132686
3731 0.7862533475  -0.03179487228 0.6170856988
3741 0.7833877234  -0.1051078836 0.6125814294
3751 0.7744382488  -0.1778644106 0.607132317
3761 0.75946822  -0.2495498719 0.6007769006
3771 0.7385835147  -0.3196572615 0.5935601293
3781 0.7119318429  -0.3876907346 0.5855330438
3791 0.6797017024  -0.4531691145 0.5767524161
3801 0.6421210454  -0.5156292956 0.5672803474
3811 0.5994556666  -0.574629519 0.5571838294
3821 0.5520073229  -0.6297524968 0.5465342699
3831 0.5001115996  -0.6806083636 0.5354069886
3841 0.4441355365  -0.7268374335 0.5238806834
3851 0.3844750324  -0.7681127447 0.5120368746
3861 0.3215520448  -0.804142371 0.4999593279
3871 0.2558116055  -0.8346714876 0.4877334624
3881 0.1877186732  -0.8594841723 0.4754457458
3891 0.117754845  -0.8784049337 0.4631830836
3901 0.04641494989  -0.8912999515 0.4510322038
3911 -0.02579645034  -0.8980780235 0.439079044
3921 -0.09836863027  -0.8986912103 0.4274081434
3931 -0.1707883128  -0.8931351748 0.4161020448
3941 -0.2425432993  -0.8814492123 0.4052407112
3951 -0.3131260925  -0.8637159731 0.3949009596
3961 -0.3820374854  -0.8400608777 0.3851559184
3971 -0.4487900924  -0.8106512296 0.3760745098
3981 -0.5129117962  -0.7756950324 0.3677209622
3991 -0.5739490869  -0.7354395183 0.3601543566
4001 -0.6314702695  -0.6901693999 0.353428208
4011 -0.6850685174  -0.640204856 0.3475900873
4021 -0.7343647494  -0.5858992676 0.342681285
4031 -0.7790103108  -0.5276367184 0.3387365186
4041 -0.8186894397  -0.4658292781 0.3357836877
4051 -0.8531214999  -0.4009140883 0.3338436763
4061 -0.8820629658  -0.3333502705 0.3329302053
4071 -0.9053091449  -0.263615679 0.333049735
4081 -0.9226956254  -0.1922035214 0.3342014203
4091 -0.934099439  -0.1196188698 0.3363771157
4101 -0.939439931  -0.04637508927 0.3395614335
4111 -0.93867933  0.02700979352 0.3437318526
4121 -0.9318230157  0.1000167539 0.3488588776
4131 -0.9189194805  0.17212944 0.3549062472
4141 -0.9000599867  0.2428378251 0.3618311913
4151 -0.8753779211  0.3116418142 0.3695847329
4161 -0.8450478513  0.3780547818 0.3781120349
4171 -0.8092842913  0.4416070129 0.3873527875
4181 -0.7683401841  0.5018490258 0.3972416352
4191 -0.7225051132  0.5583547503 0.4077086388
4201 -0.6721032538  0.6107245422 0.4186797699
4211 -0.6174910805  0.6585880089 0.4300774349
4221 -0.5590548461  0.7016066294 0.4418210233
4231 -0.4972078493  0.7394761489 0.4538274781
4241 -0.4323875122  0.7719287299 0.4660118832
4251 -0.3650522861  0.7987348473 0.478288064
4261 -0.2956784093  0.8197049112 0.4905691967
4271 -0.2247565387  0.8346906083 0.5027684226
4281 -0.1527882796  0.8435859503 0.5147994621
4291 -0.08028263812  0.8463280238 0.5265772252
4301 -0.007752420955  0.8428974355 0.5380184134
4311 0.0642893913  0.833318449 0.5490421083
4321 0.1353332724  0.8176588133 0.5595703445
4331 0.2048767541  0.7960292836 0.5695286606
4341 0.2724279801  0.7685828382 0.5788466261
4351 0.3375091843  0.7355135962 0.5874583392
4361 0.3996600704  0.6970554449 0.5953028934
4371 0.4584410673  0.6534803852 0.6023248077
4381 0.5134364378  0.6050966083 0.6084744193
4391 0.5642572191  0.5522463156 0.6137082349
4401 0.6105439737  0.4953032986 0.6179892382
4411 0.6519693319  0.4346702953 0.6212871515
4421 0.6882403067  0.3707761414 0.6235786503
4431 0.7191003665  0.3040727377 0.6248475279
4441 0.7443312488  0.2350318539 0.6250848101
4451 0.7637545045  0.1641417918 0.6242888186
4461 0.7772327599  0.09190393176 0.6224651832
4471 0.784670688  0.01882918664 0.6196268015
4481 0.7860156828  -0.05456561169 0.6157937483
4491 0.7812582317  -0.1277613677 0.6109931328
4501 0.7704319824  -0.2002403937 0.6052589075
4511 0.7536135051  -0.2714900711 0.5986316282
4521 0.7309217507  -0.3410064761 0.5911581663
4531 0.70251721  -0.4082979436 0.5828913783
4541 0.6686007782  -0.4728885447 0.5738897313
4551 0.629412334  -0.5343214529 0.5642168898
4561 0.5852290433  -0.5921621749 0.5539412654
4571 0.5363633989  -0.6460016234 0.5431355327
4581 0.4831610098  -0.695459011 0.5318761158
4591 0.4259981578  -0.7401845429 0.5202426473
4601 0.3652791351  -0.7798618909 0.5083174053
4611 0.3014333859  -0.814210431 0.4961847316
4621 0.2349124684  -0.8429872278 0.483930435
4631 0.1661868612  -0.865988753 0.4716411843
4641 0.09574263602  -0.8830523246 0.4594038959
4651 0.02407801981  -0.8940572577 0.4473051184
4661 -0.04830012922  -0.8989257178 0.4354304209
4671 -0.1208799062  -0.8976232717 0.4238637876
4681 -0.1931479804  -0.8901591307 0.4126870239
4691 -0.2645932254  -0.8765860856 0.401979178
4701 -0.3347103346  -0.8570001333 0.3918159815
4711 -0.4030033947  -0.8315397979 0.382269314
4721 -0.4689893932  -0.8003851507 0.3734066946
4731 -0.5322016349  -0.7637565371 0.3652908046
4741 -0.5921930421  -0.7219130176 0.3579790438
4751 -0.6485393171  -0.6751505363 0.3515231251
4761 -0.7008419429  -0.6237998269 0.3459687081
4771 -0.7487310018  -0.5682240743 0.3413550767
4781 -0.7918677915  -0.5088163455 0.3377148609
4791 -0.8299472212  -0.4459968098 0.3350738063
4801 -0.8626999687  -0.3802097669 0.3334505919
4811 -0.8898943856  -0.3119205046 0.3328566978
4821 -0.9113381357  -0.2416120081 0.3332963246
4831 -0.9268795552  -0.1697815438 0.3347663627
4841 -0.9364087252  -0.09693714268 0.3372564155
4851 -0.9398582495  -0.02359400669 0.3407488718
4861 -0.9372037311  0.04972913475 0.3452190312
4871 -0.9284639447  0.1225136936 0.3506352782
4881 -0.9137007037  0.1942448911 0.3569593063
4891 -0.8930184235  0.2644153984 0.3641463886
4901 -0.8665633828  0.332528925 0.372145694
4911 -0.8345226889  0.3981037285 0.3809006473
4921 -0.7971229542  0.4606760222 0.3903493287
4931 -0.7546286941  0.5198032549 0.4004249121
4941 -0.7073404556  0.5750672411 0.4110561374
4951 -0.6555926916  0.6260771188 0.422167815
4961 -0.599751396  0.6724721136 0.4336813571
4971 -0.5402115144  0.7139240906 0.4455153337
4981 -0.4773941516  0.7501398751 0.4575860486
4991 -0.4117435925  0.780863326 0.4698081312
5001 -0.3437241603  0.8058771478 0.4820951403
5011 -0.2738169325  0.8250044267 0.4943601757
5021 -0.2025163382  0.8381098828 0.5065164924
5031 -0.1303266613  0.8451008261 0.5184781144
5041 -0.05775847381  0.8459278124 0.5301604426
5051 0.01467497512  0.8405849931 0.5414808534
5061 0.08646138933  0.8291101561 0.5523592827
5071 0.1570930489  0.8115844593 0.5627187924
5081 0.2260704012  0.788131856 0.5724861145
5091 0.2929055936  0.7589182181 0.5815921693
5101 0.3571259247  0.7241501638 0.5899725538
5111 0.4182771867  0.6840735951 0.5975679974
5121 0.4759268784  0.6389719597 0.6043247812
5131 0.5296672639  0.5891642456 0.6101951173
5141 0.5791182566  0.5350027252 0.6151374878
5151 0.6239301069  0.4768704639 0.6191169375
5161 0.6637858767  0.4151786107 0.6221053216
5171 0.6984036801  0.3503634902 0.6240815046
5181 0.7275386777  0.282883517 0.6250315099
5191 0.7509848078  0.213215953 0.6249486185
5201 0.7685762444  0.1418535324 0.6238334167
5211 0.7801885694  0.06930097643 0.6216937919
5221 0.7857396528  -0.003928576429 0.6185448765
5231 0.7851902338  -0.07731719935 0.6144089415
5241 0.7785441983  -0.1503458405 0.6093152383
5251 0.765848551  -0.2224979941 0.6032997924
5261 0.747193084  -0.2932633534 0.5964051482
5271 0.7227097405  -0.36214142 0.5886800684
5281 0.6925716825  -0.4286450436 0.5801791889
5291 0.6569920657  -0.4923038675 0.5709626325
5301 0.6162225321  -0.5526676552 0.5610955836
5311 0.5705514299  -0.6093094748 0.5506478273
5321 0.5203017748  -0.6618287187 0.5396932558
5331 0.4658289644  -0.7098539366 0.5283093456
5341 0.4075182656  -0.753045463 0.51657661
5351 0.3457820891  -0.7910978192 0.504578029
5361 0.2810570729  -0.8237418741 0.4923984632
5371 0.213800994  -0.8507467476 0.480124053
5381 0.1444895306  -0.8719214436 0.4678416097
5391 0.07361289797  -0.8871162005 0.4556380011
5401 0.00167238122  -0.8962235508 0.4435995379
5411 -0.07082321004  -0.8991790812 0.4318113626
5421 -0.1433611404  -0.8959618878 0.4203568473
5431 -0.2154283749  -0.8865947242 0.4093170047
5441 -0.2865152077  -0.8711438406 0.3987699145
5451 -0.3561188672  -0.8497185153 0.3887901712
5461 -0.4237470714  -0.8224702814 0.3794483572
5471 -0.4889215103  -0.7895918556 0.3708105425
5481 -0.5511812283  -0.7513157747 0.3629378187
5491 -0.6100858848  -0.7079127516 0.3558858657
5501 -0.6652188682  -0.6596897597 0.3497045588
5511 -0.7161902426  -0.6069878627 0.3444376155
5521 -0.7626395059  -0.5501798019 0.3401222864
5531 -0.804238139  -0.4896673599 0.336789092
5541 -0.8406919298  -0.4258785192 0.3344616063
5551 -0.8717430537  -0.3592644352 0.3331562905
5561 -0.8971718974  -0.2902962451 0.3328823767
5571 -0.9167986118  -0.2194617357 0.3336418019
5581 -0.9304843844  -0.1472618939 0.3354291953
5591 -0.9381324207  -0.07420736307 0.3382319152
5601 -0.9396886291  -0.0008148313195 0.3420301395
5611 -0.9351420033  0.07239662254 0.3467970051
5621 -0.9245247001  0.1449092004 0.352498798
5631 -0.9079118121  0.2162100471 0.3590951922
5641 -0.8854208365  0.2857948776 0.3665395343
5651 -0.8572108443  0.3531715435 0.3747791741
5661 -0.8234813547  0.4178635142 0.3837558364
