-0.990243 203
-0.97074 122
-0.951237 149
-0.931734 184
-0.912231 197
-0.892728 257
-0.873225 357
-0.853722 341
-0.834218 384
-0.814715 451
-0.795212 527
-0.775709 505
-0.756206 619
-0.736703 735
-0.7172 783
-0.697697 764
-0.678193 894
-0.65869 1060
-0.639187 1173
-0.619684 1258
-0.600181 1365
-0.580678 1500
-0.561175 1566
-0.541671 1770
-0.522168 1849
-0.502665 2040
-0.483162 2259
-0.463659 2298
-0.444156 2398
-0.424653 2739
-0.40515 2759
-0.385646 3108
-0.366143 3159
-0.34664 3504
-0.327137 3689
-0.307634 4017
-0.288131 4214
-0.268628 4475
-0.249125 4621
-0.229621 4821
-0.210118 5237
-0.190615 5552
-0.171112 5936
-0.151609 6070
-0.132106 6488
-0.112603 6738
-0.0930995 7149
-0.0735963 7692
-0.0540932 8084
-0.0345901 8333
-0.0150869 8744
0.00441619 9189
0.0239193 9766
0.0434225 10138
0.0629256 10809
0.0824287 11363
0.101932 11647
0.121435 12174
0.140938 12640
0.160441 13458
0.179944 14005
0.199447 14409
0.218951 14781
0.238454 15901
0.257957 16486
0.27746 16903
0.296963 17488
0.316466 18279
0.335969 18939
0.355473 19438
0.374976 20011
0.394479 21259
0.413982 21501
0.433485 22528
0.452988 22949
0.472491 23910
0.491994 23929
0.511498 24477
0.531001 25176
0.550504 25833
0.570007 26168
0.58951 26917
0.609013 26518
0.628516 27223
0.648019 27145
0.667523 26727
0.687026 26116
0.706529 25846
0.726032 24657
0.745535 23267
0.765038 21464
0.784541 19535
0.804045 16783
0.823548 13460
0.843051 10239
0.862554 7013
0.882057 4068
0.90156 1784
0.921063 502
0.940566 45
