0 0  0 1
1 7.81723558e-13  -1.348291199e-13 -1
2 -5.31469279e-13  -1.494865498e-12 1
3 -2.074947844e-12  1.167156852e-12 -1
4 2.004170267e-12  2.462297197e-12 1
5 2.606700245e-12  -2.991228735e-12 -1
6 -4.068303502e-12  -2.472064764e-12 1
7 -2.035983984e-12  5.169006473e-12 -1
8 6.216159767e-12  1.288745266e-12 1
9 2.401078393e-13  -7.137130742e-12 -1
10 -7.859469014e-12  1.08487175e-12 1
11 2.645256879e-12  8.316240817e-12 -1
12 8.449312918e-12  -4.38549135e-12 1
13 -6.239997428e-12  -8.215885732e-12 -1
14 -7.579451924e-12  8.128741181e-12 1
15 9.965757834e-12  6.524233987e-12 -1
16 5.052409507e-12  -1.166120943e-11 1
17 -1.312505784e-11  -3.184878033e-12 -1
18 -9.612910952e-13  1.42708693e-11 1
19 1.501960527e-11  -1.560674048e-12 -1
20 -4.306788267e-12  -1.530325229e-11 1
