0 0.784602  -0 0.62
1 0.784979  -0.0216278 0.6191444414
51 0.7835971715  -0.06000124993 0.6183650401
101 0.7804153287  -0.09826551159 0.6174915416
151 0.7754407389  -0.1363359981 0.6165258762
201 0.7686843963  -0.1741285703 0.6154701779
251 0.760161233  -0.2115597029 0.6143267795
301 0.7498900858  -0.2485466696 0.6130982076
351 0.7378936549  -0.2850077259 0.6117871772
401 0.7241984533  -0.3208622893 0.6103965854
451 0.7088347486  -0.3560311179 0.6089295051
501 0.6918364959  -0.3904364853 0.6073891783
551 0.6732412627  -0.4240023524 0.6057790087
601 0.6530901461  -0.4566545355 0.6041025544
651 0.6314276818  -0.4883208701 0.6023635202
701 0.6083017457  -0.5189313707 0.6005657488
751 0.583763448  -0.5484183852 0.5987132131
801 0.5578670206  -0.5767167444 0.5968100067
851 0.5306696967  -0.6037639063 0.5948603353
901 0.5022315848  -0.629500094 0.5928685072
951 0.4726155356  -0.6538684281 0.5908389241
1001 0.441887003  -0.6768150522 0.5887760709
1051 0.4101138998  -0.6982892521 0.586684506
1101 0.3773664472  -0.7182435677 0.5845688514
1151 0.3437170201  -0.7366338979 0.5824337822
1201 0.3092399864  -0.7534195983 0.5802840164
1251 0.2740115435  -0.7685635708 0.5781243047
1301 0.2381095492  -0.7820323456 0.5759594196
1351 0.2016133501  -0.7937961554 0.5737941449
1401 0.1646036058  -0.8038290009 0.5716332655
1451 0.1271621112  -0.8121087084 0.5694815565
1501 0.08937161525  -0.8186169788 0.5673437727
1551 0.05131563811  -0.8233394279 0.5652246382
1601 0.01307828682  -0.8262656187 0.5631288359
1651 -0.02525593075  -0.8273890836 0.5610609969
1701 -0.06360229266  -0.8267073396 0.5590256908
1751 -0.1018760502  -0.8242218931 0.5570274153
1801 -0.1399926149  -0.8199382369 0.555070586
1851 -0.177867746  -0.8138658381 0.5531595272
1901 -0.2154177362  -0.806018117 0.5512984619
1951 -0.2525595966  -0.7964124174 0.5494915027
2001 -0.2892112407  -0.7850699687 0.5477426426
2051 -0.3252916651  -0.7720158384 0.5460557462
2101 -0.3607211289  -0.757278877 0.5444345411
2151 -0.39542133  -0.7408916544 0.54288261
2201 -0.4293155779  -0.7228903874 0.5414033823
2251 -0.4623289635  -0.7033148602 0.5400001267
2301 -0.4943885243  -0.6822083363 0.5386759442
2351 -0.5254234059  -0.6596174627 0.5374337609
2401 -0.5553650187  -0.6355921669 0.5362763218
2451 -0.5841471889  -0.6101855469 0.5352061846
2501 -0.6117063057  -0.5834537531 0.5342257141
2551 -0.6379814609  -0.555455865 0.5333370769
2601 -0.6629145843  -0.5262537601 0.5325422367
2651 -0.6864505715  -0.4959119775 0.5318429499
2701 -0.708537406  -0.464497575 0.5312407619
2751 -0.729126274  -0.4320799809 0.5307370033
2801 -0.7481716724  -0.3987308406 0.5303327874
2851 -0.7656315092  -0.3645238586 0.5300290073
2901 -0.7814671969  -0.329534635 0.5298263344
2951 -0.7956437371  -0.2938404988 0.5297252165
3001 -0.8081297985  -0.257520337 0.5297258771
3051 -0.818897786  -0.2206544201 0.5298283147
3101 -0.8279239014  -0.1833242248 0.5300323029
3151 -0.8351881962  -0.145612254 0.530337391
3201 -0.840674616  -0.1076018541 0.5307429049
3251 -0.8443710351  -0.06937703119 0.5312479483
3301 -0.8462692844  -0.03102226536 0.5318514053
3351 -0.8463651686  0.007377676241 0.5325519423
3401 -0.8446584759  0.0457379266 0.5333480113
3451 -0.8411529783  0.08397370641 0.5342378532
3501 -0.8358564233  0.1220005115 0.5352195016
3551 -0.8287805169  0.1597342994 0.5362907872
3601 -0.8199408976  0.1970916754 0.5374493427
3651 -0.8093571017  0.2339900767 0.538692608
3701 -0.7970525205  0.2703479547 0.5400178357
3751 -0.7830543483  0.3060849556 0.5414220974
3801 -0.7673935224  0.3411220977 0.5429022898
3851 -0.7501046546  0.375381946 0.5444551421
3901 -0.731225955  0.4087887834 0.5460772228
3951 -0.7107991473  0.4412687782 0.5477649474
4001 -0.6888693765  0.4727501469 0.5495145865
4051 -0.6654851095  0.5031633131 0.5513222736
4101 -0.6406980277  0.5324410613 0.5531840142
4151 -0.6145629128  0.5605186852 0.5550956942
4201 -0.5871375258  0.5873341312 0.5570530892
4251 -0.5584824793  0.6128281348 0.5590518737
4301 -0.5286611035  0.6369443524 0.5610876309
4351 -0.4977393065  0.6596294851 0.5631558622
4401 -0.4657854282  0.6808333971 0.5652519971
4451 -0.4328700896  0.700509226 0.5673714037
4501 -0.3990660366  0.7186134868 0.5695093985
4551 -0.3644479792  0.7351061676 0.571661257
4601 -0.3290924265  0.7499508184 0.573822224
4651 -0.2930775173  0.7631146314 0.5759875243
4701 -0.256482848  0.7745685136 0.5781523729
4751 -0.2193892961  0.7842871512 0.5803119861
4801 -0.1818788417  0.7922490653 0.5824615915
4851 -0.1440343862  0.7984366595 0.5845964389
4901 -0.1059395693  0.802836259 0.5867118108
4951 -0.06767858412  0.8054381404 0.5888030326
5001 -0.02933599077  0.8062365537 0.5908654832
5051 0.009003470127  0.8052297343 0.5928946049
5101 0.0472550649  0.8024199077 0.5948859139
5151 0.08533425406  0.7978132841 0.5968350097
5201 0.1231568792  0.7914200446 0.5987375854
5251 0.1606393488  0.7832543192 0.6005894364
5301 0.1976988233  0.7733341549 0.6023864708
5351 0.2342533979  0.7616814764 0.6041247173
5401 0.2702222837  0.7483220374 0.6058003348
5451 0.3055259863  0.7332853636 0.6074096206
5501 0.3400864811  0.7166046876 0.6089490185
5551 0.3738273864  0.6983168753 0.6104151267
5601 0.4066741318  0.6784623446 0.6118047054
5651 0.438554123  0.6570849759 0.6131146839
5701 0.4693969023  0.6342320154 0.6143421675
5751 0.4991343044  0.6099539702 0.6154844437
5801 0.5277006069  0.5843044972 0.6165389883
5851 0.5550326756  0.5573402842 0.6175034709
5901 0.5810701044  0.5291209247 0.6183757603
5951 0.605755348  0.499708786 0.6191539288
6001 0.6290338498  0.4691688719 0.619836257
6051 0.6508541622  0.4375686785 0.6204212369
6101 0.6711680604  0.404978045 0.6209075759
6151 0.6899306487  0.371469 0.6212941993
6201 0.7071004601  0.3371156014 0.6215802527
6251 0.7226395478  0.3019937737 0.6217651041
6301 0.7365135689  0.2661811392 0.6218483448
6351 0.7486918605  0.2297568473 0.6218297911
6401 0.7591475076  0.1928013991 0.6217094838
6451 0.767857402  0.1553964695 0.6214876889
6501 0.7748022942  0.1176247269 0.6211648964
6551 0.7799668352  0.07956965042 0.6207418197
