0 0.784602  -0 0.62
1 0.784643  -4.62351e-08 0.6199476918
101 0.788758659  -4.800678274e-06 0.6147029997
201 0.7928391206  -9.811574145e-06 0.6094309876
301 0.7968843451  -1.50746801e-05 0.6041318898
401 0.8008941525  -2.058572244e-05 0.5988059419
501 0.8048683647  -2.634039638e-05 0.5934533805
601 0.808806805  -3.233436546e-05 0.5880744435
701 0.8127092984  -3.85632441e-05 0.5826693701
801 0.8165756713  -4.502263251e-05 0.5772384005
901 0.820405752  -5.170812166e-05 0.571781776
1001 0.8241993702  -5.861525438e-05 0.5662997393
1101 0.8279563573  -6.573954424e-05 0.5607925338
1201 0.8316765464  -7.307647601e-05 0.5552604046
1301 0.835359772  -8.062150598e-05 0.5497035973
1401 0.8390058704  -8.837013626e-05 0.5441223591
1501 0.8426146796  -9.631769615e-05 0.5385169379
1601 0.8461860393  -0.0001044595566 0.5328875829
1701 0.8497197906  -0.0001127910641 0.5272345444
1801 0.8532157765  -0.0001213075386 0.5215580736
1901 0.8566738416  -0.0001300042737 0.5158584227
2001 0.8600938322  -0.0001388765378 0.5101358451
2101 0.8634755964  -0.0001479195736 0.5043905953
2201 0.8668189837  -0.0001571285992 0.4986229284
2301 0.8701238457  -0.000166498808 0.492833101
2401 0.8733900354  -0.0001760253696 0.4870213702
2501 0.8766174077  -0.0001857034297 0.4811879945
2601 0.8798058191  -0.0001955281109 0.4753332331
2701 0.8829551279  -0.0002054943615 0.4694573462
2801 0.8860651941  -0.0002155973929 0.4635605951
2901 0.8891358796  -0.0002258322718 0.4576432417
3001 0.8921670477  -0.0002361940323 0.4517055492
3101 0.8951585639  -0.0002466776871 0.4457477813
3201 0.8981102952  -0.0002572782284 0.439770203
3301 0.9010221104  -0.0002679906279 0.4337730799
3401 0.90389388  -0.0002788098375 0.4277566785
3501 0.9067254764  -0.0002897307897 0.4217212663
3601 0.9095167739  -0.000300748398 0.4156671115
3701 0.9122676482  -0.0003118575573 0.4095944833
3801 0.9149779773  -0.0003230531442 0.4035036514
3901 0.9176476406  -0.0003343300179 0.3973948867
4001 0.9202765194  -0.0003456830199 0.3912684607
4101 0.922864497  -0.0003571069753 0.3851246456
4201 0.9254114583  -0.0003685966924 0.3789637145
4301 0.9279172902  -0.0003801469639 0.3727859413
4401 0.9303818812  -0.0003917525665 0.3665916006
4501 0.9328051219  -0.0004034082623 0.3603809676
4601 0.9351869045  -0.0004151087984 0.3541543185
4701 0.9375271233  -0.0004268489079 0.3479119298
4801 0.9398256741  -0.0004386233101 0.3416540793
4901 0.9420824549  -0.000450426711 0.3353810448
5001 0.9442973654  -0.0004622538035 0.3290931054
5101 0.9464703071  -0.0004740992685 0.3227905404
5201 0.9486011835  -0.0004859577747 0.31647363
5301 0.9506898999  -0.0004978239792 0.310142655
5401 0.9527363634  -0.0005096925283 0.3037978967
5501 0.9547404832  -0.0005215580573 0.2974396372
5601 0.9567021701  -0.0005334151919 0.291068159
5701 0.958621337  -0.0005452585475 0.2846837454
5801 0.9604978987  -0.0005570827306 0.2782866801
5901 0.9623317716  -0.000568882339 0.2718772474
6001 0.9641228745  -0.0005806519618 0.2654557323
6101 0.9658711275  -0.0005923861805 0.2590224201
6201 0.9675764532  -0.0006040795692 0.2525775968
6301 0.9692387756  -0.0006157266948 0.2461215488
6401 0.970858021  -0.000627322118 0.2396545631
6501 0.9724341173  -0.0006388603931 0.2331769271
6601 0.9739669946  -0.0006503360693 0.2266889288
6701 0.9754565848  -0.0006617436902 0.2201908565
6801 0.9769028216  -0.0006730777952 0.213682999
6901 0.9783056409  -0.000684332919 0.2071656456
7001 0.9796649802  -0.0006955035931 0.200639086
7101 0.9809807792  -0.0007065843453 0.1941036102
7201 0.9822529795  -0.0007175697009 0.1875595087
7301 0.9834815245  -0.0007284541827 0.1810070724
7401 0.9846663597  -0.0007392323117 0.1744465926
7501 0.9858074323  -0.0007498986076 0.1678783607
7601 0.9869046918  -0.0007604475889 0.1613026688
7701 0.9879580894  -0.0007708737738 0.1547198092
7801 0.9889675783  -0.0007811716805 0.1481300743
7901 0.9899331136  -0.0007913358277 0.1415337572
8001 0.9908546525  -0.0008013607349 0.1349311509
8101 0.991732154  -0.0008112409231 0.1283225491
8201 0.9925655792  -0.000820970915 0.1217082452
8301 0.9933548911  -0.000830545236 0.1150885335
8401 0.9941000546  -0.0008399584138 0.1084637081
8501 0.9948010366  -0.0008492049798 0.1018340634
8601 0.995457806  -0.0008582794689 0.09519989418
8701 0.9960703336  -0.0008671764203 0.08856149522
8801 0.9966385924  -0.0008758903777 0.08191916161
8901 0.9971625569  -0.0008844158903 0.07527318857
9001 0.997642204  -0.0008927475124 0.06862387151
9101 0.9980775125  -0.0009008798049 0.06197150595
9201 0.9984684629  -0.0009088073348 0.05531638759
9301 0.9988150379  -0.0009165246764 0.04865881221
9401 0.9991172223  -0.0009240264113 0.04199907573
9501 0.9993750025  -0.0009313071291 0.03533747415
9601 0.9995883672  -0.0009383614278 0.02867430356
9701 0.9997573069  -0.0009451839143 0.02200986011
9801 0.9998818142  -0.0009517692047 0.01534444003
9901 0.9999618835  -0.0009581119252 0.008678339564
10001 0.9999975114  -0.000964206712 0.002011855003
10101 0.9999886962  -0.000970048212 -0.004654717348
10201 0.9999354385  -0.0009756310836 -0.01132108118
10301 0.9998377407  -0.0009809499965 -0.01798694019
10401 0.9996956071  -0.0009859996327 -0.02465199811
10501 0.999509044  -0.0009907751956 -0.0313159587
10601 0.9992780599  -0.0009952711004 -0.03797852576
10701 0.999002665  -0.0009994818491 -0.04463940315
10801 0.9986828717  -0.001003402176 -0.05129829483
10901 0.9983186941  -0.001007026831 -0.05795490484
11001 0.9979101485  -0.001010350576 -0.06460893729
11101 0.9974572531  -0.001013368192 -0.07126009644
11201 0.9969600281  -0.001016074472 -0.07790808668
11301 0.9964184956  -0.001018464229 -0.08455261251
11401 0.9958326798  -0.001020532289 -0.0911933786
11501 0.9952026068  -0.001022273498 -0.0978300898
11601 0.9945283045  -0.001023682718 -0.1044624511
11701 0.993809803  -0.001024754831 -0.1110901678
11801 0.9930471343  -0.001025484735 -0.1177129452
11901 0.9922403323  -0.001025867348 -0.124330489
12001 0.991389433  -0.001025897609 -0.1309425051
12101 0.9904944742  -0.001025570474 -0.1375486995
12201 0.9895554958  -0.001024880922 -0.1441487787
12301 0.9885725394  -0.001023823951 -0.1507424493
12401 0.987545649  -0.001022394581 -0.1573294183
12501 0.9864748701  -0.001020587854 -0.1639093928
12601 0.9853602504  -0.001018398833 -0.1704820804
12701 0.9842018396  -0.001015822604 -0.177047189
12801 0.982999689  -0.001012854276 -0.1836044267
12901 0.9817538523  -0.001009488982 -0.1901535021
13001 0.9804643849  -0.001005721879 -0.1966941242
13101 0.9791313441  -0.001001548147 -0.2032260023
13201 0.9777547892  -0.0009969629924 -0.2097488459
13301 0.9763347814  -0.0009919616448 -0.2162623652
13401 0.974871384  -0.0009865393609 -0.2227662706
13501 0.9733646621  -0.0009806914232 -0.2292602732
13601 0.9718146826  -0.0009744131404 -0.2357440842
13701 0.9702215145  -0.0009676998483 -0.2422174155
13801 0.9685852287  -0.0009605469098 -0.2486799794
13901 0.9669058979  -0.0009529497159 -0.2551314886
14001 0.9651835969  -0.0009449036856 -0.2615716563
14101 0.9634184023  -0.0009364042663 -0.2680001963
14201 0.9616103926  -0.0009274469347 -0.274416823
14301 0.9597596481  -0.0009180271969 -0.280821251
14401 0.9578662513  -0.0009081405888 -0.2872131958
14501 0.9559302864  -0.0008977826766 -0.2935923731
14601 0.9539518394  -0.000886949057 -0.2999584996
14701 0.9519309983  -0.0008756353582 -0.3063112922
14801 0.949867853  -0.0008638372396 -0.3126504686
14901 0.9477624954  -0.0008515503925 -0.3189757471
15001 0.9456150189  -0.0008387705407 -0.3252868464
15101 0.9434255192  -0.0008254934407 -0.3315834861
15201 0.9411940936  -0.0008117148819 -0.3378653862
15301 0.9389208414  -0.0007974306876 -0.3441322677
15401 0.9366058636  -0.0007826367148 -0.350383852
15501 0.9342492633  -0.0007673288548 -0.3566198611
15601 0.9318511451  -0.0007515030337 -0.3628400179
15701 0.9294116158  -0.0007351552127 -0.369044046
15801 0.9269307839  -0.0007182813885 -0.3752316696
15901 0.9244087597  -0.0007008775937 -0.3814026137
16001 0.9218456554  -0.0006829398972 -0.387556604
16101 0.9192415849  -0.0006644644045 -0.3936933669
16201 0.916596664  -0.0006454472582 -0.3998126298
16301 0.9139110104  -0.0006258846382 -0.4059141206
16401 0.9111847436  -0.0006057727625 -0.4119975681
16501 0.9084179846  -0.0005851078869 -0.418062702
16601 0.9056108567  -0.0005638863059 -0.4241092527
16701 0.9027634846  -0.0005421043531 -0.4301369514
16801 0.899875995  -0.000519758401 -0.4361455302
16901 0.8969485162  -0.0004968448622 -0.442134722
17001 0.8939811785  -0.000473360189 -0.4481042607
17101 0.8909741137  -0.0004493008741 -0.4540538809
17201 0.8879274557  -0.000424663451 -0.4599833182
17301 0.8848413399  -0.0003994444943 -0.465892309
17401 0.8817159035  -0.0003736406201 -0.4717805908
17501 0.8785512856  -0.0003472484862 -0.4776479017
17601 0.8753476268  -0.0003202647924 -0.483493981
17701 0.8721050697  -0.0002926862814 -0.4893185688
17801 0.8688237583  -0.0002645097382 -0.4951214063
17901 0.8655038387  -0.0002357319914 -0.5009022356
18001 0.8621454584  -0.0002063499129 -0.5066607997
18101 0.8587487669  -0.0001763604185 -0.5123968426
18201 0.855313915  -0.0001457604682 -0.5181101095
18301 0.8518410556  -0.0001145470664 -0.5238003463
18401 0.8483303432  -8.271726242e-05 -0.5294673002
18501 0.8447819337  -5.026815071e-05 -0.5351107193
18601 0.8411959851  -1.71968712e-05 -0.5407303527
18701 0.8375726567  1.649939041e-05 -0.5463259507
18801 0.8339121097  5.082340229e-05 -0.5518972646
18901 0.8302145069  8.577788618e-05 -0.5574440467
19001 0.8264800126  0.0001213655171 -0.5629660505
19101 0.822708793  0.000157588923 -0.5684630306
19201 0.8189010156  0.0001944506846 -0.5739347426
19301 0.8150568499  0.0002319533349 -0.5793809434
