0 1  0 -0.000302
129 0.1659252383  -0.9855831553 -0.03308563722
130 0.2033985863  -0.9790734205 -0.006652243575
131 0.2398974196  -0.970742858 -0.01036975336
132 0.276657539  -0.9604331869 -0.032073347
133 0.3128636183  -0.9497977708 -0.0007422831533
134 0.348148188  -0.9372489423 -0.0189013058
135 0.383804735  -0.9230156907 -0.027128585
136 0.4183303094  -0.9082937345 0.001498032219
137 0.45195708  -0.8916401172 -0.02669642846
138 0.485946504  -0.8737720804 -0.01945113999
139 0.5184249641  -0.8551229918 -0.0004748838263
140 0.5500305645  -0.8345364468 -0.03186372586
141 0.5817675903  -0.8132819786 -0.01090385436
142 0.6118276928  -0.7909669103 -0.006182326245
143 0.6411133904  -0.7667298983 -0.0331494136
144 0.670069437  -0.7422898838 -0.003560627168
145 0.6973209843  -0.716617529 -0.01423945077
146 0.7239971298  -0.6891397577 -0.03024153456
147 0.7497568678  -0.661712932 0.0007967932398
148 0.7738252728  -0.6329925375 -0.02269129022
149 0.797556923  -0.6027722119 -0.02384565166
150 0.8198215242  -0.5726180523 0.001111129681
151 0.8404053572  -0.5411555656 -0.02948710442
152 0.8608013414  -0.508704607 -0.01551365118
153 0.8793447672  -0.4761780375 -0.002693887911
154 0.8962519924  -0.4423175552 -0.03297796842
155 0.9129100258  -0.4080961561 -0.007267195772
156 0.9275270532  -0.3736302613 -0.009695016445
157 0.9406603267  -0.3378072972 -0.03231686481
158 0.9532416709  -0.3022070334 -0.001107191549
159 0.9637299105  -0.2662586256 -0.01819351383
160 0.9730284194  -0.2290204944 -0.02766420267
161 0.9813152358  -0.1924012528 0.001471708386
162 0.9875058703  -0.1554011561 -0.02612731889
163 0.9928836572  -0.1173714842 -0.02014889615
164 0.9967851976  -0.08012019353 -0.0001562359256
165 0.9985989708  -0.04246578643 -0.03157138648
166 0.9999236681  -0.004269285736 -0.01159444662
167 0.9994342136  0.03316530276 -0.005596022804
168 0.9969184894  0.0710701643 -0.03320477714
169 0.9940467288  0.1088782954 -0.004076491383
170 0.989191938  0.1460010607 -0.01352775148
171 0.9825067973  0.1836902959 -0.03063116772
172 0.9753530764  0.2206491309 0.0005808254998
173 0.966167694  0.256972379 -0.02202688059
174 0.9555253614  0.2938915743 -0.02447501449
175 0.944118294  0.3296044458 0.001247460467
176 0.9306726531  0.3646993316 -0.0290311957
177 0.9162686324  0.4002354047 -0.01623003614
178 0.9007586396  0.4343142446 -0.002238337673
179 0.8832129929  0.4678207627 -0.03284118153
180 0.8651942181  0.5013747159 -0.007896780417
