0 0  0 1
181 0.002975272627  0.01164521363 0.9999277658
182 0.03370152966  0.007832886839 0.9994012471
183 0.01136587508  -0.01330620936 0.9998468691
184 0.007399225226  0.01823104873 0.9998064214
185 0.03413200332  0.00318411015 0.9994122612
186 0.005176759531  -0.008049754856 0.9999542003
187 0.01299900792  0.02265414233 0.9996588496
188 0.0318206477  -0.001347867493 0.9994926861
189 0.0004441699883  -0.0009531347831 0.9999994471
190 0.01888697122  0.02452221211 0.9995208569
191 0.02702383948  -0.004853279283 0.9996230078
192 -0.00223078116  0.007194485496 0.9999716311
193 0.02410589881  0.02380598177 0.9994259257
194 0.02033253154  -0.006582214257 0.9997716052
195 -0.002574815127  0.01543866948 0.9998775014
196 0.02776969539  0.02083988875 0.9993970898
197 0.01258793275  -0.006057113342 0.9999024229
198 -0.0006808765141  0.02279635311 0.9997398975
199 0.02919376981  0.01627021068 0.999441346
200 0.004760807925  -0.003145709743 0.9999837195
201 0.00300759479  0.02839671178 0.9995922074
202 0.02799640785  0.01095832059 0.999547956
203 -0.002188202128  0.001916556323 0.9999957693
204 0.007763945076  0.03160550231 0.9994702664
205 0.02415661877  0.005853028857 0.9996910522
206 -0.007446783018  0.008558278346 0.9999356486
207 0.01268695837  0.03211481775 0.999403662
208 0.01802003334  0.001850317024 0.9998359139
209 -0.01046722273  0.01595350158 0.9998179449
210 0.01683481218  0.02998548533 0.999408555
211 0.01025172267  -0.0003393037443 0.9999473921
212 -0.01104353946  0.02314079806 0.9996712178
213 0.01936487073  0.0256362817 0.9994837582
214 0.001742437625  -0.00029641699 0.999998438
215 -0.009338195285  0.02916231586 0.9995310688
216 0.01965921284  0.01978169161 0.9996110244
217 -0.006518296625  0.002044397883 0.9999766659
218 -0.005854767733  0.03320228511 0.9994315034
219 0.01741785439  0.01332714075 0.9997594739
220 -0.01358367432  0.006383911082 0.9998873584
221 -0.00136095104  0.03470480924 0.99939668
222 0.01270609656  0.007236654736 0.9998930873
223 -0.01868478352  0.01210154283 0.9997521851
224 0.003226631278  0.03345404874 0.9994350482
225 0.0059488336  0.002391984326 0.9999794447
226 -0.02133948095  0.01834615861 0.9996039441
227 0.006979039866  0.02960544697 0.9995372982
228 -0.002127739267  -0.0005362565417 0.9999975926
229 -0.02141905391  0.02416078391 0.9994786044
230 0.009093403252  0.02366359895 0.9996786204
231 -0.01059878092  -0.001186382534 0.9999431276
232 -0.0191632004  0.02862277321 0.9994065782
233 0.009013164345  0.01640984502 0.9998247246
234 -0.01847282971  0.0004422361373 0.9998292649
235 -0.01514153171  0.0309789711 0.9994053419
236 0.006512703788  0.008789805292 0.9999401602
237 -0.02483368378  0.003990467794 0.9996836321
238 -0.010167483  0.03075640125 0.9994751953
239 0.001733759381  0.001776958645 0.9999969182
240 -0.02897116562  0.008793800576 0.9995415652
241 -0.005177173045  0.02783266633 0.9995991895
242 -0.004832053673  -0.003767884133 0.999981227
243 -0.03048163598  0.01398153043 0.9994375352
244 -0.001090618823  0.02245594752 0.9997472385
245 -0.012412349  -0.007220493283 0.9998968937
246 -0.02932382386  0.01860597691 0.9993967836
247 0.001324746599  0.01521154378 0.9998834202
248 -0.02006461741  -0.008282132077 0.999764381
249 -0.02582220784  0.02178281659 0.9994291983
250 0.00156843392  0.006939474832 0.9999746915
251 -0.02681202122  -0.007020345328 0.9996158413
252 -0.02061773366  0.0228222784 0.9995269144
253 -0.0005177481617  -0.001385165655 0.9999989066
254 -0.03178422917  -0.003855815884 0.9994873163
255 -0.01457305264  0.02133237906 0.9996662222
256 -0.004724699866  -0.008791745788 0.99995019
257 -0.03434264955  0.0005024358832 0.9994099909
258 -0.008645837417  0.01727930386 0.9998133202
259 -0.01050532049  -0.01445297838 0.9998403621
260 -0.03417198433  0.005163717609 0.9994026273
261 -0.00374833348  0.0109959942 0.9999325168
262 -0.01705381076  -0.01780259243 0.9996960714
263 -0.03132510782  0.009188535893 0.9994670122
264 -0.0006135010761  0.003137331282 0.9999948904
265 -0.0234231572  -0.0186144672 0.9995523285
266 -0.02621499969  0.01172847604 0.9995875233
267 0.0003125683091  -0.005411900087 0.9999853067
268 -0.02866333569  -0.01703181323 0.9994440107
269 -0.01955491109  0.01215299503 0.9997349199
270 -0.00106406857  -0.01366296526 0.9999060912
271 -0.03195993052  -0.01354249936 0.9993974002
272 -0.0122552198  0.01014481219 0.9998734382
273 -0.004472022367  -0.02066451443 0.9997764644
274 -0.03275309515  -0.008904481821 0.9994238065
275 -0.005291671941  0.005749874567 0.9999694681
276 -0.009315407679  -0.02563838433 0.999627879
277 -0.03081983296  -0.00403234051 0.9995168223
278 0.0004359479501  -0.000625737111 0.9999997092
279 -0.01476247294  -0.02808987716 0.9994963873
280 -0.02630786667  0.0001386917743 0.9996538786
281 0.004233990148  -0.008271871112 0.9999568238
282 -0.01986874114  -0.02787653182 0.9994138943
283 -0.0197161623  0.002791684654 0.9998017201
284 0.005714661384  -0.01627529976 0.9998512176
285 -0.02371650988  -0.02522569613 0.999400416
286 -0.01182467309  0.003349885892 0.9999244748
287 0.004850487879  -0.02365076346 0.9997085146
288 -0.02555046385  -0.02069869726 0.9994592226
289 -0.003583179618  0.001563665809 0.9999923579
290 0.001975569854  -0.02948264283 0.9995633401
291 -0.02488992198  -0.01510698024 0.9995760456
292 0.004024777708  -0.002450473015 0.9999888981
293 -0.002266280876  -0.03305638322 0.999450919
294 -0.02160161304  -0.009392292076 0.9997225391
295 0.01012295524  -0.008224865656 0.9999149351
296 -0.0070185782  -0.03396056396 0.9993985289
297 -0.01592237935  -0.004488066238 0.9998631582
298 0.01406759479  -0.01500759957 0.999788415
299 -0.01133999124  -0.03214503645 0.9994188818
300 -0.008428225433  -0.001181988188 0.9999637833
301 0.01553822562  -0.02187146529 0.9996400365
302 -0.01434438261  -0.02792700279 0.9995070391
303 4.616037045e-05  1.806632169e-07 0.9999999989
304 0.01458081856  -0.02784872913 0.9995058019
305 -0.01533291065  -0.02194429843 0.9996416106
306 0.008525921853  -0.00112771208 0.9999630178
307 0.01159726615  -0.0320718213 0.9994182817
308 -0.01389919637  -0.01506254094 0.999789944
309 0.0160352632  -0.004384687275 0.9998618129
310 0.007283111711  -0.03389943483 0.9993987115
311 -0.009992247864  -0.008249351159 0.9999160481
312 0.02173681624  -0.009249437674 0.9997209404
313 0.002522866929  -0.0330099181 0.99945184
314 -0.003927707855  -0.002433716409 0.999989325
315 0.02505055312  -0.01493739817 0.9995745815
316 -0.001741846051  -0.02944867576 0.999564776
317 0.003654605079  0.00162900722 0.9999919951
318 0.02573486122  -0.02051650066 0.9994582483
319 -0.004652364198  -0.02362281543 0.999710117
320 0.01188093644  0.003466514684 0.9999234104
321 0.02391820384  -0.02504444195 0.9994001678
322 -0.005561115778  -0.01624367071 0.9998525977
323 0.01976843765  0.00295711186 0.9998002122
324 0.02007713489  -0.02770741104 0.9994144326
325 -0.004129187594  -0.008225231637 0.9999576468
326 0.02636614127  0.0003454130572 0.9996522932
327 0.01496414592  -0.02794027884 0.9994975814
328 -0.0003788675674  -0.0005529856673 0.9999997753
329 0.03089122422  -0.003795964336 0.9995155441
330 0.009495854476  -0.02551104019 0.9996294391
331 0.005306878296  0.005857762561 0.9999687613
332 0.03284061187  -0.008652765524 0.9994231455
333 0.004617576408  -0.02055734599 0.9997780121
334 0.01223819247  0.01029321586 0.99987213
335 0.03206186139  -0.01329060499 0.9993975169
336 0.001163732433  -0.01356965262 0.9999072508
337 0.01951752435  0.01234259207 0.9997333278
338 0.02877335673  -0.01679381607 0.9994448768
339 -0.0002656507707  -0.005323085859 0.999985797
340 0.02616950938  0.01195485678 0.9995860334
341 0.02353114414  -0.01840159455 0.9995537337
342 0.0006058584238  0.003232382041 0.9999945923
343 0.03128227659  0.009442547424 0.9994659861
344 0.01714723942  -0.01762188826 0.9996976749
345 0.003689558865  0.01110752395 0.9999315027
346 0.034139459  0.005432491572 0.9994023141
347 0.01057105176  -0.01430658488 0.9998417747
348 0.008544071503  0.01741525898 0.9998118361
349 0.03432382781  0.0007709541896 0.9994104665
350 0.004750889534  -0.008676902392 0.999951069
351 0.01443996699  0.02149693968 0.9996646282
352 0.03177778145  -0.003602841861 0.9994884652
353 0.000495603129  -0.001294921746 0.9999990388
354 0.02046686952  0.02301494002 0.9995255974
355 0.02681213694  -0.006796552144 0.9996173849
356 -0.001643309447  0.00701494154 0.9999740447
357 0.02566707683  0.02199816138 0.9994284777
358 0.02006193929  -0.008097814671 0.9997659446
359 -0.001451612047  0.01528319936 0.9998821514
360 0.02917604677  0.01883417209 0.9993968342
361 0.0123954578  -0.007081391057 0.9998980981
362 0.0009176633447  0.02253402012 0.9997456556
363 0.0303493895  0.01420948476 0.9994383448
364 0.004789285341  -0.003674615937 0.9999817798
365 0.004968488502  0.0279248887 0.9995976764
366 0.0288581619  0.009006813901 0.9995429374
367 -0.001812431093  0.001828731765 0.9999966854
368 0.009936571704  0.03086663719 0.9994741194
369 0.02473882943  0.00417413631 0.9996852339
370 -0.006633996127  0.008808516622 0.9999391982
371 0.01490328603  0.03110642922 0.999404964
372 0.01839061133  0.0005843386778 0.9998307077
373 -0.009179272077  0.01640658686 0.9998232668
374 0.01893197253  0.02876192569 0.9994069902
375 0.01052031798  -0.001094289648 0.9999440612
376 -0.009301422853  0.02365032734 0.9996770206
377 0.02120682507  0.02430200471 0.9994797062
378 0.002042347596  -0.0004977661699 0.9999977905
379 -0.007221118667  0.02959309053 0.9995359445
380 0.02115439373  0.01847699008 0.9996054684
381 -0.006051799217  0.002378527514 0.9999788589
382 -0.003490823383  0.03345079925 0.9994342691
383 0.01853024775  0.01220840784 0.999753762
384 -0.01283539302  0.007177819384 0.99989186
385 0.001089243101  0.03471484476 0.9993966645
386 0.01345817326  0.00645402223 0.9998886054
387 -0.01757876756  0.01323339174 0.9997579028
388 0.00559097198  0.03322511303 0.9994322553
389 0.006415917501  0.002067586264 0.9999772803
390 -0.01985247622  0.0196658398 0.9996094907
391 0.009096631533  0.02919283221 0.9995324056
392 -0.00183082988  -0.0003262196433 0.9999982708
393 -0.01958624714  0.02551162685 0.9994826341
394 0.01083564161  0.02317005474 0.9996728152
395 -0.0103368438  -0.0004231456422 0.9999464839
396 -0.01707540369  0.02986392278 0.9994081132
397 0.01030017742  0.01597006918 0.9998194153
398 -0.01811231359  0.001716629967 0.9998344849
399 -0.01293420299  0.03200518448 0.9994040097
400 0.007322779159  0.008550005031 0.9999366352
401 -0.02426438808  0.005678424774 0.9996894493
402 -0.008003159104  0.03151240251 0.9994713192
403 0.002104396908  0.001872465131 0.9999960327
404 -0.02812440088  0.01075529566 0.999546568
405 -0.003223839309  0.02831999187 0.9995937099
406 -0.004811605294  -0.003233663529 0.9999831958
407 -0.02934217242  0.01605317363 0.9994405098
408 0.0005008735818  0.02273130073 0.9997414851
409 -0.01261596279  -0.006192682936 0.9999012392
410 -0.02793387498  0.02062325509 0.9993970082
411 0.002440958456  0.0153769053 0.9998787889
412 -0.02034936423  -0.006764100817 0.9997700487
413 -0.02427686113  0.02360229316 0.9994266185
414 0.002148373918  0.007125415013 0.9999723061
415 -0.02704048571  -0.005075083696 0.9996214562
416 -0.01905247977  0.02434055237 0.9995221561
417 -0.0004750165737  -0.001040524229 0.9999993458
418 -0.03184578034  -0.001598764634 0.9994915158
419 -0.0131452052  0.02249907794 0.9996604399
420 -0.005160989232  -0.008165016968 0.9999533473
421 -0.03417054964  0.002918069623 0.9994117562
422 -0.007512521439  0.01810224496 0.9998079169
423 -0.01131264432  -0.01345575898 0.9998454714
424 -0.03375384221  0.007567033409 0.99940153
425 -0.003044228023  0.01153777855 0.9999288036
426 -0.01809072408  -0.01639667058 0.999701893
427 -0.03070515896  0.0114135088 0.9994633185
428 -0.0004315743397  0.003503879577 0.9999937683
429 -0.02453570574  -0.01681974197 0.9995574498
430 -0.02548788102  0.01363577531 0.9995821295
431 -6.548633447e-05  -0.005089177668 0.9999870479
432 -0.02970754197  -0.01492575094 0.9994471892
433 -0.01885182789  0.01364791662 0.9997291348
434 -0.001979074132  -0.01324873062 0.9999102732
435 -0.03282253733  -0.01125119232 0.9993978646
436 -0.01172450638  0.01118874407 0.9998686654
437 -0.00584307046  -0.02004160439 0.9997820726
438 -0.03336755772  -0.006586593275 0.9994214441
439 -0.005076571606  0.006363643032 0.9999668657
440 -0.01101485725  -0.024727186 0.9996335525
441 -0.03117525044  -0.001858243915 0.9995122064
442 0.0002190360324  -0.0003671154482 0.9999999086
443 -0.01663365264  -0.02686211676 0.9995007495
444 -0.02644956837  0.002009581105 0.9996481291
445 0.003513601424  -0.008252248715 0.9999597767
446 -0.02174762559  -0.02636144776 0.9994158868
447 -0.01973786947  0.00423212305 0.9997962321
448 0.00447602484  -0.01635633448 0.9998562074
449 -0.02545422284  -0.02350768642 0.9993995553
450 -0.01185337939  0.004281497371 0.9999205799
451 0.00313921319  -0.02369393023 0.9997143307
452 -0.02703335695  -0.01890677089 0.9994557177
453 -0.003758959932  0.001966700605 0.9999910011
454 -0.0001072888192  -0.02937107168 0.9995685713
455 -0.0260543384  -0.01339752624 0.9995707467
456 0.003571065745  -0.002535735529 0.9999904087
457 -0.004577070977  -0.0327133125 0.9994542959
458 -0.02244121522  -0.007927644425 0.999716732
459 0.00929078945  -0.008705266988 0.9999189465
460 -0.009389941625  -0.0333617085 0.9993992322
461 -0.016486992  -0.00341395734 0.9998582519
462 0.01280360411  -0.01575174441 0.9997939539
463 -0.01360307302  -0.03132306808 0.9994167408
464 -0.00881437385  -0.0006071582988 0.9999609683
465 0.01384621393  -0.02272969351 0.999645759
466 -0.01635115625  -0.02696749015 0.9995025734
467 -0.0002883769625  1.924734134e-05 0.9999999582
468 0.01252351085  -0.02867547867 0.9995103194
469 -0.01697541059  -0.02097368803 0.9996359036
470 0.008106684096  -0.001660734127 0.9999657612
471 0.009289507915  -0.03274710731 0.9994204981
472 -0.01512289285  -0.01422991298 0.9997843806
473 0.01540783671  -0.005406584214 0.9998666748
474 0.004877497994  -0.03434631729 0.9993980891
475 -0.01080164031  -0.007704591934 0.999911978
476 0.02081093274  -0.01064650591 0.9997267412
477 0.0001898694382  -0.03320542716 0.9994485297
478 -0.004383336233  -0.002305284682 0.9999877359
479 0.02378466106  -0.01656159363 0.9995799135
480 -0.003836396574  -0.02942661832 0.9995595811
481 0.003447279914  0.001253465773 0.9999932725
482 0.02414443598  -0.02220632211 0.9994618179
483 -0.006369203343  -0.02346806095 0.999704298
484 0.01178913651  0.002553853432 0.9999272444
485 0.02207564526  -0.02664750443 0.9994011089
486 -0.006805720964  -0.01607874694 0.9998475664
487 0.01965355003  0.001534648817 0.9998056725
488 0.01810325481  -0.02910143675 0.9994125167
489 -0.004863577703  -0.008191182015 0.999954624
490 0.02610590221  -0.001501709246 0.9996580549
491 0.01301246506  -0.029049476 0.9994932735
492 -0.0006253170482  -0.0007872881193 0.9999994946
493 0.03039933357  -0.005935644768 0.9995202092
494 0.007731965008  -0.02631551393 0.9996237845
495 0.005470744459  0.005242969831 0.9999712907
496 0.03208089677  -0.01092345501 0.9994255821
497 0.003196540454  -0.02109419131 0.9997723827
498 0.01269219151  0.009229388329 0.9998768558
499 0.03105491766  -0.01552292227 0.9993971338
500 0.0002087810915  -0.01392558147 0.9999030126
501 0.0201177028  0.01081681222 0.9997391033
502 0.02759469752  -0.01883314676 0.9994417668
503 -0.0006800267691  -0.005619672506 0.9999839783
504 0.02677015223  0.01001386365 0.9995914573
505 0.0223011167  -0.02012842049 0.9995486516
506 0.0007477564807  0.002858668033 0.9999956344
507 0.03175790365  0.007188158564 0.9994697424
508 0.01601416025  -0.01896692534 0.9996918537
509 0.004342914948  0.01052755143 0.9999351528
510 0.03440359239  0.003009072812 0.9994034912
511 0.00968999425  -0.01525855402 0.9998366269
512 0.0096104113  0.0165284481 0.9998172085
513 0.03434180117  -0.001653255761 0.9994087789
514 0.004261199703  -0.009281819418 0.9999478436
515 0.01578158175  0.02024831528 0.9996704194
516 0.03157173631  -0.005857863336 0.9994843225
517 0.0005004212068  -0.001647023544 0.9999985184
518 0.02192668677  0.02140550455 0.9995304021
519 0.02645748535  -0.008733071497 0.9996117921
520 -0.001092520141  0.006789291178 0.9999763557
521 0.02709107018  0.020087055 0.9994311303
522 0.01967580519  -0.009606644215 0.9997602588
523 -0.0003632510795  0.01504624322 0.9998867329
524 0.03043492296  0.01673229171 0.9993966909
525 0.01211877385  -0.008107177764 0.9998936988
526 0.002475642628  0.02215891237 0.999751396
527 0.03135641289  0.01206547441 0.9994354405
528 0.004765153402  -0.004221818253 0.9999797346
529 0.006877343154  0.02731627467 0.9996031829
530 0.0295805466  0.006987438463 0.9995379768
531 -0.001460946895  0.001698460191 0.9999974904
532 0.01204270911  0.02997647577 0.9994780558
533 0.02520106182  0.002441859872 0.9996794205
534 -0.005823375755  0.008987140549 0.9999426582
535 0.01703905921  0.02994273537 0.9994063753
536 0.01866923107  -0.0007246626552 0.9998254521
537 -0.007879464318  0.01675709751 0.9998285422
538 0.02093831757  0.02738915231 0.9994055339
539 0.01073092404  -0.001888500967 0.9999406387
540 -0.007542126864  0.0240281708 0.9996828314
541 0.02295447471  0.02283299977 0.9994757357
542 0.002320733813  -0.000742423794 0.9999970315
543 -0.00508948747  0.02986845739 0.9995408808
544 0.02256061546  0.01705768252 0.999599947
545 -0.005571604168  0.002657392587 0.9999809476
546 -0.001120913641  0.03352850383 0.9994371331
547 0.01956870177  0.0109974269 0.9997480295
548 -0.01204293953  0.007897973012 0.9998962894
549 0.00353375003  0.03454889125 0.9993967614
550 0.01416047596  0.005600194944 0.9998840526
551 -0.01640562607  0.01426894202 0.9997635984
552 0.007938284645  0.0328258319 0.9994295615
553 0.00686469652  0.001688580343 0.999975012
554 -0.0182845766  0.02086588618 0.9996150704
555 0.01118950252  0.0286255531 0.9995275748
556 -0.001516360868  -0.000160989506 0.9999988374
557 -0.01766829101  0.02672227358 0.9994867441
558 0.01255190499  0.02254550624 0.9996670195
559 -0.01002065946  0.0002971601339 0.9999497478
560 -0.01490669102  0.03095043981 0.9994097562
561 0.01156821529  0.01542789333 0.999814061
562 -0.01766377543  0.002942245924 0.9998396543
563 -0.01065646637  0.03287109502 0.9994027871
564 0.008129688204  0.008237778805 0.9999330213
565 -0.02357958295  0.007305544374 0.9996952697
566 -0.005782153541  0.03211273718 0.9994675276
567 0.002495678447  0.001923288794 0.9999950363
568 -0.02714346785  0.01264026799 0.9995516274
569 -0.001227333258  0.02866680008 0.9995882694
570 -0.004740773506  -0.002721724575 0.9999850585
571 -0.02806006642  0.0180322584 0.9994435804
572 0.002125540864  0.02289062975 0.9997357156
573 -0.01273657748  -0.005172274037 0.9999055091
574 -0.02640298627  0.02253506261 0.999397345
575 0.00358651735  0.01545769109 0.9998740904
576 -0.02051922381  -0.005247054531 0.9997756898
577 -0.02260109941  0.02530966174 0.9994241399
578 0.002761619608  0.007261907741 0.9999698186
579 -0.02712654567  -0.003132439393 0.9996270996
580 -0.01737366855  0.0257487099 0.9995174634
581 -0.0003869082402  -0.0007102238757 0.9999996729
582 -0.03174494481  0.0006476820268 0.9994957924
583 -0.01162374135  0.02356747667 0.9996546717
