0 0  0 1
1 0.03140964805  0.0005922460433 0.9995064198
2 0.01278860541  -0.02355155821 0.9996408233
3 0.004795252935  0.007085284482 0.9999634015
4 0.03386434796  -0.003963136254 0.9994185807
5 0.007272966398  -0.01920155859 0.9997891798
6 0.01106376694  0.01235321528 0.9998624861
7 0.03358176325  -0.008640900651 0.9993986192
8 0.002921596211  -0.01266777277 0.9999154923
9 0.01796549938  0.01528671725 0.9997217398
10 0.03066829726  -0.0125058911 0.9994513786
11 0.0004252282339  -0.004646922226 0.9999891126
12 0.02453950279  0.01571643229 0.9995753131
13 0.02558436631  -0.01473550023 0.9995640576
14 0.0001746395246  0.003951511153 0.9999921775
15 0.02984368786  0.01384167846 0.9994587346
16 0.01907715517  -0.01474265738 0.9997093159
17 0.002202944449  0.01213484423 0.9999239434
18 0.03309181055  0.01019758525 0.9994002908
19 0.01207204045  -0.01226489083 0.9998519082
20 0.006180784329  0.01896906111 0.9998009665
21 0.03376784541  0.005573558908 0.9994141624
22 0.005538175971  -0.007406372484 0.9999572362
23 0.01146513287  0.02371200009 0.9996530857
24 0.03170139631  0.0008951084268 0.9994969836
25 0.0003476677363  -0.0006264693224 0.9999997433
26 0.01719433981  0.02591824533 0.9995161826
27 0.02709342639  -0.002913886819 0.9996286588
28 -0.002851009269  0.007323894328 0.9999691157
29 0.02241519966  0.02550051673 0.999423475
30 0.02048857453  -0.005068685275 0.9997772386
31 -0.003726577834  0.01550893366 0.9998727847
32 0.02622331901  0.02273894141 0.9993974575
33 0.01269783299  -0.005041117896 0.9999066717
34 -0.002311589136  0.02294205504 0.999734124
35 0.02789640618  0.01823722046 0.9994444428
36 0.004682496663  -0.002639750703 0.9999855529
37 0.001004704541  0.0287274076 0.9995867779
38 0.02700134599  0.01283224048 0.9995530306
39 -0.002583909092  0.001959238316 0.9999947424
40 0.005535932193  0.03218807454 0.9994664983
41 0.0234597169  0.007470171078 0.9996968732
42 -0.008255515419  0.008235334093 0.9999320106
43 0.0104015772  0.03296226387 0.9994024697
44 0.01756222143  0.003066805402 0.9998410689
45 -0.01173512488  0.01539787851 0.9998125785
46 0.01465808915  0.03105377963 0.9994102277
47 0.00992966332  0.0003722756985 0.9999506304
48 -0.01275843663  0.02250022641 0.9996654251
49 0.01743906665  0.02682977156 0.99948789
50 0.00142577895  -0.0001400954987 0.9999989738
51 -0.01142916836  0.02857689798 0.9995262553
52 0.01808434393  0.02096625506 0.9996166128
53 -0.006965616961  0.001655691415 0.9999743691
54 -0.008200211435  0.03278347391 0.9994288371
55 0.01623942753  0.01434920971 0.999765163
56 -0.01428122061  0.005519069174 0.9998827864
57 -0.003803955077  0.03451884177 0.9993968078
58 0.01191082125  0.007945352924 0.9998974966
59 -0.01971579474  0.01087789949 0.9997464472
60 0.0008577947674  0.03351223864 0.9994379391
61 0.005468920435  0.002661162184 0.9999815044
62 -0.02273635749  0.01691246923 0.9995984326
63 0.004848269452  0.02986273884 0.9995422508
64 -0.002402335506  -0.000789310384 0.9999968029
65 -0.02315630209  0.02267590332 0.9994746565
66 0.007335217133  0.02402559214 0.999684433
67 -0.01080198498  -0.001988301965 0.9999396801
68 -0.02115887932  0.02723314431 0.9994051519
69 0.007715346539  0.01674726909 0.9998299868
70 -0.01874065555  -0.0008744023456 0.9998239961
71 -0.01726700501  0.02979819241 0.9994067832
72 0.005705651688  0.008958343437 0.9999435952
73 -0.0252822535  0.002250106166 0.9996778204
74 -0.01226407688  0.02984982532 0.9994791545
75 0.001388072723  0.001639524254 0.9999976926
76 -0.02967778227  0.006765567731 0.9995366208
77 -0.007077347255  0.02720924617 0.9996047059
78 -0.004799401258  -0.0043196878 0.9999791528
79 -0.03147169404  0.01182782771 0.9994346577
80 -0.002640605047  0.02206850037 0.9997529737
81 -0.01212417446  -0.008248894242 0.9998924743
82 -0.03056547575  0.01649379448 0.9993966712
83 0.0002441052597  0.01496538517 0.9998879826
84 -0.01966407713  -0.009792276237 0.9997586886
85 -0.02722956935  0.01986129418 0.9994318784
86 0.001025662333  0.006708157774 0.9999769741
87 -0.02644041697  -0.008957566226 0.9996102572
88 -0.02206217325  0.02120301973 0.9995317366
89 -0.0005136265077  -0.001739316887 0.9999983555
90 -0.03155933706  -0.006111500081 0.9994831954
91 -0.0159009421  0.02007534954 0.9996720164
92 -0.004224586017  -0.009395333185 0.9999469389
93 -0.03434074513  -0.001922767452 0.9994083331
94 -0.00970020462  0.01638633716 0.9998186806
95 -0.009611960038  -0.01540075506 0.9998351999
96 -0.03441618233  0.002738869958 0.9994038348
97 -0.004391281982  0.01041283613 0.9999361427
98 -0.01590640491  -0.01914128907 0.9996902507
99 -0.03178170756  0.006932460938 0.999470792
100 -0.0007461330737  0.002763909902 0.999995902
101 -0.02217693038  -0.02033361261 0.9995472615
102 -0.02679836566  0.009785975435 0.9995929583
103 0.0007356414074  -0.005704495723 0.9999834586
104 -0.02746705423  -0.0190629079 0.999440927
105 -0.0201401841  0.0106265137 0.9997406915
106 -0.0001003756919  -0.01401130771 0.9999018318
107 -0.03093464929  -0.01576667637 0.9993970479
108 -0.01269701836  0.009081811311 0.9998781458
109 -0.003041659857  -0.02119059527 0.9997708272
110 -0.03197521344  -0.01116755673 0.9994262711
111 -0.005446063688  0.005138140278 0.9999719696
112 -0.007541241049  -0.0264295952 0.9996222317
113 -0.03031090503  -0.006165087758 0.9995215059
114 0.0006894176015  -0.0008541773657 0.9999993975
115 -0.01279944923  -0.02918416738 0.9994921003
116 -0.02603263241  -0.001702049773 0.9996596446
117 0.004973450003  -0.008228811775 0.9999537747
118 -0.01788262547  -0.02925492485 0.9994120077
119 -0.01958907566  0.001375430102 0.9998071696
120 0.006963028601  -0.01609816874 0.9998461708
121 -0.02186127784  -0.02681326473 0.9994013875
122 -0.01172397429  0.002443819928 0.9999282855
123 0.006570451439  -0.02348087275 0.9997026947
124 -0.02394761474  -0.02237386645 0.9994628166
125 -0.003370452467  0.001195744047 0.9999936051
126 0.004073191273  -0.02944308762 0.9995581592
127 -0.02361269045  -0.0167178238 0.99958139
128 0.004482436249  -0.002312794622 0.9999872793
129 7.013353078e-05  -0.03323283759 0.9994476342
130 -0.02066634739  -0.010777478 0.9997283371
131 0.01093142287  -0.007668775124 0.999910843
132 -0.004609055727  -0.03438778178 0.9993979373
133 -0.01528832185  -0.005499428434 0.999868003
134 0.01528805016  -0.01416133289 0.9997828425
135 -0.009027969867  -0.03280102264 0.9994211268
136 -0.008005714133  -0.001705451417 0.9999664994
137 0.01717592907  -0.0208849775 0.9996343357
138 -0.01228286361  -0.02873570211 0.9995115761
139 0.0003802787313  2.837275583e-05 0.9999999273
140 0.01658200882  -0.02687147532 0.9995013561
141 -0.01363735811  -0.02278641657 0.9996473387
142 0.00890794203  -0.0005435807911 0.9999601758
143 0.01385464069  -0.03123089936 0.9994161695
144 -0.01263307586  -0.01579293644 0.9997954734
145 0.01659234333  -0.003300538556 0.9998568901
146 0.009649106966  -0.03328127114 0.9993994455
147 -0.00916011507  -0.008718478027 0.999920037
148 0.0225660677  -0.007773602996 0.9997151313
149 0.004828827934  -0.03264814802 0.999455242
150 -0.003476839341  -0.002509994676 0.9999908057
151 0.02620258892  -0.0132154385 0.9995692955
152 0.0003366380239  -0.02931996676 0.9995700207
153 0.003824290826  0.002039169049 0.9999906083
154 0.02720422863  -0.01871086411 0.9994547681
155 -0.00294535629  -0.02365123154 0.9997159317
156 0.01190013863  0.004403991761 0.9999194925
157 0.0256421102  -0.02331192251 0.9993993378
158 -0.004327183751  -0.01631294172 0.9998575716
159 0.01977739154  0.004402805072 0.999794714
160 0.02194266357  -0.02617767506 0.9994164542
161 -0.003414590978  -0.008197138878 0.999960573
162 0.02649231206  0.002221537693 0.9996465486
163 0.01682292976  -0.02669855689 0.999501964
164 -0.0001694775514  -0.0002891734322 0.9999999438
165 0.03122906502  -0.001616223743 0.9995109471
166 0.01118409878  -0.02458747386 0.9996351195
167 0.005082004483  0.006473757267 0.9999661313
168 0.03343635707  -0.006328636922 0.9994208115
169 0.005978548769  -0.01992451812 0.9997836119
170 0.01169514954  0.01133696721 0.9998673395
171 0.03290557787  -0.01099255563 0.9993980121
172 0.002069469689  -0.01314864763 0.9999114113
173 0.01879953513  0.01383563339 0.9997275392
174 0.02979941155  -0.01468088098 0.9994480811
175 0.0001034298623  -0.004997186568 0.9999875086
176 0.02542519805  0.01385932068 0.9995806513
177 0.02462702682  -0.01660046944 0.9995588697
178 0.0004146466261  0.003598377161 0.9999934399
179 0.03064343063  0.01166439741 0.9994623164
180 0.0181694696  -0.01621079163 0.9997034963
