0 0  -0 1
1 -0.0614835  0.0613671 0.9962197843
2 0.02882132174  -0.1412068847 0.9895604818
3 0.05697783996  0.1416976437 0.9882688417
4 -0.09043798804  -0.06241385058 0.9939444057
5 0.02970172772  0.0005278857987 0.999558667
6 0.05108720281  -0.03269004038 0.9981590349
7 -0.05263153965  0.1191626509 0.9914787863
8 -0.02604861994  -0.1535942093 0.9877906095
9 0.08802296747  0.09412062755 0.9916618701
10 -0.05673305188  -0.01347276222 0.9982984752
11 -0.03019514569  0.01115425849 0.9994817836
12 0.06584610786  -0.09017961878 0.9937464095
13 -0.007095083275  0.1530373986 0.9881949273
14 -0.07326841898  -0.1229688055 0.9897021833
15 0.07637872311  0.03674370348 0.9964016213
16 0.002509875464  -0.000349582085 0.9999967892
17 -0.06657720959  0.05899791832 0.9960355018
18 0.03739389567  -0.1401540291 0.9894233395
19 0.04830118836  0.1443395094 0.9883486739
20 -0.08515389758  -0.06655675876 0.9941423498
21 0.02713457531  0.002095674053 0.9996295929
22 0.05496371732  -0.03073810646 0.9980151094
23 -0.0602353928  0.1170448168 0.9912982439
24 -0.01687942637  -0.1548292987 0.9877970304
25 0.08136669423  0.09807338585 0.9918473028
26 -0.05357889527  -0.01613320884 0.9984332835
