0 0  -0 1
125001 -0.001160284123  0.005661935959 0.999983298
126001 0.001205377916  -0.006142337936 0.9999804092
127001 -0.0007014340057  0.006271400491 0.9999800886
128001 0.0006295090709  -0.006597001657 0.9999780414
129001 -0.0003969496819  0.006303830088 0.9999800519
130001 0.0002772066336  -0.006640530388 0.999977913
131001 0.0006805516753  0.006623144261 0.9999778352
132001 -0.0007196808556  -0.006890556796 0.9999760009
133001 0.001121226679  0.006387745748 0.9999789696
134001 -0.001180278725  -0.006339156758 0.9999792108
135001 0.001304326807  0.006709616978 0.9999766396
136001 -0.00215106418  -0.006533588412 0.9999763423
137001 0.002642014024  0.005443708354 0.9999816927
138001 -0.003525876554  -0.005260694019 0.9999799464
139001 0.00334081846  0.00521325262 0.9999808303
140001 -0.00293954625  -0.004884348446 0.999983751
141001 0.002615733168  0.003967475961 0.9999887085
142001 -0.00261372361  -0.00440618873 0.9999868769
143001 0.003187334467  0.003667475611 0.9999881952
144001 -0.003422944225  -0.003605678967 0.9999876412
145001 0.003075849513  0.003651379409 0.9999886032
146001 -0.003441053481  -0.004001849866 0.9999860721
147001 0.003615878672  0.004465137829 0.9999834938
148001 -0.002909955629  -0.004410199126 0.9999860411
149001 0.003080107273  0.004932648553 0.9999830908
150001 -0.003636674402  -0.004774556805 0.9999819889
151001 0.004126858859  0.005403702328 0.9999768842
152001 -0.00507968696  -0.005176351083 0.9999737007
153001 0.005441629178  0.004851555803 0.9999734252
154001 -0.00600609158  -0.004504933615 0.9999718158
155001 0.006533087282  0.004251525272 0.9999696212
156001 -0.006526399006  -0.003558960824 0.9999723696
157001 0.006393138791  0.003528375038 0.9999733388
158001 -0.007358756796  -0.003654994887 0.9999662443
159001 0.007528493063  0.003751230657 0.9999646244
160001 -0.007533087446  -0.002902441516 0.9999674137
161001 0.007257406677  0.002758149402 0.9999698609
162001 -0.007174113016  -0.001703101369 0.9999728154
163001 0.007046167738  0.001737383491 0.9999736662
164001 -0.007211387931  -0.001399971957 0.9999730176
165001 0.006480879259  0.000926753775 0.9999785694
166001 -0.007112224515  -0.0003879135549 0.9999746326
167001 0.00759636549  5.580889239e-05 0.9999711456
168001 -0.007086870058  -0.0002368205994 0.9999748598
169001 0.007163634239  -0.0009144001815 0.9999739228
170001 -0.007212168802  0.001278743352 0.9999731744
171001 0.007326200271  -0.001110562769 0.9999725463
172001 -0.007211847628  0.001538242413 0.9999728112
173001 0.007340278202  -0.002431386669 0.9999701039
174001 -0.007826077438  0.00252781567 0.9999661808
175001 0.007394085606  -0.002593753506 0.9999692995
176001 -0.007019727666  0.002252286754 0.9999728249
177001 0.007302002903  -0.002839134343 0.9999693096
178001 -0.007114494432  0.003102805866 0.9999698778
179001 0.007307554554  -0.003160609684 0.9999683046
180001 -0.006952711446  0.002797469848 0.9999719166
181001 0.006427382897  -0.003378725232 0.9999736361
182001 -0.006341940059  0.003496712939 0.999973776
183001 0.005955147662  -0.003451605093 0.999976311
184001 -0.006151669781  0.004197022222 0.9999722706
185001 0.006434537478  -0.004552590798 0.9999689348
186001 -0.006186749473  0.00461704368 0.9999702031
187001 0.006119906676  -0.004950991885 0.9999690167
188001 -0.005146662998  0.00492920738 0.9999746071
189001 0.005099720283  -0.005467349605 0.9999720501
190001 -0.004996485299  0.005052110647 0.9999747553
191001 0.004986870415  -0.005601762595 0.9999718753
192001 -0.004794128719  0.005523105299 0.9999732555
193001 0.003748103033  -0.005870865662 0.999975742
194001 -0.003259045532  0.006403898827 0.999974184
195001 0.003768979984  -0.006740748804 0.9999701781
196001 -0.003927992283  0.007077669504 0.9999672382
197001 0.004520472593  -0.006797007963 0.9999666824
198001 -0.004096317929  0.007064660711 0.9999666548
199001 0.004421288464  -0.00693803258 0.9999661574
200001 -0.004175924021  0.007270688821 0.9999648487
201001 0.003823101852  -0.00815314546 0.9999594542
202001 -0.004028309  0.007574428961 0.9999631997
203001 0.003784951966  -0.007060494917 0.9999679113
204001 -0.003173772978  0.00711854979 0.9999696262
205001 0.002431408073  -0.006990137046 0.9999726127
206001 -0.00194232577  0.007399180648 0.9999707393
207001 0.001918065401  -0.007294366538 0.9999715562
208001 -0.001209993073  0.007431045166 0.9999716573
209001 0.0008959667876  -0.007063333088 0.999974653
210001 -0.0003105584607  0.007034784035 0.9999752074
211001 0.0001009462376  -0.006989834339 0.9999755657
212001 -0.0001031015238  0.006472580963 0.9999790473
213001 -0.0003123085593  -0.005953386726 0.9999822297
214001 0.0005210456529  0.005547840084 0.9999844749
215001 -0.000857423231  -0.00454385644 0.999989309
216001 0.0008724044751  0.004712230832 0.9999885168
217001 -0.0008408726956  -0.004357255926 0.9999901536
218001 0.001006913648  0.004341661521 0.999990068
219001 -0.001944482731  -0.004277788794 0.9999889597
220001 0.002314182302  0.00449013928 0.9999872415
221001 -0.002722925347  -0.003959392437 0.9999884544
222001 0.002732159925  0.003490500921 0.9999901758
223001 -0.002126133003  -0.003284486261 0.9999923458
224001 0.002086964338  0.003602721102 0.9999913324
225001 -0.001313843048  -0.003488081382 0.9999930535
226001 0.001615197666  0.002939202547 0.9999943761
227001 -0.001515265029  -0.002707076013 0.9999951878
228001 0.001244438159  0.002432100345 0.9999962681
229001 -0.001929948588  -0.002859935847 0.999994048
230001 0.001805726617  0.002648143019 0.9999948633
231001 -0.001716849627  -0.003316825295 0.9999930255
232001 0.002154369516  0.003396052966 0.9999919127
233001 -0.001527064789  -0.002761686679 0.9999950206
234001 0.001921132871  0.00325882661 0.9999928446
235001 -0.002406447604  -0.003027918751 0.9999925203
236001 0.002510990706  0.002978146931 0.9999924127
237001 -0.002726756304  -0.002852257913 0.9999922147
238001 0.002817268993  0.002631700193 0.9999925685
239001 -0.003511653581  -0.002793457314 0.9999899324
240001 0.003511021593  0.003212661352 0.9999886757
241001 -0.003576066255  -0.002480991487 0.9999905282
242001 0.004366633539  0.002711987201 0.9999867887
243001 -0.004285285718  -0.003185930726 0.999985743
244001 0.004618592147  0.002281714342 0.9999867311
245001 -0.004951737858  -0.002965942478 0.9999833416
246001 0.004959353524  0.002857983787 0.9999836182
247001 -0.005468322593  -0.003096563968 0.9999802542
248001 0.005194063501  0.003160934461 0.9999815149
249001 -0.005167869328  -0.003333559664 0.9999810901
250001 0.005478227878  0.00286025032 0.9999809038
251001 -0.005882952394  -0.002105583252 0.9999804785
252001 0.0046667094  0.001938251974 0.9999872324
253001 -0.004233450345  -0.001677091242 0.9999896326
254001 0.004698531137  0.001197089789 0.9999882453
255001 -0.004766940447  -0.0005574838151 0.9999884827
256001 0.004725831063  0.00136873189 0.9999878965
257001 -0.004881167502  -0.001222088548 0.9999873403
258001 0.00472720144  0.001545207427 0.9999876329
259001 -0.004960107671  -0.001014045796 0.9999871844
260001 0.004798085272  0.0004138903501 0.9999884035
261001 -0.005623186237  -0.0003929572769 0.9999841125
262001 0.005600364193  0.00063484343 0.9999841163
263001 -0.006062011893  0.0006457025632 0.9999814174
264001 0.006087819061  -0.001656566363 0.9999800969
265001 -0.005748574526  0.001560411529 0.9999822593
266001 0.005422918046  -0.001659620101 0.9999839187
267001 -0.00568266062  0.001243864392 0.9999830799
268001 0.005800321983  -0.001442342171 0.9999821378
269001 -0.005690132648  0.00156294205 0.9999825896
270001 0.006077023846  -0.001746367104 0.9999800098
271001 -0.005807766913  0.001716235516 0.999981662
272001 0.005644736011  -0.002276432628 0.9999814772
273001 -0.005856432075  0.003027309133 0.9999782686
274001 0.006265889411  -0.002954355079 0.9999760049
275001 -0.006275433963  0.003812602979 0.9999730411
276001 0.006740194672  -0.004422651865 0.9999675044
277001 -0.006931786673  0.005027066434 0.9999633388
278001 0.006553771706  -0.005469628753 0.9999635649
279001 -0.006017199794  0.00582106531 0.9999649536
280001 0.005547842758  -0.006505384032 0.99996345
281001 -0.005624343611  0.006476574935 0.9999632097
282001 0.004906073314  -0.007294713919 0.999961358
283001 -0.00459357138  0.007008921669 0.9999648864
284001 0.004181921506  -0.007254849938 0.9999649387
285001 -0.004079829783  0.006332356994 0.9999716277
286001 0.003306666107  -0.005997379487 0.9999765484
287001 -0.003211213002  0.005808884767 0.9999779722
288001 0.003690063559  -0.006590317243 0.9999714752
289001 -0.003502023822  0.006613252559 0.999972
290001 0.003244289336  -0.00704403867 0.9999699276
291001 -0.003071588857  0.007863008489 0.9999643686
292001 0.002207431196  -0.007538458141 0.999969149
293001 -0.001468663156  0.007536158339 0.9999705242
294001 0.00144297155  -0.007496737644 0.9999708579
295001 -0.0008667503305  0.007802961104 0.9999691808
296001 0.0007054031406  -0.008059409287 0.9999672736
297001 -0.000350581629  0.008147840305 0.9999667443
298001 0.0003085818148  -0.007739894769 0.9999699989
299001 -0.00014896071  0.008001252239 0.9999679784
300001 -0.0002975941443  -0.008082221315 0.999967294
301001 0.001310423085  0.007709796541 0.9999694204
302001 -0.001991213148  -0.007647767876 0.9999687729
303001 0.003054238325  0.007470812129 0.9999674288
304001 -0.004187653871  -0.007189204607 0.9999653888
305001 0.00470107473  0.007307587881 0.9999622488
306001 -0.005181404943  -0.00698913768 0.9999621518
307001 0.005674504226  0.006713897243 0.999961361
308001 -0.005904932395  -0.006982709694 0.9999581859
309001 0.006076778939  0.006339980102 0.999961438
310001 -0.006441294496  -0.006323916288 0.9999592581
311001 0.007066513458  0.005351159638 0.999960714
312001 -0.007271485064  -0.005351941922 0.9999592403
313001 0.008149008929  0.005623537979 0.9999509835
314001 -0.009001783594  -0.005992632575 0.9999415264
315001 0.009121521495  0.00543188943 0.9999436446
316001 -0.009367696212  -0.005135567764 0.9999429345
317001 0.009692477292  0.004594414675 0.999942472
318001 -0.009795460548  -0.00397850071 0.9999441087
319001 0.01033295938  0.003643470581 0.9999399757
320001 -0.01092957735  -0.002632192527 0.9999368059
321001 0.01110349632  0.00241886375 0.9999354286
322001 -0.0114172149  -0.001504318344 0.9999336899
323001 0.0110633331  0.0007918490693 0.9999384859
324001 -0.01101421015  -0.0003354341236 0.9999392855
325001 0.01158017984  -0.0006908866376 0.9999327088
326001 -0.0114469555  0.001350706715 0.9999335692
327001 0.01145477326  -0.001770948987 0.9999328237
328001 -0.01088669981  0.002299569385 0.999938094
329001 0.01089748376  -0.002299155092 0.9999379774
330001 -0.01048341826  0.002512287625 0.9999418915
331001 0.01013969134  -0.002562668219 0.9999453082
332001 -0.01017676985  0.00356592363 0.9999418571
333001 0.009838040716  -0.003945307734 0.9999438222
334001 -0.01024165756  0.004455283288 0.9999376275
335001 0.009748039212  -0.004976732467 0.9999401021
336001 -0.009347334046  0.005144845766 0.9999430773
337001 0.009092635634  -0.005107001244 0.9999456198
338001 -0.009325103632  0.00635926929 0.999936299
339001 0.009200061447  -0.00701629578 0.999933063
340001 -0.009083580257  0.007804659555 0.9999282854
341001 0.008822923184  -0.008170970259 0.999927693
342001 -0.008289905143  0.008204449629 0.9999319799
343001 0.00801302547  -0.008019166332 0.9999357401
344001 -0.00744493055  0.008306854138 0.9999377826
345001 0.007160283526  -0.008485536987 0.9999383611
346001 -0.006654860799  0.009149915386 0.9999359939
347001 0.006000391012  -0.009375002783 0.9999380504
348001 -0.005575118245  0.009826213123 0.9999361798
349001 0.004501465631  -0.01011017367 0.9999387587
350001 -0.003544085632  0.01028973316 0.9999407787
351001 0.002421787104  -0.01122453838 0.9999340702
352001 -0.002332260639  0.01162110693 0.9999297527
353001 0.001587878269  -0.01120685726 0.9999359404
354001 -0.001329992197  0.01144363691 0.9999336349
355001 0.0008480073785  -0.01208729864 0.9999265863
356001 -7.611939948e-05  0.01286965955 0.9999171796
357001 -0.0006139920337  -0.01266221438 0.9999196424
358001 0.0009965606896  0.01246552635 0.9999218057
359001 -0.001581155473  -0.01254943098 0.9999200027
360001 0.001814062334  0.01242530866 0.9999211573
361001 -0.002772219969  -0.01205436422 0.9999235006
362001 0.003043948922  0.01130831089 0.9999314259
363001 -0.003166079172  -0.01043941138 0.9999404955
364001 0.004256868522  0.01040797385 0.9999367746
365001 -0.005413747807  -0.01000453835 0.9999352982
366001 0.006180905726  0.01037318485 0.9999270941
367001 -0.005990802761  -0.01016628219 0.9999303761
368001 0.005941913835  0.009417835486 0.9999379971
369001 -0.006844708722  -0.008971887124 0.9999363256
370001 0.008009376339  0.009045248782 0.999927014
371001 -0.008346274455  -0.009189273961 0.9999229455
372001 0.008671706992  0.009024924843 0.999921673
373001 -0.009209668489  -0.008764694486 0.9999191778
374001 0.01026200116  0.008584898015 0.9999104914
375001 -0.01085067515  -0.007872186391 0.9999101417
376001 0.01146775785  0.007456539938 0.9999064409
377001 -0.012043482  -0.006945675233 0.9999033514
378001 0.01285705366  0.00640934056 0.9998968029
379001 -0.01360084481  -0.006194294298 0.9998883176
380001 0.01382712754  0.005457969003 0.9998895044
381001 -0.01428246672  -0.00472358065 0.9998868431
382001 0.01435499233  0.004153766082 0.999888334
383001 -0.01459401375  -0.003602860261 0.9998870107
384001 0.01515903316  0.003258004021 0.9998797873
385001 -0.01572295699  -0.002144063031 0.9998740879
