0 0.85791  -0 0.5138
1 0.857899  0.00428933 0.5137999938
11 0.8566133905  0.04715912506 0.5137991009
21 0.8531873637  0.08991162449 0.5137968687
31 0.8476293678  0.1324403493 0.5137937415
41 0.8399527679  0.1746391486 0.513790342
51 0.8301762176  0.2164024254 0.5137873471
61 0.8183237432  0.2576254301 0.513785353
71 0.804424784  0.2982046117 0.5137847569
81 0.788514164  0.338038002 0.5137856774
91 0.7706319847  0.3770256038 0.5137879312
101 0.7508234429  0.4150697465 0.5137910695
111 0.7291385954  0.452075385 0.5137944676
121 0.7056321002  0.4879503261 0.5137974488
131 0.6803629679  0.5226053849 0.5137994196
141 0.6533943515  0.5559544894 0.5137999876
151 0.6247933899  0.5879147616 0.5137990396
161 0.5946311063  0.6184066076 0.5137967644
171 0.5629823439  0.6473538457 0.5137936151
181 0.529925713  0.6746838888 0.5137902187
191 0.4955435157  0.7003279834 0.5137872514
201 0.459921619  0.7242214895 0.513785304
211 0.4231492574  0.7463041753 0.5137847643
221 0.3853187615  0.7665204927 0.5137857397
231 0.3465252247  0.7848198027 0.513788036
241 0.3068661337  0.8011565283 0.5137911961
251 0.2664409971  0.8154902291 0.5137945906
261 0.2253510034  0.8277856058 0.5137975438
271 0.1836987317  0.8380124599 0.5137994677
281 0.1415879262  0.8461456379 0.5137999791
291 0.09912332588  0.8521649947 0.5137989763
301 0.0564105294  0.8560553986 0.513796659
311 0.01355586328  0.8578067905 0.5137934884
321 -0.02933377766  0.8574142912 0.513790096
331 -0.07215114376  0.8548783362 0.5137871571
341 -0.1147889103  0.8502048082 0.5137852569
351 -0.1571400202  0.8434051341 0.5137847738
361 -0.1990980702  0.8344963189 0.5137858039
371 -0.2405577108  0.8235009003 0.5137881421
381 -0.2814150264  0.810446827 0.5137913229
391 -0.3215678654  0.7953672742 0.513794713
401 -0.3609161028  0.778300427 0.5137976374
411 -0.3993618326  0.7592892639 0.5137995138
421 -0.436809504  0.7383813714 0.5137999686
431 -0.4731660268  0.7156288074 0.5137989112
441 -0.5083408797  0.6910880211 0.5137965523
451 -0.5422462503  0.6648198146 0.5137933614
461 -0.5747972286  0.6368893221 0.5137899739
471 -0.6059120598  0.6073659756 0.5137870643
481 -0.6355124446  0.5763234238 0.5137852118
491 -0.6635238647  0.5438393837 0.5137847854
501 -0.6898758993  0.5099954152 0.5137858699
511 -0.7145025008  0.4748766273 0.5137882494
521 -0.7373422044  0.4385713391 0.5137914501
531 -0.7583382596  0.4011707266 0.5137948347
541 -0.7774386898  0.3627684893 0.5137977294
551 -0.7945962994  0.3234605623 0.5137995578
561 -0.8097686577  0.2833448896 0.5137999558
571 -0.822918094  0.2425212532 0.5137988443
581 -0.8340117299  0.2010911436 0.5137964444
591 -0.8430215646  0.1591576394 0.5137932341
601 -0.8499246111  0.1168252665 0.5137898526
611 -0.8547030684  0.07419980662 0.513786973
621 -0.8573444998  0.03138803965 0.5137851688
631 -0.8578419847  -0.01150258174 0.5137847992
641 -0.8561942139  -0.05436430966 0.5137859378
651 -0.852405509  -0.09708950345 0.5137883578
661 -0.8464857615  -0.1395710233 0.5137915775
671 -0.8384503054  -0.1817025833 0.5137949557
681 -0.828319747  -0.2233790431 0.5137978199
691 -0.8161197855  -0.2644966293 0.5137995998
701 -0.8018810563  -0.3049530984 0.513799941
711 -0.7856390196  -0.3446478625 0.5137987755
721 -0.7674339037  -0.3834821105 0.5137963354
731 -0.7473106943  -0.421358956 0.5137931066
741 -0.7253191489  -0.4581836353 0.5137897319
751 -0.7015138046  -0.4938637672 0.5137868833
761 -0.6759539474  -0.5283096662 0.5137851278
771 -0.6487035164  -0.5614346904 0.5137848151
781 -0.6198309309  -0.5931555914 0.5137860074
791 -0.5894088447  -0.6233928333 0.5137884674
801 -0.5575138444  -0.6520708528 0.5137917051
811 -0.5242261248  -0.6791182445 0.513795076
821 -0.4896291717  -0.7044678722 0.5137979089
831 -0.4538094845  -0.7280569222 0.5137996398
841 -0.4168563529  -0.7498269261 0.513799924
851 -0.3788616937  -0.7697237868 0.5137987049
861 -0.3399199296  -0.7876978356 0.5137962253
871 -0.3001278872  -0.8037039419 0.5137929789
881 -0.2595846784  -0.817701675 0.513789612
891 -0.2183915386  -0.8296555099 0.513786795
901 -0.1766515978  -0.8395350472 0.5137850889
911 -0.134469582  -0.8473152168 0.5137848332
921 -0.09195145393  -0.852976433 0.5137860789
931 -0.04920401831  -0.856504677 0.513788578
941 -0.006334525024  -0.8578915003 0.5137918329
951 0.03654969789  -0.8571339549 0.5137951955
961 0.07934155571  -0.8542344739 0.5137979964
971 0.1219344318  -0.8492007333 0.5137996777
981 0.1642223709  -0.8420455277 0.5137999048
991 0.2061002199  -0.8327866861 0.5137986325
1001 0.2474637578  -0.8214470413 0.5137961141
1011 0.2882098454  -0.8080544482 0.513792851
1021 0.3282366221  -0.792641834 0.5137894929
1031 0.367443765  -0.7752472495 0.5137867084
1041 0.4057328071  -0.7559138903 0.513785052
1051 0.4430074986  -0.7346900575 0.5137848534
1061 0.4791741814  -0.7116290422 0.5137861522
1071 0.514142143  -0.6867889334 0.5137886898
1081 0.5478239208  -0.6602323627 0.5137919609
1091 0.5801355353  -0.6320262144 0.5137953143
1101 0.6109966494  -0.6022413347 0.5137980822
1111 0.6403306648  -0.5709522696 0.5137997136
