0 0  -0 1
1 2.22222e-05  2.85676e-15 0.9999999998
251 0.005577748855  1.555851793e-09 0.9999844442
501 0.01113310334  6.210235435e-09 0.9999380251
751 0.0166881142  1.396525528e-08 0.9998607437
1001 0.02224261001  2.481023143e-08 0.9997526025
1251 0.02779641931  3.874275018e-08 0.9996136049
1501 0.0333493707  5.576547213e-08 0.999443755
1751 0.0389012928  7.588523971e-08 0.9992430582
2001 0.04445201424  9.910047959e-08 0.9990115207
2251 0.05000136371  1.254090557e-07 0.9987491495
2501 0.05554916993  1.548085459e-07 0.9984559528
2751 0.06109526167  1.873157702e-07 0.9981319397
3001 0.06663946776  2.229446194e-07 0.9977771201
3251 0.07218161709  2.616831285e-07 0.997391505
3501 0.07772153859  3.035277176e-07 0.9969751062
3751 0.08325906128  3.484745209e-07 0.9965279367
4001 0.08879401426  3.965193864e-07 0.9960500103
4251 0.09432622669  4.476579265e-07 0.9955413417
4501 0.09985552782  5.018854786e-07 0.9950019465
4751 0.105381747  5.591969232e-07 0.9944318415
5001 0.1109047137  6.195869666e-07 0.9938310442
5251 0.1164242574  6.830499856e-07 0.9931995732
5501 0.1219402077  7.495798861e-07 0.992537448
5751 0.1274523945  8.191707972e-07 0.991844689
6001 0.1329606476  8.91816288e-07 0.9911213176
6251 0.1384647969  9.675096441e-07 0.9903673561
6501 0.1439646727  1.046243868e-06 0.9895828278
6751 0.1494601051  1.128011678e-06 0.9887677568
7001 0.1549509246  1.212805513e-06 0.9879221685
7251 0.1604369616  1.300617526e-06 0.9870460888
7501 0.1659180469  1.391439591e-06 0.9861395447
7751 0.1713940113  1.485263301e-06 0.9852025644
8001 0.1768646858  1.582079966e-06 0.9842351766
8251 0.1823299015  1.681880617e-06 0.9832374113
8501 0.1877894897  1.784656005e-06 0.9822092993
8751 0.193243282  1.890396601e-06 0.9811508722
9001 0.19869111  1.999092599e-06 0.9800621627
9251 0.2041328056  2.110733911e-06 0.9789432045
9501 0.2095682007  2.225310175e-06 0.9777940321
