0 0  0 1
1 -0.03139736563  -0.0009171791602 0.9995065604
2 -0.003665342793  0.06268344762 0.9980267284
3 0.09374737113  0.008234381748 0.9955619646
4 0.01460748871  -0.1244790774 0.9921147013
5 -0.154769728  -0.02276121995 0.9876883406
6 -0.03266558143  0.1845121049 0.9822872507
7 0.2136010037  0.04428413901 0.9759167619
8 0.05757415228  -0.241933621 0.9685831611
9 -0.2694099311  -0.07248673158 0.9602936857
10 -0.08896701758  0.2959330542 0.9510565163
11 0.3214096119  0.1069543829 0.940880769
12 0.1263826546  -0.34575007 0.9297764859
13 -0.368869068  -0.1471803576 0.9177546257
14 -0.1692709771  0.3906857323 0.9048270525
15 0.4111239731  0.1925732395 0.8910065242
16 0.2170014113  -0.4301127643 0.87630668
17 -0.4475864041  -0.2424656136 0.860742027
18 -0.2688721529  0.4634847566 0.8443279255
19 0.4777534724  0.2961238648 0.8270805743
20 0.3241204709  -0.4903441884 0.8090169944
21 -0.5012147056  -0.3527589478 0.7901550124
22 -0.3819339048  0.5103291439 0.7705132428
23 0.5176580737  0.4115379715 0.7501110696
24 0.4414621922  -0.5231786245 0.7289686274
25 -0.5268745685  -0.471596426 0.7071067812
26 -0.5018297518  0.5287363804 0.6845471059
27 0.5287612722  0.5320508752 0.6613118653
28 0.5621485378  -0.5269532036 0.6374239897
29 -0.5233228672  -0.5920119258 0.6129070537
30 -0.621531077  0.5178876495 0.5877852523
31 0.5106715668  0.650597285 0.5620833779
32 0.6791034981  -0.501705177 0.535826795
33 -0.4910254673  -0.7069447132 0.5090414158
34 -0.7340183608  0.4786757185 0.4817536741
35 0.4647053456  0.7602246825 0.4539904997
36 0.7854670971  -0.4491697165 0.4257792916
37 -0.4321299488  -0.8096525553 0.3971478906
38 -0.8326918819  0.4136526846 0.3681245527
39 0.3938098465  0.8545001031 0.3387379202
40 0.8749967588  -0.3726783725 0.3090169944
41 -0.3503399341  -0.894106198 0.278991106
42 -0.9117578571  0.3268806358 0.2486898872
43 0.302390699  0.9278865186 0.2181432414
44 0.9424325512  -0.2769641302 0.1873813146
45 -0.250698376  -0.9553421285 0.156434465
46 -0.9665674268  0.2236939651 0.1253332336
47 0.1960541386  0.9760668011 0.09410831332
48 0.9838049375  -0.1678844711 0.06279051953
49 -0.1392924826  -0.9897529836 0.03141075908
50 -0.9938886539  0.1103872439 3.997857817e-13
51 0.08127897511  0.9961963122 -0.03141075908
52 0.9966670285  -0.05207864156 -0.06279051953
53 -0.02289754563  -0.9952986124 -0.09410831332
54 -0.9920956205  -0.006153081961 -0.1253332336
55 -0.03496249084  0.9870693402 -0.156434465
56 0.9802377481  0.06342081786 -0.1873813146
57 0.09141949068  -0.9716254438 -0.2181432414
58 -0.9612635595  -0.1188516267 -0.2486898872
59 -0.1456124256  0.9491896461 -0.278991106
60 0.9354475347  0.1715995545 -0.3090169944
61 0.1967135239  -0.9200871757 -0.3387379202
62 -0.9031644557  -0.220858053 -0.3681245527
63 -0.2439404237  0.8847409918 -0.3971478906
64 0.8648839053  0.2658718211 -0.4257792916
65 0.2865676595  -0.8436655751 -0.4539904997
66 -0.8211633722  -0.3059478937 -0.4817536741
67 -0.3239373129  0.7974593748 -0.5090414157
68 0.7726400673  0.3404658165 -0.535826795
69 0.3554686724  -0.7467960226 -0.5620833779
70 -0.7200215689  -0.3688867544 -0.5877852523
71 -0.3806667595  0.6924144437 -0.6129070537
72 0.6640754345  0.3907614037 -0.6374239897
73 0.3991295959  -0.6351080085 -0.6613118653
74 -0.6056179328  -0.4057365885 -0.6845471059
75 -0.4105541056  0.5757128854 -0.7071067812
76 0.54550206  0.4135604463 -0.7289686274
77 0.4147405649  -0.5150957649 -0.7501110696
78 -0.4846050173  -0.4140861262 -0.7705132428
79 -0.4115955355  0.4541411362 -0.7901550124
80 0.4238153326  0.4072739455 -0.8090169944
81 0.4011332364  -0.3937383018 -0.8270805743
82 -0.3640198163  -0.3931919729 -0.8443279255
83 -0.3834753359  0.3347683224 -0.860742027
84 0.3060905422  0.3720150299 -0.87630668
85 0.3588491665  -0.2780910814 -0.8910065242
86 -0.2508720449  -0.3440221246 -0.9048270525
87 -0.3275843873  0.2245326618 -0.9177546257
88 0.1991689209  0.3095923565 -0.9297764859
89 0.2901081456  -0.1748732182 -0.940880769
90 -0.1517340171  -0.2691993515 -0.9510565163
91 -0.2469388062  0.1298355239 -0.9602936857
92 0.1092573779  0.2234043091 -0.9685831611
93 0.1986783418  -0.09007435956 -0.9759167619
94 -0.07235611507  -0.1728477644 -0.9822872507
95 -0.1460034968  0.05616690096 -0.9876883406
96 0.0415653479  0.1182401847 -0.9921147013
97 0.08965585192  -0.02860424535 -0.9955619646
98 -0.01733034756  -0.06035154013 -0.9980267284
99 -0.03043093798  0.007784201942 -0.9995065604
100 6.133882572e-13  6.855498587e-13 -1
101 -0.03083344252  0.005994548193 -0.9995065604
