0 0.784602  -0 0.62
1 0.78573  -0.0647446 0.6151713553
3 0.874068034  -0.1295621618 0.468207986
5 0.9379182735  -0.08417142305 0.33648846
7 0.913593101  -0.01706578262 0.4062713439
9 0.8151257717  -0.02163556386 0.5788798482
11 0.7801302534  -0.1378716977 0.6102361695
13 0.8668253012  -0.2016858912 0.4560007658
15 0.929285305  -0.1571362532 0.334270878
17 0.9044381633  -0.0891803756 0.4171791815
19 0.8037834005  -0.09375030263 0.5874888304
21 0.7684692848  -0.2102107614 0.6043727278
23 0.8534618491  -0.2729575626 0.4439561253
25 0.9146292115  -0.229157677 0.3330768149
27 0.8892159674  -0.1601936408 0.4285241659
29 0.7864104245  -0.1647431754 0.595330438
31 0.7508300223  -0.2812501126 0.5976224993
33 0.8340721921  -0.3428730968 0.4321592506
35 0.8940536502  -0.2997263129 0.3329147157
37 0.868034175  -0.2296033269 0.4402260592
39 0.7631297168  -0.2341120746 0.6023492109
41 0.7273372221  -0.3504873152 0.5900332255
43 0.808793466  -0.410938006 0.4206935756
45 0.8677041446  -0.3683430547 0.3337857269
47 0.8410425978  -0.2969185241 0.4522020995
49 0.7341059337  -0.3013663786 0.6084955086
51 0.6981570403  -0.4174326788 0.5816585818
53 0.7778044578  -0.4766708915 0.4096401917
55 0.8357670552  -0.434522601 0.3356836883
57 0.8084321378  -0.3616631361 0.4643675856
59 0.6995443503  -0.3660304214 0.6137258611
61 0.663495858  -0.4816127224 0.572557798
63 0.7413243413  -0.5396068477 0.3990772744
65 0.7984682616  -0.497796888 0.3385951764
67 0.7704334376  -0.4233792475 0.4766364768
69 0.6596894085  -0.4276468572 0.6180032766
71 0.6235988213  -0.5425735231 0.5627952399
73 0.6996111269  -0.599300751 0.3890795303
75 0.7560715647  -0.5577183997 0.3424995997
77 0.7273152489  -0.4816303623 0.4889220007
79 0.6148229883  -0.4857798946 0.6212975028
81 0.5787481077  -0.5998839267 0.5524399536
83 0.6529598369  -0.6553304077 0.3797176689
85 0.708876821  -0.6138633329 0.3473693439
87 0.6793825316  -0.5360044913 0.5011372677
89 0.565262414  -0.5400183793 0.6235852414
91 0.5292609304  -0.6531385968 0.5415651771
93 0.6017004189  -0.7072995399 0.3710579022
95 0.6572178222  -0.6658345952 0.3531699676
97 0.626974297  -0.5861170658 0.5131958847
99 0.5113582102  -0.5899787016 0.624850312
101 0.4754872944  -0.7019608817 0.5302478227
103 0.5461954119  -0.7548405883 0.3631614768
105 0.6014599339  -0.7132646126 0.3598604457
107 0.5704612103  -0.6316136574 0.5250125668
109 0.4534916223  -0.6353075098 0.6250837676
111 0.4178075215  -0.7460054785 0.5185679329
113 0.4868373826  -0.7976173121 0.3560842404
